Complexity,Loss,Equation
1,0.035866749632273605,"1.4313085419894946"
3,4.0078194013515466e-7,"x0 ^ 0.499994970544336"
5,4.0053950431732884e-7,"(x0 - -7.56766857550601e-5) ^ 0.4999747878099702"
7,3.3226715581145984e-7,"(x0 ^ 0.49996654398466095) + (0.002770594017967306 ^ x0)"
9,2.2250069508093333e-7,"(x0 ^ 0.6721083452518016) - ((0.18126243386383512 * x0) + -0.1832160812759839)"
10,1.0252993569347736e-7,"(0.0007688685144118033 * sin(x0 / -0.21581709495177445)) + (x0 ^ 0.5000427415077332)"
12,5.5182040308773185e-8,"((0.0016169550352096735 / x0) * sin(x0 / -0.21508385777659939)) + (x0 ^ 0.5000452474850595)"
14,2.325125809800329e-8,"((0.0008473741065181065 / (x0 + -0.8294147276686403)) * sin(x0 / -0.21405031077423614)) + (x0 ^ 0.5000496594525543)"
15,1.146488673697092e-9,"(((x0 - 0.010249370871548341) + (0.03381396210870746 ^ x0)) ^ 0.5177159841687948) - (x0 * (x0 * 0.0035139910880483192))"
16,9.290272284941957e-10,"(((x0 - 0.018833765194610982) + (0.03155170218562473 ^ x0)) ^ 0.5019610245584367) + (sin(x0) * (0.0024558703589313826 * x0))"
17,9.289919481444172e-10,"(((x0 - 0.018833765194610982) + (0.03155170218562473 ^ x0)) ^ 0.5019610245584367) + (sin(x0) * sin(0.0024558703589313826 * x0))"
18,3.1160521326635776e-10,"(((0.004971026863541086 * x0) * sin(x0)) ^ 1.1625156587062708) + (((0.03198736815664776 ^ x0) + (x0 - 0.01831469665369717)) ^ 0.5020486716284027)"
