Complexity,Loss,Equation
1,0.7864452967749147,"0.9743364526339843"
2,0.7102875195190022,"sin(x0)"
3,0.648228540519944,"1.5814782695253566 / x1"
5,0.5041671983446441,"2.3748107938778222 / (x1 ^ x0)"
6,0.0683068159542513,"0.7939747515694903 + sin(x1 ^ 2.0282445857501417)"
7,3.712426177559972e-8,"sin(x1 ^ 1.9999965028643747) + sin(x0)"
9,3.69004447930348e-8,"sin(x0) + sin((x1 * 1.0000147206897956) ^ 1.9999632029839343)"
11,3.53116692206936e-8,"(sin(x1 ^ 1.9999799513341359) + sin(x0)) + (0.0002547896430097647 ^ x0)"
12,3.3619927532234065e-8,"(-1.430808932886744e-5 / cos(x0)) + (sin(x0) + sin(x1 ^ 2.0000067618163664))"
13,2.2841392634203804e-8,"(sin(x1 ^ 1.9999965028643747) + sin(x0)) - (1.801107271106835e-6 / (1.243303113113726 - x1))"
14,1.8401932436585444e-8,"(sin(x1 ^ 1.9999970722959357) + sin(x0)) + (4.531994330514334e-6 / (0.32674476483719606 - cos(x1)))"
15,1.628047970936102e-8,"(sin(x1 ^ 1.9999959927580402) + sin(x0)) + (1.7456244008294175e-6 / (sin(x1) + sin(-1.9056604232441094)))"
17,1.5236318951477483e-8,"(sin(x1 ^ 1.9999965272993243) + sin(x0 ^ 0.9999796399894093)) + (1.7456244008294175e-6 / (sin(x1) + sin(-1.9056604232441094)))"
18,1.3804283452035853e-8,"((sin(x0) * 1.955413110413127e-6) / (sin(-1.90644075454945) + sin(x1))) + (sin(x0) + sin(x1 ^ 1.9999959488839731))"
20,1.3214836206098553e-8,"(((x1 * 1.5691633624573728e-6) * sin(x0)) / (sin(x1) + sin(-1.9066729058846787))) + (sin(x1 ^ 1.9999965028643747) + sin(x0))"
22,1.293213838382004e-8,"(sin(x0 ^ 0.9999872086105681) + sin(x1 ^ 1.9999966635256266)) + (((x1 * 1.5691633604763023e-6) * sin(x0)) / (sin(x1) + sin(-1.9066729058863916)))"
