Complexity,Loss,Equation
1,1310.0376149830042,"1.9840761105322642"
3,0.013087749163231289,"78.3604484755223 - 40.182111394171"
5,0.001584551285337052,"37.8139361800904 - (x0 * -0.18351875658121267)"
6,0.0011542315430984127,"38.9395823405758 - cos(cos(sin(x0)))"
7,0.0005188899281352373,"38.03373585771061 - ((x0 ^ 2.979527346187907) * -0.014905742381044886)"
8,2.2112811532572207e-6,"38.20950544145462 - (sin(x0 ^ 1.4625137522367657) * 0.1538980004188136)"
12,2.870988595532595e-7,"38.203262855792 - ((0.13540626831372232 - (-0.008349315419495237 * x0)) * sin(x0 ^ 1.4790920620272576))"
13,2.8709885925345625e-7,"38.203262881433204 - (sin(x0 ^ 1.4790919237130384) * (sin(0.1358235248311092) - (-0.008349302252674913 * x0)))"
16,2.0845291120564098e-7,"((38.28034506938819 - (x0 * 0.0316897077791203)) - (0.022557341711534944 ^ x0)) - (0.1733508826952537 * sin(x0 ^ 1.4597907787353446))"
17,1.8499546169557242e-7,"((38.277363589749285 - (x0 * 0.03046986498002187)) - (0.02115563674656674 ^ x0)) - (sin(x0 ^ 1.4605094567855892) * sin(0.17361209502265185))"
18,1.8479704826470523e-7,"((38.27722647745335 - (x0 * 0.030420486777735647)) - (0.02100245861798325 ^ x0)) - (sin(x0 ^ 1.4605527754287855) * sin(sin(0.17448460040981748)))"
19,1.6189127823935143e-7,"((38.27804018818678 - (0.02997667780445038 * x0)) - ((0.022909662365361325 * x0) ^ x0)) - (sin(0.17202765999410963) * sin(x0 ^ 1.4593208709848902))"
20,1.6157710299226436e-7,"((38.27792388751921 - (0.029930567729621094 * x0)) - ((0.02283825472497404 * x0) ^ x0)) - (sin(sin(0.1728751662398575)) * sin(x0 ^ 1.4592895109124442))"
21,1.501988862549443e-7,"((38.278200337525874 - (0.03052442257611581 * x0)) - ((x0 ^ 0.991140364211421) * (0.0216733551696679 ^ x0))) - (sin(0.17300946789007646) * sin(x0 ^ 1.4596425648416607))"
22,1.472788184850419e-7,"((38.27766203962626 - (0.030318451118208117 * x0)) - ((0.02081668685089861 ^ x0) * (x0 + 0.021427453264079886))) - (sin(x0 ^ 1.4596763087085687) * sin(sin(0.1738279088285411)))"
24,1.3777415755721296e-7,"((38.277623212122954 - (0.0304975121598357 * x0)) - ((0.022600980779857935 ^ x0) * x0)) - (((0.9917719633412235 * 0.1709698689566958) / (0.9938019857160205 ^ x0)) * sin(x0 ^ 1.4607235323067214))"
26,1.349594448703067e-7,"((38.277623212122954 - (0.0304975121598357 * x0)) - ((0.022600980779857935 ^ x0) * (0.9922975716817849 * x0))) - (((0.9917719633412235 * 0.1709698689566958) / (0.9938019857160205 ^ x0)) * sin(x0 ^ 1.4607235323067214))"
