Complexity,Loss,Equation
1,0.6312040654168656,"0.6342556352985022"
2,0.4983906284969363,"sin(x0)"
3,0.4903010484380457,"sin(sin(x0))"
4,0.45506510455280724,"sin(x0 / 0.16433483186515746)"
5,0.2347073338625375,"sin(sin(x0) ^ -1.206426001156119)"
6,0.11112740358559016,"0.7381336962488203 + sin(x0 * -4.807596005745071)"
7,0.025269621128546093,"sin(x0) + sin(-4.750053330770706 * x0)"
9,1.8237342884699793e-7,"sin((x0 + 0.9999991435902903) * x0) + sin(x0)"
11,1.8216279475766492e-7,"sin((x0 ^ 0.9999907756215526) * (x0 + 1.0000207978703506)) + sin(x0)"
13,1.820999472490427e-7,"sin((x0 ^ 0.9999878783549734) * (x0 + 1.0000272405153532)) + sin(x0 + 1.5562636145528162e-5)"
14,1.7977217087762533e-7,"(sin(x0) - (-6.549167081320397e-6 / cos(x0))) + sin((x0 + 1.0000127646989563) * x0)"
15,1.0509620343075138e-7,"(sin(x0) + (-3.246608126536311e-5 / (x0 - 2.5368207439692094))) + sin(x0 * (0.9999194443877781 + x0))"
16,1.050962034307425e-7,"(sin(x0) + (sin(-3.246608126536311e-5) / (x0 - 2.5368207439692094))) + sin(x0 * (0.9999194443877781 + x0))"
17,8.541656668297111e-8,"(sin(x0) + (-3.0202993602601756e-5 / (x0 - 2.546794331969778))) + sin((x0 ^ 0.9998970948883358) * (1.0001212917751707 + x0))"
18,8.541656664569104e-8,"sin((x0 ^ 0.9998970963453226) * (1.0001212901826009 + x0)) + (sin(x0) - (sin(3.020221318218137e-5) / (x0 - 2.546794512247093)))"
19,8.353762699668588e-8,"((sin(x0) - -5.3303148851571756e-5) - (2.6899211580634104e-5 / (x0 - 2.549985983142788))) + sin((1.000159399151347 + x0) * (x0 ^ 0.9998838768454045))"
21,8.339096132144306e-8,"sin((1.000129169909785 + x0) * (x0 ^ 0.9998970349616739)) + (sin(x0 ^ 0.9999740145160304) - ((7.751909102033535e-5 / x0) / (x0 - 2.547232444989388)))"
