Complexity,Loss,Equation
1,0.3203653920921051,"0.38290015957490975"
2,0.13309395525832604,"sin(x0)"
4,0.13216550236537686,"sin(x0 - -0.038775110164572794)"
5,0.11590548070739147,"cos(x1) * sin(x0)"
6,0.07280729705683345,"sin(x0) / cos(cos(x1))"
7,1.215248158513813e-7,"(cos(x1) * sin(x0)) / 0.500011196310777"
9,1.211009701535841e-7,"((cos(x1) + 3.2185427421745754e-5) * sin(x0)) / 0.500035085938536"
11,1.206394305434441e-7,"(cos(x1) * sin(x0)) / (0.4994034247168587 + (0.008271431301550235 / x0))"
12,1.1866428507699123e-7,"(1.6116617022928643e-6 / sin(x0)) + ((sin(x0) * cos(x1)) / 0.5000131606753567)"
13,1.1776860720232166e-7,"((sin(x0) * cos(x1)) / 0.5000170332781323) - (6.0646754722409916e-6 / (x0 - x1))"
14,4.161274108575678e-8,"(2.1227127674002808e-5 / cos(-2.921568081202316 + x0)) + ((cos(x1) * sin(x0)) / 0.4999926481858632)"
15,3.81003967057134e-8,"(5.031345851420811e-6 / (sin(x0) - cos(0.2237170342279668))) + ((cos(x1) * sin(x0)) / 0.4999926481858632)"
17,3.54264848535347e-8,"((sin(x0) * cos(x1)) / 0.4999086488610016) + (cos(1.570788635825389) / (sin(x0) - (x1 / x0)))"
18,3.116737663437497e-8,"((sin(x0) * cos(x1)) / 0.5000253327254294) + (((x0 * 3.0310202395170356e-5) - 0.000377744881234922) / (-0.6004078814645226 + cos(x1)))"
19,2.746819479195436e-8,"(((x0 - x1) * 1.2104644602484977e-5) / (sin(x0) - cos(0.23016409925703007))) + ((sin(x0) * cos(x1)) / 0.4999857166172574)"
20,2.7467917143052507e-8,"(((x1 - x0) * sin(-1.2075908754154e-5)) / (sin(x0) - cos(0.2302040901438664))) + ((sin(x0) * cos(x1)) / 0.4999855669891985)"
21,2.741982262475923e-8,"((cos(x1) * sin(x0)) / 0.4999876609817463) + (((-9.007055513570799e-7 * x1) * (x1 - x0)) / (sin(x0) - cos(0.22994333980886938)))"
