Complexity,Loss,Equation
1,201.93592031360186,"x0"
3,0.033460848842441326,"14.20923852515511 + x0"
4,0.01420066495506728,"15.862336675595673 - cos(x0)"
5,0.007597363743583338,"14.819495143673505 + (0.6998090396212342 * x0)"
6,0.0019942363148935534,"cos(4.343720892958275 / x0) + 16.76960888709892"
8,5.0284033530000453e-5,"16.320942946167868 + (0.518345414767004 * cos(2.198983562117741 * x0))"
9,5.028403353000023e-5,"16.3209429460805 + (sin(0.5449150143480106) * cos(x0 * 2.1989835613006155))"
11,6.660992978035733e-6,"15.807195659391853 + (cos(x0 * -1.1692283974904498) * (-0.09593095231678453 + cos(x0)))"
12,3.1269858113735692e-6,"(16.337971941210135 - (0.08505170581374048 ^ x0)) + (0.5046082401231817 * cos(2.1869276063966323 * x0))"
13,3.126919696363544e-6,"(16.337976338760374 - (sin(0.08521247205620351) ^ x0)) + (0.5045881150912293 * cos(2.1869276063966323 * x0))"
14,1.3874581512417934e-6,"(0.5099298301270943 * cos(2.188153651230407 * x0)) + (16.332048497889364 - ((0.015435201677679079 ^ x0) / 0.15362857359800233))"
15,1.046032086040785e-6,"(16.337487504451104 + (-0.008696573707016477 / (x0 + -1.0339416336584852))) + (cos(x0 * 2.1896192343102263) * sin(0.5340327673682242))"
20,1.0005077882223863e-6,"(16.330084097858037 - ((0.004460187638849702 ^ x0) / (0.016210861836320676 ^ 0.8022622921036469))) + (((0.5366128999832421 ^ 1.1140790932790696) - -0.011969668244592386) * cos(x0 * 2.1893076502383093))"
22,9.991846991308556e-7,"((16.329761084547304 - (-0.0002881636427904357 / x0)) - ((16.322868084877246 + 16.320943101971384) * (0.003826798568330229 ^ x0))) + ((0.5129874248467254 ^ 1.0029370925144743) * cos(x0 * 2.189419049651708))"
26,9.615549511960744e-7,"((16.330469925319907 - (0.0038202575383801535 ^ x0)) - ((16.3353661912141 + 16.320942765951443) * (0.003685494976392553 ^ x0))) + (((0.5144555628701767 ^ 1.0024408792570128) / (x0 ^ 0.004118356895797049)) * cos(x0 * 2.1889309139962463))"
