Complexity,Loss,Equation
1,0.09893338629419253,"-0.8789948470121602"
2,0.09209380243859258,"sin(-1.29312591067457)"
4,0.08563565223501592,"cos(x0 * 0.6063629580427472)"
6,0.0673626586873626,"-0.969279114786296 - (0.03525523707179572 / sin(x0))"
7,0.04484376660186276,"cos(cos(x0 / -0.09573705971976323)) + -1.734197507501942"
8,0.022784178714685147,"-0.9317733554211778 + (sin(-12.725904550885716 * x0) * -0.3288223937603189)"
9,0.016485067545348227,"-1.0428417745563987 + (sin(x0 * -6.981906598890754) * cos(x0))"
10,0.013014218846032636,"-1.0394701458958533 + (sin(cos(x0)) * sin(x0 * 6.941571446494417))"
11,0.0014118134682304874,"(sin(6.9408531901916195 * x0) * cos(x0 / 0.6739169147622405)) + -1.08898993055539"
13,0.0013981101639761384,"(-0.9945691441639033 / 0.9083501422719084) + (sin(6.900519858209274 * x0) * cos(x0 / 0.6559805871217478))"
15,0.0013543810045273052,"(cos(6.920369278300621 * x0) * sin(x0 / 0.6648097201159198)) + (0.6400735824934778 - (x0 * 0.022349930029181363))"
16,0.0008905942372624904,"(1.1065238492352758 * sin(x0 * -0.9888402330428337)) + ((cos(x0) + 0.12540772952609278) * sin(7.50566172336295 * x0))"
17,0.0008905942372149021,"(sin(x0 * -0.9888402312267993) * 1.1065240011803745) + (sin(x0 * 7.505661720207814) * (cos(x0) + sin(0.12573864795192977)))"
18,0.0008905942371201174,"(sin(-0.9888402188613112 * x0) * (1.1153368250970102 + -0.008812369321450323)) + ((0.1254077155563532 + cos(x0)) * sin(x0 * 7.505661703715727))"
19,0.0008905942371084246,"(sin(-0.9888402188613112 * x0) * (1.1153368250970102 + -0.008812369321450323)) + ((sin(0.12573864795192977) + cos(x0)) * sin(x0 * 7.505661703715727))"
20,0.0008903804145946571,"(((7.504605727666798 / x0) + 1.0100028039652342) * sin(x0 * -0.9888305888541825)) + ((cos(x0) + 0.12544202585766467) * sin(7.50566412332943 * x0))"
21,0.0008903803777908554,"((sin(0.12577322151858342) + cos(x0)) * sin(7.505664120094353 * x0)) + (((7.5059038749637566 / x0) + 1.0099862700351083) * sin(-0.9888305834687774 * x0))"
24,0.0008867262668193333,"(sin(x0 * -0.9888294603865926) * ((1.1145079998271101 ^ 1.0371439193900738) + (-0.9546137916101753 / x0))) + (((x0 * 0.0016131723778463052) + cos(x0)) * sin(7.50565162575539 * x0))"
