Complexity,Loss,Equation
1,0.2660439287746012,"-0.5147885157413528"
2,0.10654111154117349,"sin(x0)"
4,0.07332585563074388,"sin(x0) / 0.729540309992515"
5,0.0717605719609661,"sin(sin(x0)) / 0.6602918363772684"
6,0.018429382225656047,"sin(x0) / cos(cos(x1))"
7,6.291986225802001e-8,"sin(x0) / (0.5000087300681171 / cos(x1))"
9,6.22908902662179e-8,"sin(x0) / (0.5000516990151609 / (cos(x1) - -6.84104547404683e-5))"
12,4.647011630633341e-8,"(-8.92211574978288e-6 / sin(x0)) + (2.00001373323555 * (cos(x1) * sin(x0)))"
13,4.647011624782381e-8,"sin(-8.92211574978288e-6 / sin(x0)) + (2.00001373323555 * (cos(x1) * sin(x0)))"
14,3.97839678843594e-8,"(2.0000258513216487 * (cos(x1) * sin(x0))) + (1.7950758160777227e-5 / sin(x1 / -1.130640099833374))"
15,3.9783967884319e-8,"(2.0000258513216487 * (cos(x1) * sin(x0))) + (sin(1.7950758160777227e-5) / sin(x1 / -1.130640099833374))"
16,3.786363466267043e-8,"((cos(x1) * sin(x0)) * 2.000106868630382) + (cos(x1 * -22.259180621381894) * (0.5283715057236616 - 0.5281067908262315))"
17,3.786363465955451e-8,"((cos(x1) * sin(x0)) * 2.000106868630382) + (cos(x1 * -22.259180621381894) * sin(0.5283715057236616 - 0.5281067908262315))"
18,3.785062737295511e-8,"(cos(x1 * -22.258913738869825) * ((0.5284043636845489 - 0.5280739328653442) * 0.8030475598783048)) + (2.0001087332912806 * (sin(x0) * cos(x1)))"
19,3.5772696624634515e-8,"((cos(x1) * sin(x0)) * 2.000106868630382) + (cos(x1 * -22.259180621381894) * ((0.5283715057236616 - 0.5281067908262315) / cos(x0)))"
