Complexity,Loss,Equation
1,7579.9909593175635,"x0"
2,165.1930198301755,"cos(0.0002952466760880614)"
3,0.05958486782720056,"x0 ^ 0.573405434825081"
5,0.005710826908676428,"1.5160056323572733 - (1.6531062289506147 / -0.13320062340588512)"
6,0.00013284886563004675,"(x0 - sin(x0)) ^ 0.5700524152798577"
8,0.00013150127588911815,"(x0 - (sin(x0) + 1.3191801408120427)) ^ 0.5716893365163331"
9,6.0983341435137625e-5,"((x0 + x0) ^ 1.3573016671964113) / (-3.875392018923716 + x0)"
10,2.1893681869516086e-6,"((x0 + 0.756612421396964) / (sin(0.03201916247816013) ^ 1.874600991832793)) ^ 0.23737049862393186"
11,7.137725764605847e-8,"((x0 + (x0 + 0.5522328816336485)) / (0.039402364442346224 ^ 2.059751433897831)) ^ 0.21956659703163914"
12,3.588733878467137e-10,"(((1.4162839627377735 + x0) + x0) / sin(0.144120535628685 ^ 3.5160343781636954)) ^ 0.21677616466682093"
26,7.680270179974435e-11,"(((-2.511389555105 + -2.241487802429107) / (x0 ^ x0)) * sin(x0)) + (((0.06248061095170947 + -0.032893502501482284) * (x0 + -3.541170104771828)) + ((-0.09858333542407871 / 3.052940095829399) - (-8.991155668873352 + -2.012878653069959)))"
