Complexity,Loss,Equation
1,4.6430373905744865e10,"x0"
3,4.487454100099728e10,"x0 * x0"
5,495.46578653107514,"(x0 + 215394.0025728075) + x0"
7,0.2014135604343486,"((215477.08440932524 + x0) * x0) / x0"
10,0.15150748247838305,"(5083.01925955204 / (x0 - cos(x0))) + (x0 + 215394.0025728075)"
11,0.03951050995187503,"(x0 + 215394.0025728075) + (((-81.56850310818986 + x0) + 5083.01925955204) / x0)"
12,0.002550215402286241,"(((x0 + 215476.6969445786) * x0) / x0) - (cos(x0) - 0.0014629193642824647)"
13,1.367795727720588e-14,"(128969.51536466103 + (86568.409932659 + x0)) - ((-0.9999998722884722 * x0) + (x0 + x0))"
15,3.809071376660567e-15,"(sin(2.2036408228624493) - x0) + (((215465.6681658567 + x0) + 71.45077543892494) - (cos(x0) * -9.941709027679449e-9))"
17,1.5775988642611344e-20,"(163495.58668974496 + (52042.338599892675 + x0)) - ((2982.610305978198 * x0) - ((x0 + x0) + (x0 * 2979.6103059784327)))"
19,3.3881317890172014e-21,"((6226.291013303491 + x0) + 209311.6342763543) - ((x0 - (5803.602233990108 * x0)) - ((-5805.602233990205 * x0) + (x0 + x0)))"
