Complexity,Loss,Equation
1,0.012352371469282149,"39.45933152978805"
3,0.012352371469282145,"30.42022522914742 - -9.039106300689472"
5,0.0006962790650200224,"39.04965087734593 - (x0 * -0.20152575778565185)"
6,0.0005721475687362453,"40.23810756573601 - cos(x0 * 0.324237966680773)"
7,0.0004838238146888814,"39.61677115206691 - (sin(sin(x0)) ^ 7.032422992434548)"
8,3.218662474148153e-6,"39.48637763174824 - (-0.15082280514023283 * cos(x0 * -2.1694301346279383))"
10,3.2186624741481357e-6,"(39.45454553558966 * 1.0008068042805742) - (-0.15082280514023283 * cos(x0 * -2.1694301346279383))"
11,1.971200614005063e-6,"39.620175591599164 - (sin(-1.1716801901631755 * x0) * (-0.2890348734534628 * sin(x0)))"
12,9.547484067454555e-7,"(39.48891538959409 - (0.02020787250123512 ^ x0)) - (cos(x0 * -2.1608855799576143) * -0.14912935184776027)"
13,9.547480573908554e-7,"(39.48891538959409 - (0.02020787250123512 ^ x0)) - (cos(x0 * -2.1608855799576143) * sin(-0.1496869315361818))"
14,6.605683384969213e-7,"(39.48779306457082 - ((0.03350046960376371 ^ x0) ^ x0)) - (cos(x0 * 2.1637742129182036) * -0.15065576329488284)"
15,4.4564204118482873e-7,"(39.488029596416105 - ((0.00016264894686375856 ^ x0) / sin(0.0030533075710050084))) - (-0.14997019303904247 * cos(x0 * -2.1625193889081142))"
17,1.6393892458808366e-7,"(39.48087619764596 - (0.03350046960376371 ^ x0)) - (cos(x0 * -2.1842159320551944) * (sin(-0.126372512227112) / (x0 ^ -0.20822480828508166)))"
18,1.638880995735025e-7,"(39.48087619764596 - sin(0.03350046960376371 ^ x0)) - (cos(x0 * -2.1842159320551944) * (sin(-0.126372512227112) / (x0 ^ -0.20822480828508166)))"
19,3.920241252172752e-8,"((39.62049097471344 - (0.07037206971119034 ^ x0)) - ((x0 * -0.03981312150672599) * sin(x0))) - (0.3241688255392004 * (sin(x0) ^ 2.420050217464588))"
21,3.916275542685102e-8,"(((-0.011072710136488044 + 39.63156312594982) - (0.07040418609471132 ^ x0)) - (sin(x0) * (-0.039822158469274456 * x0))) - (0.32417309562252467 * (sin(x0) ^ 2.4199134368318793))"
23,3.6769368317759396e-8,"((39.620730264239015 - (0.06862964685025832 ^ x0)) - ((-0.03929925669308216 * x0) * sin(x0))) - (((x0 ^ -0.009384451929107805) * 0.3256515795910927) * (sin(x0) ^ 2.420607332875155))"
