Complexity,Loss,Equation
1,0.001641262953799182,"109.7768889977425"
3,0.0016412629537991817,"127.93066620269617 + -18.153777205021765"
5,9.800322051080755e-5,"108.63870010085743 + (1.0634038806541655 ^ x0)"
7,7.219634472536845e-5,"109.69912751905379 + ((0.13434191248814012 * x0) ^ 2.0761635628231656)"
8,1.7876164619191414e-6,"(-0.05274997942494897 * sin(x0 ^ 1.4651290724081953)) + 109.77904580312457"
10,1.7876164619182302e-6,"(109.77938009234826 * 0.9999969548909968) + (-0.05274997942494897 * sin(x0 ^ 1.4651290724081953))"
12,4.6781575483393446e-8,"(sin(x0 ^ 1.466823583513957) * -0.06032248819532072) + ((x0 * -0.010638720647063997) + 109.80152661362055)"
13,3.726610660450815e-8,"(-0.05886780270085724 * sin(x0 ^ 1.4771462344366213)) + (109.7832863548808 + (0.011260631749636912 * cos(x0)))"
16,3.726604884387214e-8,"((cos(x0) * 0.011261707550972022) + 109.7832865442312) + (sin(x0 ^ 1.4771503205224141) * (0.0009381478682575494 + sin(-0.05984216196396212)))"
17,3.6871274694342574e-8,"((-0.059002203558247965 + (0.0007081881861923846 / x0)) * sin(x0 ^ 1.4774723315117342)) + ((0.010844531859318598 * cos(x0)) + 109.78299831555076)"
18,3.681326807878628e-8,"(sin(x0 ^ 1.4776294806599803) * ((-0.0002551937126678841 * x0) + sin(-0.0581121301560344))) + ((0.010832031738391075 * cos(x0)) + 109.78295323629881)"
19,3.681324485450776e-8,"(sin(x0 ^ 1.4776294806599803) * ((-0.0002551937126678841 * x0) + sin(-0.0581121301560344))) + ((sin(0.010832031738391075) * cos(x0)) + 109.78295323629881)"
