Complexity,Loss,Equation
1,0.5935824438922427,"0.7074425533570073"
2,0.4295057744562821,"sin(x0)"
4,0.34225619373002253,"cos(x0 / -0.18605684080299437)"
5,0.18785657718035353,"sin(sin(x0) ^ -1.3502755704349718)"
6,0.03167533871465815,"cos(x0 * 5.436867959100078) + 0.5954661596427818"
7,0.02699268311477351,"sin(x0) + sin(x0 * -4.7644081877893685)"
8,0.022318121095721528,"sin(sin(-4.771088193598041 * x0)) + sin(x0)"
9,6.763643037125557e-8,"sin((x0 + 0.9999999738085966) * x0) + sin(x0)"
11,6.751223652561448e-8,"sin(x0) + sin((x0 + 1.000017064898181) * (x0 ^ 0.9999938432670656))"
13,6.748528824999312e-8,"(sin(x0) / 0.9999938432670656) + sin((x0 ^ 0.9999938432670656) * (1.000017064898181 + x0))"
14,6.532299361999271e-8,"sin((x0 - -1.0000071403419057) * x0) + (sin(x0) + (5.878257832903063e-6 / cos(x0)))"
15,3.892821191579856e-8,"sin(x0 * (x0 + 0.9999403555410656)) + (sin(x0) - (-1.4080993802880207e-5 / (x0 - 2.6507544447052958)))"
16,3.89282119157602e-8,"((sin(1.4080986367639446e-5) / (x0 - 2.650754439246441)) + sin(x0)) + sin(x0 * (x0 + 0.9999403556234037))"
17,3.5952977990688974e-8,"cos((x0 + 5.046336738699449) * (x0 - 4.046519745632997)) + (sin(x0) - (-1.3830100560458e-5 / (x0 - 2.6485717871722327)))"
19,3.313922315640326e-8,"((sin(x0) / 0.9998976211989897) - (1.628965494255401e-5 / (2.6502645945390984 - x0))) + cos((x0 + 5.046269948230563) * (x0 - 4.046532304329026))"
20,3.3139223156401164e-8,"cos((x0 + 5.046269948230563) * (4.046532304329026 - x0)) + ((sin(x0) / 0.9998976211989897) - (sin(1.628965494255401e-5) / (2.6502645945390984 - x0)))"
21,3.2934471219253635e-8,"cos((5.046247907266375 + x0) * (4.046537038780873 - x0)) + ((sin(x0) - (-0.00015612025975532718 / x0)) - (-1.5061883981744246e-5 / (x0 - 2.6485718192618095)))"
23,3.2934470010279804e-8,"cos((5.046247930925105 + x0) * (4.046537032665031 - x0)) + ((sin(x0) - (-0.00015610513418000125 / x0)) - ((3.1787241772529555e-6 / -0.2109568020868652) / (x0 - 2.6485800134620185)))"
