Complexity,Loss,Equation
1,201.93592906336633,"x0"
3,0.03346084128289991,"x0 - -14.20923883331137"
4,0.014200667534383664,"15.862336983934062 - cos(x0)"
5,0.007597369197428016,"14.819495284246514 - (x0 * -0.6998091244546262)"
6,0.004390442931782584,"16.81477453016735 - (sin(x0) ^ 3.7821939395285504)"
8,8.228939449269566e-5,"16.818433132099916 - (sin(0.18757310162046348 + x0) ^ x0)"
9,6.896646931519839e-5,"16.777647180233497 - (sin(1.1961957011215645 * x0) * sin(x0))"
11,9.326669819679152e-6,"16.792761409254876 - (sin(1.1745877717816413 * x0) * sin(x0 + 0.060260992132226555))"
15,5.2035362582889274e-6,"(-0.24841685455927706 * ((2.998870132534173 - x0) * cos(x0))) + (16.83444433526236 - (sin(x0) ^ 2.6808572232855763))"
17,3.1333815098244884e-6,"((cos(1.044317919623982) / sin(0.03076143014147285)) - (0.0841942931245773 ^ x0)) + (cos(1.041626421963572) * cos(x0 / 0.4572308217783655))"
18,2.247989311951716e-6,"((cos(1.0434820175774009) / 0.030807688627887842) - ((0.08865622297487523 ^ x0) / x0)) + (cos(1.038148386572227) * cos(x0 / 0.4570376238279779))"
19,2.1229635778751377e-6,"(sin(cos(1.0100528681075416)) * cos(x0 / 0.4571721093063812)) + ((cos(1.047535943442891) / 0.030590941031524745) - ((0.09306634089252308 ^ x0) / x0))"
20,1.0017674500119099e-6,"(cos(x0 / 0.456769968601823) * sin(cos(1.0035350864732826))) + ((cos(1.0460678275388615) / sin(0.030683100429969915)) - ((0.004485211743722865 ^ x0) / 0.03707062157097656))"
21,9.870108328514476e-7,"((cos(1.0521886399336742) / 0.030352508021328786) - ((0.0347488656039959 ^ x0) / (x0 - 0.7809722715302077))) + (sin(cos(1.0041456087894773)) * cos(x0 / 0.45678085922741235))"
