Complexity,Loss,Equation
1,9.392289924328233e10,"x0"
3,8.998148596655957e10,"x0 / 0.010423760434219262"
5,2.785957471743102e8,"(x0 * x0) * x0"
7,0.6310886263714339,"(x0 - -306467.90630413854) - (x0 ^ -6.849687572553637)"
8,0.024567345955685643,"((x0 - -306467.90630413854) - sin(x0)) - 0.07093885308140684"
9,0.020083068102474844,"((x0 - -306467.90630413854) - sin(x0)) - sin(-0.02341245619037924)"
10,0.019535025127194915,"((x0 - -306467.90630413854) - sin(x0)) - (x0 ^ -6.849687572553637)"
11,0.014626095414764858,"((x0 - -306467.90630413854) - sin(x0)) - (0.07093885308140684 * sin(x0))"
12,0.01421846426519325,"((x0 - -306467.90630413854) - sin(x0)) - (sin(x0) * sin(0.08733901357070768))"
13,4.235164736271502e-21,"((x0 - -239444.99848276583) - sin(x0)) - ((x0 - 67091.89329833459) - sin(x0))"
15,2.752857078576476e-21,"((x0 - -306536.8917811004) - x0) - ((259.16675721728694 * cos(-67.54424205218027)) * cos(x0 + x0))"
28,1.9058241313221758e-21,"(((-10440.375611158606 + 121349.53709695497) + (110749.15198602743 + 24784.470122610528)) - ((99.9010753787314 * -599.5382591993492) - (x0 / x0))) + ((sin(-2.971111422212219e-11) / cos(x0)) - (sin(-0.39644594033281777) + (-19.363789408328927 * 10.23586940525722)))"
