Complexity,Loss,Equation
1,0.5591506042646284,"1.2245209646690167"
3,0.48668342608648346,"1.6995723710261306 / x1"
4,0.4171956377324912,"cos(x0) - -1.4792762027748194"
5,0.37607517547884717,"1.6883203811959078 / (x1 - 0.37788522535531194)"
6,0.009801448262052103,"0.8901329156870192 + sin(x1 ^ 1.9906511466137462)"
7,1.199156570364785e-7,"sin(x1 ^ 1.9999983510324717) + sin(x0)"
9,1.1927034296942416e-7,"(sin(x0) ^ 0.9998003438053809) + sin(x1 ^ 1.9999950433009492)"
11,1.1815996294784055e-7,"((sin(x0) * 0.999576736500552) + sin(x1 ^ 1.9999943865984142)) - -0.0003772155778663735"
12,1.1058356679477362e-7,"(sin(x0) + sin(x1 ^ 2.000001844901504)) + (2.4023443661495005e-6 / cos(x0))"
13,5.6891157345104883e-8,"(-1.2207555428487246e-5 / (-2.161889419325656 + x1)) + (sin(x0) + sin(x1 ^ 2.0000064197095737))"
16,5.6818255028247025e-8,"(sin(x1 ^ 2.0000069738556) + sin(x0)) + (3.3424181274222758e-6 / (sin(-0.6313179578378043) + (1.275877044426786 / x1)))"
18,5.6818255028237476e-8,"(sin(x1 ^ 2.0000069738556) + sin(x0)) + (sin(sin(3.3424181274222758e-6)) / (sin(-0.6313179578378043) + (1.275877044426786 / x1)))"
19,5.517341126236391e-8,"(((-1.2925151917334688e-6 * x0) / (-2.3280448279068944 + x0)) / (x1 - x0)) + (sin(x0) + sin(x1 ^ 1.999969188447858))"
20,5.366860194109906e-8,"((cos(x0) / (x1 - x0)) * (4.493776191733931e-6 / (x0 + -2.3278849251900944))) + (sin(x0) + sin(x1 ^ 1.9999682351714818))"
21,5.060399729206271e-8,"(sin(x0) + sin(x1 ^ 1.9999979116173212)) - ((-1.414052284125504e-5 / (x0 - x1)) / ((x0 + x0) - (x1 ^ 2.000621043744788)))"
23,4.97934150534159e-8,"(sin(x1 ^ 1.9999929481329837) + (sin(x0) ^ 0.9997101997590453)) - ((-1.4145390718435088e-5 / (x0 - x1)) / ((x0 + x0) - (x1 ^ 1.996869711504262)))"
24,4.9793415053376964e-8,"(sin(x1 ^ 1.999992948132984) + (sin(x0) ^ 0.9997101997590692)) - ((sin(-1.4145390719157392e-5) / (x0 - x1)) / ((x0 + x0) - (x1 ^ 1.9968697115042557)))"
25,4.9736861739632574e-8,"((sin(x0) ^ 0.9998164185231663) + sin(x1 ^ 1.9999943119682064)) - (((-6.772983898042681e-6 * x1) / (x0 - x1)) / ((x0 + x0) - (x1 ^ 1.9999840283763917)))"
