Complexity,Loss,Equation
1,1.036650740279478e17,"x0"
3,1.0362333452060344e17,"1.2440781647729042 ^ x0"
5,2479.352868189149,"x0 + (x0 + 3.219706095855799e8)"
6,0.17095404611879328,"(x0 + 3.219706096008732e8) + cos(x0)"
8,0.03716045889353636,"((x0 + 6.47302636362927e8) + cos(x0)) * 0.4974035598176621"
11,1.0014211682118912e-13,"(-2.000000328300759 * x0) + (x0 - (-1.2046208915912749e8 - (x0 + 2.0150857204129866e8)))"
15,1.0880185641326534e-14,"(((x0 - x0) / x0) - (-1.8172635939460137e8 - (x0 + 1.4024430180578956e8))) + (-0.9999996341533541 * x0)"
17,7.327471962526033e-15,"((-1.9999996927482242 * x0) + x0) + (((2.8556290180681787e7 + x0) - x0) - (-2.855632268667537e7 - (x0 + 2.6485804833303675e8)))"
18,3.774758283725532e-15,"((-0.9999998088948685 * x0) + sin(-0.023547028936968025)) + (((x0 - x0) * -1.4072595176862146) - (-1.2046208917088674e8 - (x0 + 2.015085720530579e8)))"
19,3.1086244689504383e-15,"(((x0 + x0) * -0.999999890771484) + x0) + (((x0 - x0) / x0) - (-1.9162640420989904e8 - (x0 + 1.3034425699049939e8)))"
20,2.6645352591003757e-15,"(((x0 - x0) / cos(x0)) - ((-1.3450151736532798e8 + 2.3467850189915236e7) - (2.1093699402498662e8 + x0))) + ((-1.999999800114043 * x0) + x0)"
25,1.5543122344752192e-15,"(((x0 - x0) / cos(x0)) / (2.3386435752887396 - (-0.2582369323152407 / x0))) + ((2.7496664583029784e-7 * sin(x0)) - ((-2.8868296911638504e8 + x0) - (x0 + 3.3287692084024373e7)))"
