Complexity,Loss,Equation
1,73419.3389461926,"x0"
3,3.8222021438473136e-5,"272.98185302797384 + 0.003290103311157893"
5,7.2016795999202685e-6,"(1.0087117792641942 ^ x0) + 271.9673314422668"
6,1.9330156598989833e-6,"273.0013367282964 + (-0.022176848582176945 * sin(x0))"
7,1.8522168592189873e-6,"272.957104375461 - (-0.021914692361767997 / cos(cos(x0)))"
8,1.3202986690110735e-6,"273.00133184108734 - (sin(1.444941817371008 ^ x0) / 46.106510767541515)"
9,1.2651913463399068e-6,"272.9943917384077 + ((x0 * 0.007509512828169327) * (x0 - 2.8278671673378515))"
10,1.265151398132099e-6,"272.9943917384077 + sin((x0 * 0.007509512828169327) * (x0 - 2.8278671673378515))"
11,1.144415998824107e-6,"273.0019787317909 - (sin(sin(x0)) / (44.29960555802508 - (9.865226018538202 / x0)))"
12,7.777151634529051e-7,"(0.0011463077207303266 * (x0 ^ x0)) + (272.97996103358645 - (0.0019707280541109333 / sin(x0)))"
13,7.777151634423139e-7,"(0.0011463077207303266 * (x0 ^ x0)) + (272.97996103358645 - (sin(0.0019707280541109333) / sin(x0)))"
14,6.00652822570871e-7,"(0.0013434743310282923 * ((x0 ^ x0) - x0)) + (272.98216438251893 - (0.0025090625214365028 / sin(x0)))"
16,4.885085672481784e-7,"(272.97935620766447 + ((x0 ^ x0) * (0.00032822928657699383 * x0))) - (2.79746016418249e-5 / (sin(x0) ^ x0))"
19,4.773750361213242e-7,"(272.98271001064734 - (0.002539720012820935 / sin(x0))) + (((x0 ^ -14.866142107284006) - cos(x0)) * ((x0 ^ x0) * 0.0011876653908844393))"
20,4.773750361054722e-7,"(272.9827100107159 + (-0.0025397199826673426 / sin(x0))) + (((x0 ^ x0) * sin(0.0011876656336656654)) * ((x0 ^ -14.866142111180203) - cos(x0)))"
25,4.6816337756820685e-7,"(((x0 ^ -14.866142704169453) - cos(2.3462521937921466)) * (0.0018379816811746022 * (x0 ^ x0))) + (((272.9786153131601 + x0) - x0) - ((0.0007939656517345269 * x0) / sin(x0)))"
