Complexity,Loss,Equation
1,0.17672653958564874,"0.389672121615193"
2,0.16248737442448347,"sin(x0)"
3,0.1348886915964498,"sin(sin(x0))"
4,0.08994393703681115,"sin(x0 * 1.7581495739344224)"
6,0.054237276681803295,"0.6129182258924818 + cos(-3.66419914238252 * x0)"
7,0.017492528506918986,"sin(3.1386377505147256 * sin(x0 * 0.9737847593489293))"
8,0.002789087913059934,"(cos(-3.6641862160723275 * x0) - -0.8098057128694284) * 0.6469818435283069"
10,0.0027647186221965033,"(cos(-3.6641862160723275 * x0) - -0.8098057128694284) * (0.9931602967937891 ^ x0)"
11,0.0003205431697088613,"(cos(x0 * -2.6531053808131593) - 0.25633984301264917) * cos(x0 * 1.6856055760465678)"
13,7.233374719131528e-5,"(cos(x0 * 1.0078688083973137) + 0.2569372081916566) * (cos(-3.6187604292179176 * x0) - 0.8154842418629479)"
17,7.233362788959e-5,"(cos(x0 * 1.0078688083973137) + 0.2569372081916566) * (cos(-3.6187604292179176 * x0) - (0.8154842418629479 - (-0.0005972483016837631 / x0)))"
18,6.567330025486494e-5,"(cos(-3.6085840221641328 * x0) - (sin(x0) - (0.09405577762337691 * -1.020650746660585))) * (cos(x0 * 1.0181916019270851) + 0.19043688591006114)"
22,6.567328413003949e-5,"(cos(-3.6085840488986625 * x0) - (sin(x0) - (-1.0206520624830904 * 0.09407005658741546))) * ((0.1904542635934678 * (x0 / x0)) + cos(1.0181913328482641 * x0))"
