Complexity,Loss,MSE,NMSE,Absolute Error
1,0.3406465058355497,0.30913565222909634,0.27885273965201307,0.3838289667529518
3,0.2489994610406644,0.26480693457369947,0.23886646089595656,0.4110093186401598
5,0.1101075505436068,0.12884618357795433,0.11622441806806608,0.2743883484585649
7,0.1047649548259467,0.09882368565058085,0.08914292249200516,0.30452720858608445
8,0.0144942623510995,0.019246936559960612,0.017361507645439905,0.11486115902657953
9,0.0021911655989893,0.001998195801704349,0.0018024526438428171,0.035329647825477484
12,0.0021856661017464,0.002015108973090435,0.0018177090018306654,0.03528493174947373
14,0.0021757340946511,0.001967342000907091,0.0017746212797832076,0.034903267367330876
16,0.0020926804853594,0.0018965264708395916,0.0017107428353953132,0.036154581112571624
19,0.0020545210056725,0.001969530060180303,0.001776594996882664,0.03779277609151747
20,0.0019293087107042,0.0018290026803850945,0.0016498336719774009,0.036886467208274966
21,0.0014645185745536,0.001399321025185832,0.0012622436096000904,0.027625234069581384
23,0.0014634174653146,0.001399603440863342,0.0012624983598523713,0.027552998960115878
26,0.001433356176048,0.0014436407392732751,0.0013022217667772464,0.02993888555910812
28,0.0013936233042684,0.0013243780928608698,0.001194642083067383,0.02969484814422214
29,0.0012525005935662,0.0012579707928058075,0.0011347400387068571,0.028451930909266027
