Complexity,Loss,MSE,NMSE,Absolute Error
1,0.934187814829644,0.7881164776246091,0.5084177511231832,0.5430132818860629
3,0.8321959603927467,0.6857248715969477,0.44236443089902416,0.6046773357975744
5,0.3405159743892659,0.2819887028453673,0.18191227593020004,0.2607631246701957
7,0.2107577453711474,0.1703775390432973,0.10991137439909648,0.276280584076037
8,0.0022013713251722,0.0020206409984674188,0.0013035252801267276,0.037770458248203284
12,0.0020005507796132,0.0018123191188027885,0.0011691358280903064,0.035892809905913314
13,0.0007985054672952,0.0007501367595154388,0.00048391685129736553,0.02224250537586978
14,0.0007950407682087,0.0007473809998261412,0.00048213909739467915,0.022116544550540643
17,0.0005498168430021,0.0005304883888297257,0.0003422206251272371,0.01894273523634867
19,0.0005498168430021,0.000530488389156745,0.0003422206253381988,0.018942735245312398
21,0.0005449666713832,0.0005395819932526308,0.00034808695331800413,0.018893429275395526
22,0.0005435324988735,0.0005344741520124939,0.00034479186023197734,0.018600538846446583
24,0.0005427218305483,0.0005295785662081829,0.0003416336941540896,0.018269374860850864
25,0.0004605097372918,0.0005046337062873321,0.0003255416443833924,0.01718125693973276
26,0.0004410554074608,0.0004946185501613859,0.00031908081873228034,0.017065558710035216
28,0.0004341852729314,0.00048078434959750475,0.000310156309044988,0.016718482223600405
29,0.0003171658748535,0.00038146651456898265,0.00024608589335742775,0.016955700240856804
