Complexity,Loss,MSE,NMSE,Absolute Error
1,0.3205714533983795,0.4935271965993985,0.3904002489561537,0.4466688574116218
5,0.1748555021490116,0.23537792778922073,0.18619359224955698,0.33503157972237674
7,0.0387422662811917,0.08617123585000543,0.06816498089771646,0.17380445807423492
8,0.0125631242119055,0.01376983013276643,0.010892500249139285,0.07639535038846508
10,0.0093127577180999,0.008787579617497921,0.006951335800806791,0.056496874678580666
12,0.0008545118282124,0.0007976258649921263,0.0006309547648284011,0.023001155018332182
15,0.0006937383833325,0.0005734715312517789,0.0004536394956804981,0.01989067877906162
17,0.0005952905495452,0.0004971434612951681,0.0003932608626107762,0.01873124424389202
19,0.0005952905495452,0.0004971434605063861,0.0003932608619868173,0.01873124427119588
20,0.0004786525026805,0.00043023478367292743,0.0003403333551075724,0.01635882556224612
22,0.0004786525026782,0.0004302347702466798,0.00034033334448686005,0.016358815359173905
25,0.0004786446926779,0.00043063714942853556,0.0003406516429187472,0.016364557162223663
26,0.0004784882969908,0.00042750140705760436,0.0003381711421262699,0.016292161629728855
27,0.0004744889344127,0.0005081952262251852,0.00040200326183378356,0.017808681152559395
29,0.0003561652457382,0.00030193965525974185,0.00023884664795650718,0.01428028600525331
