Complexity,Loss,MSE,NMSE,Absolute Error
1,1.6711815110771977,1.55622730534789,0.5568341832721306,0.6657575181598904
3,1.0821516771816386,1.0545198288737825,0.37731807277596535,0.7382637659510568
5,0.914340054285041,0.8856463404851649,0.31689339659913246,0.5450259485390785
7,0.4540826361935351,0.3839388640110573,0.13737728610296715,0.42789384505253975
8,0.0306477053485138,0.06256338848613331,0.0223858257792394,0.19014223417746073
10,0.0208864620960156,0.041057029590341285,0.014690628715325532,0.14446833913759954
12,0.0140553517704223,0.01195676273993378,0.004278253049532059,0.0837249765252912
13,0.0077526505685024,0.02742612292450941,0.009813349699307769,0.09965865724100395
15,0.0064580939425749,0.020396744180076108,0.007298165472288962,0.09404639558563205
16,0.0062458865031992,0.020648355031553243,0.0073881944304644235,0.09721518939828869
18,0.006170351141708,0.020920228383741177,0.007485473520414065,0.09639512589007482
19,0.0051259888650045,0.008769331342661734,0.0031377572153202574,0.07045080826403635
22,0.005123817306421,0.008579597153313535,0.0030698683651494358,0.06979612954429944
24,0.0050440688305483,0.0075756692017788394,0.0027106525879709745,0.06696333314993302
26,0.0047823570621563,0.004531022047355088,0.0016212464287554522,0.05647389515098582
28,0.0047414863474822,0.004605392966595802,0.001647857110840447,0.05650422036458471
