Complexity,Loss,Equation
1,0.4308803372532773,"x0"
3,0.3145615045076284,"x0 + x0"
5,0.23080790777189203,"x0 + (x0 * x0)"
7,0.05118791505542275,"(x0 * x0) + (x0 + x0)"
8,0.027024908705734523,"(x0 - -1.7438576705195878) * x0"
9,0.0016347137273770261,"(((x0 * x0) + x0) * x0) + x0"
11,0.001634713727377026,"((x0 * x0) + ((x0 * x0) * x0)) + x0"
12,0.0012857919320748597,"(x0 - (-1.0307800925041835 - (x0 * x0))) * x0"
15,0.0012819707979337298,"((x0 * (x0 - -1.003834373510507)) - -1.0311096168039902) * x0"
17,0.0012808764132187247,"(((x0 * x0) - (-1.0237084816381987 - x0)) * 1.0042836272433635) * x0"
19,0.0011983093593852044,"(((1.8973153207748916 ^ x0) ^ x0) * (x0 * 1.0900336976751213)) + (x0 * x0)"
24,0.0009500498055170551,"((x0 + (x0 * x0)) - -1.0299352307735583) * (x0 + (-0.0006383254463572574 / (0.21982507993659495 + x0)))"
27,0.0009445718825932724,"((x0 * (x0 - -1.003834373705338)) - -1.0311096168253626) * ((-0.0006383368835860139 / (0.2198252175364927 + x0)) + x0)"
29,0.0009372895600108194,"((-0.0010034523529774935 / (x0 + 0.22379769697738125)) + (x0 + 0.0026426936200159602)) * ((x0 + (x0 * x0)) - -1.0285298440654467)"
