Complexity,Loss,Equation
1,0.4540709090211455,"x0"
3,0.2506393414340143,"x0 + x0"
5,0.14008970394305217,"(x0 * x0) + x0"
7,0.06543055215997381,"(x0 + x0) + (x0 * x0)"
8,0.021848369411845973,"x0 / (0.3359285734941433 ^ x0)"
9,0.006370155638052504,"(x0 * (x0 + (x0 * x0))) + x0"
11,0.006370155638052495,"x0 + ((x0 + (x0 / x0)) * (x0 * x0))"
12,0.005961612422648559,"x0 * ((1.0376578852997276 + (x0 * x0)) + x0)"
14,0.005961612422648557,"(x0 * ((2.0376578852608445 + x0) + (x0 * x0))) - x0"
15,0.005745943545291652,"(((0.9628342051258726 + x0) * x0) + 1.0459642339451534) * x0"
16,0.005658708434051428,"(x0 - (-0.003625830997155723 / x0)) + (x0 * ((x0 * x0) + x0))"
17,0.005486255043813314,"x0 * (((1.8508851061701566 ^ x0) ^ x0) + (x0 + 0.16554539877380503))"
19,0.005465201393526058,"(x0 * ((x0 + 1.0267904783752673) + (x0 * x0))) + (0.0031307766037771837 / x0)"
21,0.00479712733392504,"(x0 - (0.0013072626484617036 / (-0.14957628286718586 - x0))) + (x0 * ((x0 * x0) + x0))"
23,0.004643816640944051,"(x0 - ((-0.0002882018356830573 / x0) / (x0 - -0.16952758353355132))) + (((x0 * x0) + x0) * x0)"
24,0.004358299050001914,"(x0 * ((x0 * x0) + (x0 + 1.0748145991233269))) + (0.003781562279127765 / (0.8730547999691656 - x0))"
26,0.004017582829797935,"(x0 * ((1.063419700215868 + x0) + (x0 * x0))) + ((0.002357309939083562 / (0.8786868022265413 - x0)) / x0)"
29,0.003804369405229958,"(0.918881729678004 + (0.02102318152726198 / (0.18170568190745554 + x0))) * (x0 * ((x0 + 1.1831742052380705) + (x0 * x0)))"
