Complexity,Loss,Equation
1,1.5352024277727898,"x0"
3,1.0498256875757357,"x0 + x0"
5,0.7750283429551342,"(x0 * x0) + x0"
6,0.7487954553814058,"3.806553120742393 ^ x0"
7,0.3768001027866289,"((x0 * x0) + x0) + x0"
8,0.01739670218692406,"(5.272288518929905 ^ x0) * x0"
10,0.013374714353691954,"((4.442566604763412 + x0) ^ x0) * x0"
12,0.00965488324255762,"x0 * ((4.550848538271943 + (x0 * x0)) ^ x0)"
13,0.007367649769669272,"(11.669498755500273 ^ x0) - (5.942964341673441 ^ x0)"
14,0.001447112865383091,"(x0 + (x0 * x0)) * ((3.0395539733727244 ^ x0) ^ x0)"
17,0.0013919898255981987,"(x0 / ((0.3310530555755253 ^ x0) ^ x0)) * (x0 + 1.0081880648911927)"
19,0.0008800193072242903,"(((3.5255438531894465 ^ x0) / 1.136762191811906) ^ x0) * (x0 + (x0 * x0))"
21,0.0008800193072242899,"((x0 * x0) + x0) * (((3.5255438536923007 ^ x0) ^ x0) / (1.1367621921503703 ^ x0))"
22,0.0008795943391708735,"(x0 * (x0 - -0.9993703978913737)) * (((3.533838678882066 ^ x0) / 1.1385959825827405) ^ x0)"
24,0.0008684959736080137,"(((3.2281784189428944 ^ x0) ^ x0) - (0.1335101244164653 * x0)) * (x0 * (1.0085006979004763 + x0))"
26,0.0008517370369076375,"(((3.523105856619392 ^ x0) / 1.1363723949086963) ^ x0) * (((x0 * x0) + x0) - (-0.00026148780000099066 / x0))"
28,0.000851737036907637,"(((3.523105856619392 ^ x0) ^ x0) / (1.1363723949086963 ^ x0)) * (((x0 * x0) + x0) - (-0.00026148780000099066 / x0))"
29,0.0008503775556876643,"(((3.5379702486634006 ^ x0) / 1.1396629887801697) ^ x0) * ((0.00026700031378778166 / x0) + (x0 * (x0 - -0.9988696534574837)))"
