Complexity,Loss,Equation
1,1.0361123575448226,"x0"
3,1.003998293042562,"x0 + x0"
5,0.5471342301270088,"(x0 * x0) + x0"
7,0.3847436494177244,"x0 + (x0 + (x0 * x0))"
8,0.016779554257862782,"x0 * (5.452000411390463 ^ x0)"
10,0.010184070439261634,"x0 * ((x0 + 4.5685340438266255) ^ x0)"
13,0.008548580065251554,"(x0 + -0.0922778466511886) * (6.235602332927134 ^ x0)"
14,0.0006127928336194605,"((x0 * x0) + x0) / ((0.33255618793432457 ^ x0) ^ x0)"
17,0.0005566957765966085,"((1.0082451001398665 + x0) / ((0.3344909587780585 ^ x0) ^ x0)) * x0"
19,0.0005055601189157145,"(((3.0402841808789636 ^ x0) + -0.029631428837231487) ^ x0) * ((x0 * x0) + x0)"
21,0.000490554213469786,"(((x0 * 0.05593407013815169) + (2.9430587240061583 ^ x0)) ^ x0) * ((x0 * x0) + x0)"
26,0.0004455450824130687,"(x0 + (x0 * (x0 - 0.014414601469608648))) * (((2.9035555880488144 ^ x0) - (-0.11735513336493256 * x0)) ^ x0)"
28,0.00036591962115610857,"(((x0 / x0) + x0) / ((0.33244600390338697 ^ x0) ^ x0)) * ((0.0016202223633241652 / (-0.8343282217559633 - x0)) + x0)"
29,0.00036571999272747794,"((x0 + 0.9994201601813304) / ((0.33229824117809514 ^ x0) ^ x0)) * (x0 + (0.0016901936223268227 / (-0.8345686211667 - x0)))"
