Complexity,Loss,Equation
1,2.3176433130496186,"x0"
3,1.7007936113081605,"x0 + x0"
5,1.2343109923401994,"x0 + (x0 * x0)"
6,0.6494661809518736,"4.500193276887885 ^ x0"
8,0.013683646699495199,"x0 / (0.18334014087605455 ^ x0)"
10,0.01186244283451923,"((x0 - -4.580980834781019) ^ x0) * x0"
12,0.008616917303373058,"x0 * (((x0 * x0) - -4.662915058805003) ^ x0)"
13,0.00735524519672943,"(-0.08900145796874494 + x0) / (0.1620116581115418 ^ x0)"
14,0.0027694668418999013,"(x0 + (x0 * x0)) / ((0.3317006763557613 ^ x0) ^ x0)"
16,0.0027694668418998987,"(x0 * ((x0 / x0) + x0)) / ((0.33170067631845446 ^ x0) ^ x0)"
17,0.002764573995468936,"((x0 - -0.9978239276265918) * x0) / ((0.33120610376826076 ^ x0) ^ x0)"
19,0.0025277092143154998,"((x0 + (x0 * x0)) / ((0.3500448904170635 ^ x0) ^ x0)) / 0.9580385075185707"
21,0.0022077360299021737,"(((x0 * x0) + x0) / ((0.3329618807460491 ^ x0) ^ x0)) - (-0.009341303086972296 / x0)"
23,0.0021112318331906396,"((x0 - (-0.00917703407864325 / x0)) * ((x0 / x0) + x0)) / ((0.3366788676680768 ^ x0) ^ x0)"
24,0.0020244587959580315,"((x0 - (-0.01016914130703198 / x0)) * (0.9905448332961001 + x0)) / ((0.33503745854497863 ^ x0) ^ x0)"
25,0.0017327876965737689,"((x0 + (x0 * x0)) / ((0.33186936483733254 ^ x0) ^ x0)) - (-0.000671817835183897 / (x0 * (x0 * x0)))"
26,0.0016289315526882323,"((x0 + (x0 * x0)) / ((0.33175819787089633 ^ x0) ^ x0)) - (-0.0004308353145805327 / (0.18747455236846403 + x0))"
28,0.0015756437562560266,"((x0 + (x0 * x0)) / ((0.3321196508848429 ^ x0) ^ x0)) - (-0.001961017572293529 / ((-0.03365063098208723 / x0) + x0))"
30,0.0015418618838803943,"((x0 + (x0 * x0)) / ((0.3334915274935604 ^ x0) ^ x0)) - (((-0.0007353158863252742 / x0) / (x0 * x0)) + -0.015924999706207848)"
