Complexity,Loss,Equation
1,0.09876118425862368,"x0"
2,0.09755905439961304,"cos(x1)"
3,0.04700890874353828,"x0 ^ x1"
4,0.043888462971510056,"sin(x0 + x0)"
5,0.008302874219774525,"x0 / cos(cos(x1))"
6,0.003485651401746072,"sin(x0) / cos(cos(x1))"
7,0.002726038537034215,"sin(x0) / sin(cos(cos(x1)))"
8,0.0020107268645609454,"sin(x0) / cos(cos(x1) ^ x1)"
10,0.0017690758970400017,"(x0 / cos(cos(x1))) * cos(log(cos(x0)))"
11,0.000926526585516917,"sin(21.95183395457097 - x0) / cos(cos(x1))"
14,0.0009203255944872344,"((0.052990482358519865 / exp(x0)) + sin(x0)) / cos(cos(x1))"
15,0.0004912941195890164,"sin((0.006622391713533791 / x1) + sin(x0)) / sin(cos(cos(x1)))"
16,0.0004846290734324843,"(sin(sin(x0)) + (0.08563073753479324 * (x0 ^ x1))) / cos(cos(x1))"
17,0.00044971646987664493,"(sin(x0) / cos(cos(x1))) - ((x1 ^ x0) / (-45.859148761564185 * x1))"
18,0.0002944204153976779,"(0.1684234292364118 * ((x0 * x0) ^ x1)) + (sin(sin(x0)) / cos(cos(x1)))"
21,0.00024576767173512963,"(sin(sin(x0)) / cos(cos(x1))) + ((0.17424412831398375 * (x0 ^ x1)) * (sin(x0) ^ x1))"
22,0.0002457676717351295,"(sin(sin(x0)) / cos(cos(x1))) + ((sin(0.17513810174329042) * (x0 ^ x1)) * (sin(x0) ^ x1))"
23,0.0001807071637469846,"(sin(x0) / cos(cos(x1))) + ((0.6001767250212946 - (x0 ^ x0)) * ((x0 * x0) - (x0 ^ x1)))"
24,0.0001807071637469845,"(sin(x0) / cos(cos(x1))) + (((x0 * x0) - (x0 ^ x1)) * (sin(0.6437220333222339) - (x0 ^ x0)))"
27,0.00012573166199560243,"(((0.2838996887181958 * x1) - (x0 ^ x1)) * ((x1 ^ x1) * -0.20480603618778107)) + (sin(sin(x0)) / cos(cos(x1)))"
28,0.00011468981273135811,"(sin(x0 - 0.022057101653151143) / cos(cos(x1))) + ((0.5328806174994459 - (x0 ^ x0)) * ((x0 * x0) - (x0 ^ x1)))"
29,0.00011468981273135785,"(sin(x0 - 0.022057101653151143) / cos(cos(x1))) + ((cos(1.008795178074223) - (x0 ^ x0)) * ((x0 * x0) - (x0 ^ x1)))"
