Complexity,Loss,Equation
1,0.1064724414636682,"x0"
3,0.03276809868708619,"x0 ^ x1"
4,0.03216880831250975,"sin(x0 + x0)"
5,0.006751673115348296,"x0 / cos(cos(x1))"
6,0.00592003771370178,"cos(x1) * (x0 + x0)"
7,0.0025969000334220387,"(sin(x0) + x0) * cos(x1)"
8,0.002242227016872921,"cos(x1) * (sin(sin(x0)) + x0)"
9,0.0018276288162736825,"sin(x0) * (2.21138190937978 - x1)"
10,0.0016130848948769047,"cos(x1) * (2.0691008479974116 * sin(x0))"
11,0.0013395523811561075,"sin(cos(x1) * sin(x0)) * 2.165317900520262"
13,0.0011149915417955467,"cos(x1) * (sin(6.332135700453045 + x0) + sin(x0))"
15,0.0009910461341918182,"(0.008980054783735553 / x1) + (cos(x1) * (sin(x0) + sin(x0)))"
16,0.0009455178187620857,"((sin(x0) + sin(x0)) * cos(x1)) + (log(x1) * -0.03355839853025515)"
17,0.0008034803141866297,"((sin(x0) + sin(x0)) - (-0.02849703721327449 / (x1 + x0))) * cos(x1)"
18,0.0008017142630245878,"sin(x0) + (sin(x0 + 0.06114424137610696) * cos(x1 * 1.4583460831617772))"
19,0.0006981188773458135,"cos(x1) * ((sin(x0) + sin(x0)) - ((x1 ^ x0) * (-0.021082342106587413 / x1)))"
20,0.00045658322853590373,"((x0 + (0.44107759527066764 + x0)) * cos(sin(x1))) + (-0.3659053007517645 / cos(x0))"
21,0.00041195032038065735,"((sin(x0) + (0.3517623498568836 + x0)) * cos(sin(x1))) + (-0.2779967751314003 / cos(x0))"
22,0.00026702068268124154,"((sin(x0) + (0.43269305110484946 + x0)) * cos(sin(x1))) + (-0.9431993959047391 / exp(cos(x0)))"
23,0.00022503370630609773,"(sin(sin(x0)) - cos(x1)) + ((sin(x0) + 1.1010085857100391) * ((0.4121813495605934 ^ x1) ^ x1))"
24,9.493416904586957e-5,"(sin(sin(x0)) - cos(cos(x1))) + ((sin(x0) + 0.6542799541889505) * ((0.729048145196692 ^ x1) ^ x0))"
25,4.405063780346012e-5,"(sin(x0) + (cos(x1) * sin(x0))) - (((1.2832891977291703 ^ x1) + -2.144342366779977) + (x0 / sin(x0)))"
27,2.6230396414717896e-5,"((cos(x1) * sin(x0)) + (sin(x0) * 1.9430514382649235)) - (((1.2786166761314548 ^ x1) + -1.1482039746512855) + x0)"
29,2.6230396414717646e-5,"((cos(x1) * sin(x0)) + (sin(x0) * 1.9430514382649235)) - (((1.2786166761314548 ^ x1) + -1.1482039746512855) + log(exp(x0)))"
