Complexity,Loss,MSE,NMSE,Absolute Error
1,0.1714047007754276,0.18654465253906866,0.07501375639641657,0.35892921936421607
6,0.0013950887764142,0.0012737709157995246,0.0005122116334190526,0.029827229882066087
8,0.0013950887764142,0.001273770915130775,0.0005122116331501335,0.029827229902903256
10,0.0013950887764142,0.00127377091537962,0.0005122116332501996,0.029827229895149594
11,0.0007126518405834,0.0006804935118930604,0.0002736415857313156,0.022751978140406137
12,5.335819284224393e-05,5.5736104662129755e-05,2.241272810934392e-05,0.006046923164458909
17,2.6749095653461725e-05,2.5109594462223343e-05,1.0097126755255292e-05,0.0042205903893455686
19,2.6749095653449968e-05,2.5109600505293277e-05,1.0097129185308203e-05,0.004220591109028251
22,2.447635258528071e-05,2.322882792844485e-05,9.340828674966739e-06,0.003988063156300466
27,2.43310955804915e-05,2.2677589585499122e-05,9.11916346928396e-06,0.003942112105007814
29,2.430745297497757e-05,2.2785754546532053e-05,9.162659007360846e-06,0.003935371513546499
