Complexity,Loss,MSE,NMSE,Absolute Error
1,0.2124987635965359,0.21918512429755838,0.08245703466674968,0.38791936932931437
6,0.0108225027997588,0.009835935306240029,0.003700260504109292,0.07475375194293216
8,0.0108225027997588,0.009835935304847387,0.003700260503585383,0.07475375192854758
10,0.0108225027997588,0.00983593530484972,0.0037002605035862607,0.07475375192857169
11,0.0058190825702367,0.009533434900275216,0.0035864604159815765,0.07640994958736362
12,0.0055759681693417,0.005496086822370195,0.0020676176045068113,0.057557169445308975
13,0.0049379524651866,0.005307766655093119,0.001996771909063843,0.06097238635966719
14,0.0048359267167022,0.0046685464285181,0.0017562984528870038,0.052350131588573115
15,0.0038794028802426,0.004380674409220519,0.001648001536520621,0.052618673032034914
17,0.0036038362694964,0.003977433695212451,0.001496303132531904,0.048815641465452704
19,0.0036021086695698,0.004017927085733631,0.0015115366704678377,0.049333925544535986
20,0.003498207929866,0.0033435398160809675,0.001257833438322061,0.045283237037201676
24,0.0034729060203356,0.00686074537753716,0.0025809996059190867,0.05744081047104595
25,0.0034532471722734,0.004740253517605966,0.0017832745259654982,0.051982079962318475
27,0.0017736596319077,0.0024007330384171093,0.0009031512882490631,0.040345591191321924
29,0.0017569463615487,0.002586853272907837,0.0009731693730838307,0.04148317076404671
