Complexity,Loss,Equation
1,0.21863506481495168,"x0"
6,0.0013079365934488569,"x0 / 0.7260412043361598"
8,0.0013079365934488545,"(2.3773322975457014 * x0) - x0"
10,0.0013079365934488528,"(3.377332297505461 * x0) - (x0 + x0)"
11,0.0009163035553441378,"(x0 * 1.404339576222713) + -0.03879397609704749"
12,8.46680345319002e-5,"(x0 / (x0 + (1.5682524463445693 / x0))) + x0"
17,4.037433049301683e-5,"((0.4671449542355492 ^ x0) * (x0 * x0)) - (-0.9184497927102009 * x0)"
19,4.037433049301605e-5,"(x0 + ((x0 * x0) * (0.4671449549073725 ^ x0))) - (x0 * 0.08155020818446791)"
20,3.751306040554768e-5,"(((0.7903952091512594 + x0) * x0) / (1.5945441624762728 ^ x0)) * 1.2310007376286152"
24,3.07598443340663e-5,"((x0 * x0) * ((x0 + 0.29938925658539756) * (0.2553919752745445 ^ x0))) + (1.0517929692343622 * x0)"
25,2.9780990799866315e-5,"(x0 + ((x0 * x0) * (0.4212167516878266 ^ x0))) + ((x0 * -0.03578076246228076) / ((x0 * x0) ^ x0))"
27,2.872237798709975e-5,"(((0.4216880875869995 ^ x0) * (x0 * x0)) + x0) - ((x0 + x0) * ((0.018566773830739687 ^ x0) * (x0 * x0)))"
29,2.485674473404169e-5,"((x0 - 0.007540178446898645) * 1.12753675746242) + ((x0 * x0) * ((0.2159339457939526 ^ x0) * (x0 / 0.812926296832099)))"
