Complexity,Loss,MSE,NMSE,Absolute Error
1,0.1714047007754276,0.18654465253906866,0.07501375639641657,0.35892921936421607
6,0.0013950887764142,0.0012737709157995246,0.0005122116334190526,0.029827229882066087
8,0.0013950887764142,0.001273770915130775,0.0005122116331501335,0.029827229902903256
10,0.0013950887764142,0.00127377091537962,0.0005122116332501996,0.029827229895149594
11,0.0007126518405834,0.0006804935118930604,0.0002736415857313156,0.022751978140406137
12,5.335819284224393e-05,5.5736104662129755e-05,2.241272810934392e-05,0.006046923164458909
17,2.6749095653461725e-05,,,
19,2.6749095653449968e-05,,,
22,2.447635258528071e-05,,,
27,2.43310955804915e-05,,,
29,2.430745297497757e-05,,,
