Complexity,Loss,Equation
1,0.2056885748938236,"x0"
6,0.0014410657822641248,"1.3661151098140498 * x0"
8,0.0014410657822641216,"(x0 / 0.42263370705986575) - x0"
10,0.0014410657822641188,"((x0 / 0.2970783729904823) - x0) - x0"
11,0.0008004806225559022,"-0.0432365141012665 + (1.3945127212327961 * x0)"
12,4.551289855399261e-5,"x0 + (x0 / (x0 + (1.6004669135910847 / x0)))"
15,1.7446192340713725e-5,"x0 * ((x0 * (0.46992132799009506 ^ x0)) + 0.9127709714606969)"
20,1.024552169320727e-5,"(((0.4787906620438026 ^ x0) * x0) + 0.8912860525628494) * (x0 - -0.007543616062032011)"
22,1.0227583738432461e-5,"((x0 * 0.8967943364087617) + 0.006909495321532355) + (x0 * (x0 * (0.4767709738590032 ^ x0)))"
24,1.0116639059773891e-5,"x0 - ((-0.5824014857079539 - (0.6682253930700445 * x0)) * ((0.30356008271789775 ^ x0) * (x0 * x0)))"
25,9.227832539698371e-6,"((1.0385769521243864 * x0) + 0.010840527710272723) * ((x0 * (0.4803432210041317 ^ x0)) + 0.8357373803104693)"
27,9.177721287339811e-6,"(((0.9794394927702865 ^ x0) * x0) + 0.00804568572295689) * (0.8893621155420772 + (x0 * (0.5081422465703888 ^ x0)))"
29,9.018987923843927e-6,"((x0 - (2.0513975341823247 ^ x0)) * (x0 * (0.496784393297473 ^ x0))) + (0.007814812563399368 + (1.8950169226971014 * x0))"
