Complexity,Loss,MSE,NMSE,Absolute Error
1,0.2038478809312287,0.19861823742580484,0.07648888709230861,0.37549115837949254
6,0.00405126598829,0.00501599800000073,0.0019316861817416109,0.05320163051694664
8,0.00405126598829,0.005015997991352068,0.0019316861784109672,0.0532016305085604
10,0.00405126598829,0.00501599800314092,0.0019316861829509137,0.05320163051999153
11,0.003543151091229,0.004516957951644732,0.0017395033368631228,0.0484592278715662
12,0.0028350231539828,0.00377719342611132,0.0014546162791499173,0.05117140951000376
17,0.0028249316562588,0.003759461441107206,0.0014477876021035366,0.05150764338303091
18,0.0025638518997017,0.003907996669978381,0.0015049892694710743,0.04582000517452975
20,0.0025517616145972,0.0039027002961962718,0.0015029496091585627,0.04565114722391775
22,0.0023055597852441,,,
24,0.0021956696998161,0.003276170973510532,0.0012616700003772597,0.04634143412166836
25,0.0016761841663731,0.0030581835817278915,0.0011777219540462286,0.03987624007608973
27,0.0016655236941489,0.003172872621205281,0.0012218892828122405,0.03967134451764197
30,0.0015543659034012,0.0027958148925807578,0.0010766824457874324,0.03497149118655385
