Complexity,Loss,Equation
1,0.20384788093122877,"x0"
6,0.0040512659882900506,"x0 / 0.7224634620419306"
8,0.0040512659882900445,"(x0 / 0.419436161105084) - x0"
10,0.004051265988290038,"((x0 / 0.2954949102545337) - x0) - x0"
11,0.003543151091229099,"-0.04895813008119754 + (x0 * 1.4215039651201722)"
12,0.0028350231539828476,"(x0 / (x0 + (1.484948988825525 / x0))) + x0"
17,0.002824931656258805,"x0 + ((x0 - 0.0639898404682768) / (x0 + (1.3168989322077598 / x0)))"
18,0.0025638518997017517,"(x0 * 1.3868961095697327) + (0.0004956708993857734 / (0.3125835629304616 - x0))"
20,0.002551761614597218,"(x0 * 1.389392280250569) - ((0.0028547106687121858 * x0) / (x0 + -0.30998708615031906))"
22,0.002305559785244153,"(1.3838615948568482 * x0) - (((0.001418008715937326 ^ x0) / (1.0437439289354855 - x0)) * x0)"
24,0.0021956696998161897,"(x0 / ((1.472465465423016 / x0) + x0)) + ((-0.0016596564369276054 / (x0 - 1.0731712701044822)) + x0)"
25,0.0016761841663731412,"(x0 * 1.3805897473156776) - ((0.0002937141833678517 / (1.0493777462078155 - x0)) / (x0 + -0.31316573507708373))"
27,0.0016655236941489394,"(x0 * 1.385326573080707) - (((0.0023227544354151143 * x0) / (0.7931016641457235 - x0)) / (-0.3050565915718126 + x0))"
30,0.001554365903401289,"(-0.028680410350285138 + (x0 * 1.4015876867603443)) - ((-0.00023552393524193732 / (1.0551243872437577 - x0)) / (-0.3182301847385217 + x0))"
