Complexity,Loss,Equation
1,3.852656709151442e-10,"x5"
3,5.208580064205623e-21,"x5 - x5"
4,3.321676369507589e-21,"x4 / exp(x3)"
6,1.4661379160634828e-21,"(x4 - x5) / exp(x3)"
7,5.310328771066061e-22,"((x4 - x5) * x0) * x0"
9,5.305581148444572e-22,"((x4 - x5) * (x5 + x0)) * x0"
10,5.30165988523291e-22,"x0 * (((x4 - x5) * x0) * exp(x0))"
15,5.301659133412251e-22,"((x0 * (x4 - x5)) * x0) * (exp(x0) ^ (exp(x4) - x5))"
16,5.186998705825335e-22,"exp(x4) * (((x1 * x0) * (x4 - x5)) * ((x1 - x0) + x4))"
27,5.139563610189104e-22,"(((1.3761386303485363 ^ x1) - (x5 - x4)) * x0) * (((x5 - x4) - (x4 * x0)) * (x0 / -0.9500950108125927))"
