Complexity,Loss,Equation
1,0.02534924137946567,"-0.8004619587080547"
4,0.0018151814629418634,"0.06242560882893273 - cos(x0)"
6,0.0014678344975922028,"cos(x0 * 1.0965188089706086) * -0.9563540399415648"
7,3.0643172510792345e-5,"cos(sin(1.5133392789603641 * x0) + -3.1381052957683866)"
9,2.439386428627958e-5,"-0.9904858366198417 + ((cos(x0) * x0) * sin(x0))"
10,2.1429267414470173e-5,"((-0.9321026650934046 * x0) * x0) - cos(x0 * 1.981991857373509)"
11,7.464326151551946e-6,"((x0 * 0.01900366660996033) * x0) - cos(sin(1.4783846847944575 * x0))"
12,6.679650881618023e-6,"((-0.04046649852526229 * cos(x0)) - -0.04207757466109132) - cos(sin(1.4699678610022824 * x0))"
13,6.395702389371616e-6,"((0.13090629591804318 + sin(x0)) * ((-0.14194339249000817 + x0) * cos(x0))) + -0.9750749192770376"
14,6.395702389367579e-6,"((sin(x0) + sin(0.1312830787669077)) * (cos(x0) * (-0.14194337911335583 + x0))) + -0.9750749229681972"
16,2.9574316074945536e-6,"(sin(x0 / -0.199729734562685) * (0.010066275760547168 * (x0 + 0.36018792844092556))) - cos(sin(1.5094837253804887 * x0))"
21,2.445324655046754e-6,"(((x0 * 1.0430771108165424) * cos(x0)) * (sin(x0) + -0.019483996738639108)) + ((-0.7560344530503017 - 0.2248818903820982) - (-0.019241296169829666 / (-1.2887561585397018 - x0)))"
22,2.445324520199961e-6,"(((x0 * 1.0430771108165424) * cos(x0)) * (sin(x0) + sin(-0.019483996738639108))) + ((-0.7560344530503017 - 0.2248818903820982) - (-0.019241296169829666 / (-1.2887561585397018 - x0)))"
23,1.9587245208681562e-6,"((sin(x0) + -0.027052722147922932) * ((x0 * 1.0578495438888365) * cos(x0))) + ((-0.784525208928663 + (-0.04721375536243123 * x0)) - (-0.6676319324387519 / (-3.1569276895228366 - x0)))"
24,1.949600798256644e-6,"((-0.03135703571990465 + sin(x0)) * ((x0 * 1.0593461931954793) * cos(x0))) + (((-0.048418408942371934 * x0) + sin(-0.8802371757648759)) - (-0.7086898454478111 / (-3.148782725906747 - x0)))"
25,1.6599852882976435e-6,"((cos(x0) * (1.066189190055394 * x0)) * sin(-0.0127211403050469 + x0)) + (((-0.042818703947777585 * x0) + (-0.47073895377191655 - 0.4337045234036652)) - (-0.18285107740950235 / (-1.988415562362761 - x0)))"
26,1.6599105789167713e-6,"(((-0.4709393819416809 - 0.43390495157342956) + (-0.0426391545782221 * x0)) - (sin(-0.1830546886567775) / (-1.9883753207438886 - x0))) + (((1.0659950592063405 * x0) * cos(x0)) * sin(-0.012653949584901587 + x0))"
27,1.6397031722541156e-6,"(((-0.2817173587832067 - 0.6113810695132993) + (x0 * -0.043829886732495986)) - ((-0.2781972109042741 / 1.2681919175277503) / (-2.1254770375966356 - x0))) + (sin(x0 + -0.01393771070388195) * (cos(x0) * (1.0643763556265657 * x0)))"
