Complexity,Loss,Equation
1,0.4382007817197429,"x0"
3,0.23337016276982075,"x0 * 1.8432073237181137"
4,0.19257528257374945,"x0 / cos(x0)"
5,0.01735377904418592,"(x0 + 1.6197128915620405) * x0"
7,0.0116123346156984,"x0 * ((x0 * 1.1917609928492636) + 1.5768553760918926)"
8,0.0030724353326058262,"x0 * ((1.118518842119249 / cos(x0)) + x0)"
9,0.0013425587088142625,"((x0 * (x0 + 0.9548195141511219)) - -1.0378916629190065) * x0"
10,0.0003274344249105336,"x0 * ((sin(x0) * (x0 + 1.1325276569531846)) + 1.1151923972872768)"
12,0.0003270404775127092,"(x0 + -0.0008155121737936652) * ((sin(x0) * (1.1351895843270927 + x0)) + 1.115797190184878)"
13,0.0003270404775127068,"(x0 + sin(-0.0008155123617796087)) * ((sin(x0) * (1.1351895846111202 + x0)) + 1.1157971900307344)"
14,0.0002736865781969146,"x0 + (sin(x0 + 0.0797140228214968) * ((x0 * 1.1193920903561845) * (x0 + 0.9417565762799294)))"
16,0.00026481066004456656,"sin(sin(x0)) + (sin(x0 + 0.08587991206918351) * ((x0 + 0.7192511187150722) * (1.4275451560546064 * x0)))"
17,0.0002504570306382064,"sin(sin(sin(x0))) + (((x0 * 1.5125856552143104) * (x0 + 0.6610129682507259)) * sin(x0 - -0.1016595724087458))"
18,0.00024688681257095164,"(((x0 + 0.9406258979708592) * (1.1258493755238645 * x0)) * sin(x0 + 0.07103963991038097)) + ((0.0007574924545157224 / x0) + x0)"
19,0.0002463352899043951,"(((0.8016045265574407 + x0) * (1.3151401843198418 * x0)) * sin(x0 + 0.06641768298207958)) + ((0.0007916120240828049 / x0) + sin(x0))"
20,0.00021083331338818303,"(sin(0.07676767737936198 + x0) * ((1.1167831957398895 * x0) * (0.9356262638978295 + x0))) + ((0.00029339494009732626 / (-0.886970944805122 + x0)) + x0)"
22,0.0001881110559715553,"(x0 + ((0.0006273793477168457 / x0) / (0.9137669706402153 - x0))) + (sin(0.06580435659006963 + x0) * ((0.9367968308439195 + x0) * (x0 * 1.1253170171495512)))"
23,0.0001455252059656749,"((0.500186719555843 + x0) * ((x0 + 1.0425878598681377) * sin(x0))) + ((sin(x0) / (1.7252021403764353 + x0)) - (-0.0035233845032233133 / (-0.789748490608149 + x0)))"
25,0.00014437418796116577,"(((x0 + 1.0470646825021137) * sin(x0)) * (-0.006684914688331731 + (x0 + 0.5054507692399174))) + ((sin(x0) / (x0 + 1.7229155741139839)) - (-0.003478021815240699 / (-0.7870024945518314 + x0)))"
26,0.00013701535058881795,"(((1.0324382541524295 + x0) * sin(x0)) * ((x0 * -0.07087197840947412) + (0.5538725607649841 + x0))) + ((x0 / (1.8577708115150477 + x0)) - (-0.003853095319240648 / (x0 + -0.785296503089227)))"
27,0.0001370153505574949,"(((1.0324382541524295 + x0) * sin(x0)) * ((x0 * -0.07087197840947412) + (0.5538725607649841 + x0))) + ((x0 / (1.8577708115150477 + x0)) - (sin(-0.003853095319240648) / (x0 + -0.785296503089227)))"
28,0.00013318979391370838,"(((x0 * -0.09500373651540334) + (x0 + 0.802455467330179)) * (sin(x0) * (0.8024224485343395 + x0))) + (((x0 * 0.7792168958998057) / (x0 + 1.6554918454766976)) - (-0.004186946400064195 / (x0 + -0.7809979166083556)))"
