Complexity,Loss,Equation
1,0.8392918943113251,"x0"
3,0.5735333350826268,"x0 / 0.5014040821646757"
4,0.5259874686549171,"x0 / cos(x0)"
5,0.020856300218148067,"x0 / (1.219765558878413 - x0)"
6,0.00774595627046531,"x0 / (1.082860175980731 - sin(x0))"
7,0.0057953496775463844,"sin(x0) / (1.044431286019748 - sin(x0))"
8,0.003266893583160385,"x0 / (1.2679319508104174 - sin(x0 / 0.638542203038145))"
9,0.0011539650238789046,"((x0 - -2.8612115125926016) / sin(cos(x0))) + -3.419434101241063"
11,0.0005703097461818866,"((x0 - -0.968004395252494) * ((x0 * x0) - -1.0271359463916814)) * x0"
13,0.0004865327277776654,"((x0 - -0.9668825001554024) * ((x0 * x0) - -1.1174138533251488)) * (x0 * 0.9521738188705391)"
14,0.0004377504262249807,"(sin(x0) / 0.7401029466804163) * ((x0 - -0.9634572191869901) * ((x0 * x0) - -0.7616521016706983))"
16,0.00014594926706182421,"(((x0 - -0.977547310940084) * x0) / sin(cos(x0))) + (0.01126191070989373 / (x0 - cos(0.5328237254338573)))"
18,7.352903241746892e-5,"(((x0 - -0.9601986535189238) * (x0 / 0.8252193225430183)) / cos(x0 * -0.9010701256567778)) - (-0.014624072438449974 / (-0.8334499741271775 + x0))"
19,6.710786363495671e-5,"(((x0 - -0.9558847698721209) * (x0 / 0.8249149556586908)) / cos(-0.903462267993745 * x0)) - (-0.0137081635466783 / sin(x0 + -0.8376274486409596))"
21,5.665911190570263e-5,"(((x0 - -0.9610277067948715) * (x0 / 0.8271219165955033)) / cos(x0 * -0.9094292707000299)) - (-0.016890196975453315 / ((-0.8492591658808459 + x0) / cos(x0)))"
22,5.3903230942808777e-5,"(((x0 / 0.8298774695583846) * (x0 - -0.958192438517114)) / cos(-0.9145351722076913 * x0)) - ((-0.015164132025547408 * cos(x0)) / sin(-0.8550337361565125 + x0))"
23,5.033218023978577e-5,"(((x0 - -0.964143082382366) * (x0 / 0.837306921414074)) / cos(x0 * 0.9265802179894167)) - (cos(x0 / -0.7395451444049028) * (-0.01707005271032015 / (-0.8713669605732205 + x0)))"
27,4.798109079121637e-5,"(((x0 - -0.9513583911916379) * (x0 / 0.8390638866107801)) / cos(x0 * 0.9364697385182151)) + (((x0 - 1.1431793738828173) * cos(1.0169029895141526)) * ((-0.8695675998559711 + 0.8391062821313234) / (-0.8833801019232181 + x0)))"
