Complexity,Loss,Equation
1,0.9520806252318134,"x0"
3,0.7380670891449979,"x0 / 0.5522478846442467"
4,0.6878380489523093,"x0 / cos(x0)"
5,0.04889904773293511,"x0 / (1.17938134529524 - x0)"
6,0.015750535954147583,"x0 / log(2.2061902833468237 - x0)"
7,0.009816261781500826,"(x0 / 0.5945359444529085) / (1.3280862506107634 - x0)"
8,0.008596759450569135,"(1.3311978461690495 / (1.1099525776948098 - sin(x0))) * x0"
9,0.00814185098315819,"(x0 - -0.07159401863429529) / cos(-0.5147415491554989 - sin(x0))"
10,0.004738075680803759,"(x0 / cos(x0)) / (1.1066360098773262 - sin(sin(x0)))"
11,0.0029018380721253095,"(x0 / cos(sin(x0))) / (1.0478309377446673 - sin(sin(x0)))"
12,0.0011239948789856257,"((3.0225196619146226 / (1.58325410528361 - x0)) - cos(-1.3617108260493347 * x0)) * x0"
14,0.0010273809892879337,"(((x0 / 0.9103481015734336) * (2.1469791883900724 + x0)) / cos(x0)) + (x0 * -1.3488018436236457)"
15,0.0006516597257855347,"(((x0 + 0.983647196578451) * (x0 / 0.7754679034183286)) / (cos(x0) / sin(x0))) + x0"
16,0.0006005590663523037,"(sin(x0) * -1.6752384204433135) + (((x0 * 1.0297860657246112) * (x0 + 2.2115514658654156)) / sin(cos(x0)))"
17,0.00045361048609897874,"(x0 - 0.019080292442417036) + (((x0 + 0.9997178814568108) * (x0 / 0.7756305921467364)) / (cos(x0) / sin(x0)))"
19,0.0004536003018287714,"((x0 * 1.000357324556459) - 0.01905799065384611) + (((x0 / 0.7758144382728527) * (x0 + 0.999949828698062)) / (cos(x0) / sin(x0)))"
20,0.00043929689515351993,"(((1.0292251869326816 * x0) * (x0 + 2.2365230368869886)) / sin(cos(x0))) + ((sin(x0) * -1.7296811355668795) - (-0.00324517069418289 / x0))"
21,0.00036666038195149505,"((0.0022133788705970586 / x0) + (x0 - 0.014371491826340364)) + (((0.9982086001625146 + x0) * (x0 / 0.777297822390588)) / (cos(x0) / sin(x0)))"
22,0.0003666603819514905,"((0.002213379243646371 / x0) + (x0 - sin(0.014371983133359951))) + (((x0 / 0.777297824175887) * (x0 + 0.9982085993839694)) / (cos(x0) / sin(x0)))"
23,0.00029315796572238314,"((x0 - 0.02519582237371473) + (-0.003197357775074793 / (x0 - 0.4514443919564077))) + (((x0 / 0.772229670944099) * (1.0025440544513793 + x0)) / (cos(x0) / sin(x0)))"
24,0.00029315796572139917,"(((1.002544039839789 + x0) * (x0 / 0.7722296695933422)) / (cos(x0) / sin(x0))) + ((-0.00319735568154383 / (x0 - 0.45144461395573976)) + (x0 - sin(0.025198465884975197)))"
25,0.00019279277119491157,"((-0.0018220615641031219 / (0.567513912773921 - x0)) + (x0 - (-0.003306166719450365 / x0))) + (((x0 + 0.9892530302367484) * (x0 / 0.7782955373251363)) / (cos(x0) / sin(x0)))"
27,0.00017765161093631933,"((-0.0008207782077106292 / (0.552888132539716 - x0)) + ((x0 - 0.006958944193439173) - (-0.0029202815967384146 / x0))) + (((0.9939418872591644 + x0) * (x0 / 0.7770205023172996)) / (cos(x0) / sin(x0)))"
29,0.00017765161093543196,"(((0.9932051356836646 * -0.0008263748276090785) / (0.5528878176188222 - x0)) + ((x0 - 0.00695897844394537) - (-0.002920280326416273 / x0))) + (((0.9939419033720868 + x0) * (x0 / 0.7770204822906607)) / (cos(x0) / sin(x0)))"
