complexity,loss,equation,score,sympy_format,lambda_format
1,1.469,x4,0.0,x4,PySRFunction(X=>x4)
3,0.998,x3 - x3,0.1932919499312067,-x3 + x3,PySRFunction(X=>-x3 + x3)
5,0.9976,0.01953,0.00020044097281859567,0.0195300000000000,PySRFunction(X=>0.0195300000000000)
6,0.8438,x0 / (x0 - exp(x0)),0.1674368946755884,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
7,0.7593,-0.4832 * x5,0.10551854347105023,-0.4832*x5,PySRFunction(X=>-0.4832*x5)
8,0.7095,(x4 - x5) / exp(x4 / x4),0.06783645961909059,(x4 - x5)/exp(x4/x4),PySRFunction(X=>(x4 - x5)/exp(x4/x4))
9,0.618,(x5 + x0) * -0.4402,0.1380720391424066,(x0 + x5)*(-0.4402),PySRFunction(X=>(x0 + x5)*(-0.4402))
10,0.536,(x4 - (x5 + x0)) / exp(x4 / x4),0.14235429638688876,(x4 - (x0 + x5))/exp(x4/x4),PySRFunction(X=>(x4 - (x0 + x5))/exp(x4/x4))
11,0.53,(x5 - (x4 - x0)) * -0.4055,0.011257154524634447,(x5 - (-x0 + x4))*(-0.4055),PySRFunction(X=>(x5 - (-x0 + x4))*(-0.4055))
14,0.489,((x0 + x5) - (x4 / exp(x0))) * -0.3662,0.026838172357098528,(x0 - x4/exp(x0) + x5)*(-0.3662),PySRFunction(X=>(x0 - x4/exp(x0) + x5)*(-0.3662))
16,0.4482,((x5 + x0) + ((x0 - x4) / exp(x0))) * -0.3237,0.04356146405402268,(x0 + x5 + (x0 - x4)/exp(x0))*(-0.3237),PySRFunction(X=>(x0 + x5 + (x0 - x4)/exp(x0))*(-0.3237))
20,0.4062,(((x4 - x5) * 0.4014) + -0.5425) - (x0 / exp(x0)),0.024598478055135563,-x0/exp(x0) + (x4 - x5)*0.4014 - 0.5425,PySRFunction(X=>-x0/exp(x0) + (x4 - x5)*0.4014 - 0.5425)
21,0.402,((x4 + x5) - ((x4 - x0) / (x0 + 1.007))) * -0.443,0.010393560527263195,(x4 + x5 - (-x0 + x4)/(x0 + 1.007))*(-0.443),PySRFunction(X=>(x4 + x5 - (-x0 + x4)/(x0 + 1.007))*(-0.443))
22,0.3875,(-0.545 - (x0 / exp(x0))) + (((x4 - x5) - x5) * 0.2625),0.03673623982561934,-x0/exp(x0) + (x4 - x5 - x5)*0.2625 - 0.545,PySRFunction(X=>-x0/exp(x0) + (x4 - x5 - x5)*0.2625 - 0.545)
