gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals,Model_22_Y_pred,Model_22_Residuals,Model_23_Y_pred,Model_23_Residuals,Model_24_Y_pred,Model_24_Residuals,Model_25_Y_pred,Model_25_Residuals,Model_26_Y_pred,Model_26_Residuals,Model_27_Y_pred,Model_27_Residuals,Model_28_Y_pred,Model_28_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.47445137494634665,-0.945810375934829,1.0055211424317099,1.115234918190586e-09,1.5035761703122942e-09,-2.280420390331024e-10,2.8468531275359824e-09,-1.8517734476455595e-10,2.803988433267436e-09,1.2460078660640217e-09,1.3728032224388584e-09,1.0658703018219098e-09,1.5529407866809703e-09,1.6954435420309999e-09,9.233675464718802e-10,2.0942310497633734e-09,5.245800387395066e-10,2.5949794101522134e-09,2.3831678350666738e-11,2.2532682364128866e-09,3.6554285208999345e-10,3.0146369322121465e-09,3.958258437092664e-10,3.1742932485316647e-09,5.554821600287846e-10,3.15445565406895e-09,5.356445655660699e-10,3.080395766744688e-09,4.615846782418079e-10,3.3488303832527045e-09,7.300192947498244e-10,3.33573793296939e-09,7.169268444665101e-10,2.5431375036536063e-09,7.567358484927379e-11,3.481864010765587e-09,8.630529222627071e-10,3.975637213398204e-09,1.3568261248953238e-09,4.192651788091852e-09,1.5738406995889721e-09,4.189136780042454e-09,1.5703256915395737e-09,4.397227997913603e-09,1.7784169094107226e-09,2.8040048354122478e-09,1.8519374690936766e-10,2.6503183693457274e-09,3.150728084284732e-11,2.770522318939208e-09,1.5171123043632783e-10,2.603094787259547e-09,1.5716301243333196e-11,2.7488215387500675e-09,1.300104502471874e-10,2.693930621564532e-09,7.51195330616521e-11,2.6632218575766994e-09,4.441076907381928e-11
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,-0.593555395035317,-0.8056695947391768,0.20090269068394762,-1.908528864636482e-09,2.249286852941277e-09,-2.280420390331024e-10,5.688000273378973e-10,-1.8517734476455595e-10,5.259353330693509e-10,1.007927912884117e-09,6.671699245793221e-10,8.741512312133942e-10,5.333932429085992e-10,1.3738053307926869e-09,1.033047342487892e-09,5.680562313618122e-10,2.2729824305701728e-10,9.946086765937966e-10,6.538506882890017e-10,1.0863614038390499e-10,2.3212184792088995e-10,7.945812175056983e-10,4.5382322920090336e-10,1.2339483837723569e-09,8.931903954675619e-10,1.0065022710319225e-09,6.657442827271275e-10,-5.785997652322426e-11,3.9861796482801917e-10,8.418642468700773e-10,5.011062585652823e-10,4.0459059608006757e-10,6.383260777527264e-11,-3.4339738451864815e-10,6.841553728234431e-10,4.4048459146240284e-10,9.97266031576079e-11,6.735024385366949e-10,3.3274445023189993e-10,-9.298970403923547e-11,4.3374769234403043e-10,2.1350912240962327e-10,1.2724886589517166e-10,1.534191928631768e-10,1.8733879544161814e-10,3.88008866842507e-10,4.7250878537712086e-11,1.6366840004294946e-10,1.7708958826184547e-10,2.2430413879019927e-10,1.1645384951459566e-10,1.4379560071295923e-10,1.969623875918357e-10,1.610008222608901e-10,1.7975716604390482e-10,2.6570576009903067e-10,7.505222820576426e-11,3.063901459212606e-10,3.4367842383534325e-11
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,0.3279519151052824,-0.6929247979752919,0.5544338876405032,7.004624904102413e-10,6.412206413513587e-10,-2.280420390331024e-10,1.5697251707947023e-09,-1.8517734476455595e-10,1.5268604765261559e-09,1.1856503780706746e-09,1.5603275369092536e-10,7.199111344542602e-10,6.217719973073398e-10,1.341163759440877e-09,5.193723207230374e-13,1.598468557591506e-09,2.5678542582990606e-10,1.9653295746489083e-09,6.236464428873083e-10,1.6664318891580173e-09,3.247487573964174e-10,2.4037877259300134e-09,1.0621045941684134e-09,2.4760841277744098e-09,1.1344009960128098e-09,2.448207976646214e-09,1.1065248448846139e-09,2.010130955594621e-09,6.684478238330211e-10,2.518231389359938e-09,1.1765482575983381e-09,2.3036132829526557e-09,9.619301511910558e-10,1.7362296014960705e-09,3.945464697344705e-10,2.4240382852889403e-09,1.0823551535273404e-09,2.726510049711327e-09,1.3848269179497272e-09,2.2708485488075474e-09,9.291654170459474e-10,2.4199397622393144e-09,1.0782566304777144e-09,2.1316685237913587e-09,7.899853920297588e-10,2.145183909734643e-09,8.03500777973043e-10,1.873562200675799e-09,5.318790689141989e-10,1.735634811546428e-09,3.939516797848281e-10,1.8338751362586167e-09,4.921920044970168e-10,1.713297780301181e-09,3.7161464853958094e-10,1.718183975395949e-09,3.7650084363434904e-10,1.7247612637741964e-09,3.8307813201259643e-10
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-1.13217149800158,-0.6266290990298848,-0.1258062082705967,-3.4334703825865997e-09,2.8492430955611455e-09,-2.280420390331024e-10,3.5618524799235167e-10,-1.8517734476455595e-10,3.990499422608981e-10,1.1034559060139097e-09,1.6876831930393638e-09,6.292155519213597e-10,1.2134428389468137e-09,1.2074009838983225e-09,1.7916282709237766e-09,-2.0549757295106071e-10,3.7872971407439334e-10,1.2626395334961082e-10,7.104912403750648e-10,-1.014371505455136e-09,4.301442184296819e-10,-1.1154514473015484e-10,4.726821422952992e-10,3.485722025612679e-10,9.327994895867219e-10,1.5828632962143383e-10,7.425136166468879e-10,-1.1456529401011277e-09,5.614256530756737e-10,1.6081691186444484e-10,7.450441988898988e-10,-6.317081996173555e-10,4.748091259190143e-11,-1.2144474908320724e-09,6.302202038066184e-10,-3.9175229561429886e-10,1.924749914111552e-10,-2.182452007707878e-10,3.6598208625466625e-10,-8.279638107336219e-10,2.437365237081678e-10,-4.60330804557899e-10,1.2389648246755503e-10,-3.31551363798343e-10,2.526759232271111e-10,-3.7284382970020935e-11,5.469429040554331e-10,-5.908262624952213e-11,5.251446607759319e-10,-1.2846898896457509e-10,4.5575829806087897e-10,-7.472788103392557e-11,5.094994059915285e-10,-3.134287967939452e-10,2.7079849023150886e-10,-2.6739885283728996e-10,3.168284341881641e-10,-2.0228471291206974e-10,3.819425741133843e-10
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,-0.7443489513892788,-0.7060281155448312,0.13096523141872748,-2.33545883100236e-09,2.478208377476073e-09,-2.280420390331024e-10,3.7079158550681537e-10,-1.8517734476455595e-10,3.2792689123826893e-10,8.981452546197073e-10,7.553957081459944e-10,7.378370789572601e-10,5.950875324835471e-10,1.1875027941859412e-09,1.0447532477122283e-09,2.2246926107305976e-10,7.971971459934678e-11,5.962676780105552e-10,4.535181315368422e-10,-2.3649368383032066e-10,3.7924323030403364e-10,3.7772225304884563e-10,2.3497270657513265e-10,8.133909522591565e-10,6.706414057854436e-10,3.2055320042175627e-10,1.7780365394804329e-10,-4.5228436098948317e-10,5.950339074631961e-10,2.329324984598078e-10,9.018295198609483e-11,5.415210678097469e-12,1.373343357956155e-10,-3.4383500001659204e-10,4.86584546490305e-10,-2.5998569908373826e-11,1.687481163820868e-10,2.0573505898939014e-10,6.298551251567716e-11,-5.571861864569275e-10,6.999357329306405e-10,-4.035942330991662e-11,1.831089697836296e-10,-2.5015486703629313e-10,3.929044135100061e-10,2.3155976183904883e-10,8.881021536533585e-11,-5.004859145924635e-11,1.9279813793295933e-10,1.829766074744898e-11,1.24451885726264e-10,-8.287485709210855e-11,2.2562440356582153e-10,-7.394370075048372e-11,2.166932472241967e-10,4.781395518415879e-11,9.493559128955419e-11,9.584278451601502e-11,4.690676195769796e-11
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.22245060161003996,2.2305602899363737,1.101548987609457,4.0176489807842896e-10,2.4889222951015614e-09,-2.280420390331024e-10,3.1187292322130925e-09,-1.8517734476455595e-10,3.075864537944546e-09,1.2420687469183116e-09,1.6486184462616786e-09,-3.279551685792019e-09,6.170238878972009e-09,-2.2658746835609967e-09,5.156561876740987e-09,-1.853849621779203e-09,4.744536814959193e-09,-3.0347939594114828e-09,5.925481152591473e-09,-1.4983378202917501e-09,4.38902501347174e-09,-3.687537824884063e-10,3.2594409756683966e-09,-2.054373993167519e-09,4.945061186347509e-09,-1.4415834324900435e-09,4.332270625670034e-09,-1.3717374141753959e-09,4.262424607355386e-09,-1.497671257408347e-09,4.3883584505883374e-09,-1.4770265323842297e-09,4.36771372556422e-09,-1.2956787154505404e-09,4.186365908630531e-09,-8.765007501807884e-10,3.767187943360778e-09,-1.1112326936959804e-09,4.001919886875971e-09,-6.896003983783313e-10,3.5802875915583215e-09,-1.1372700173238429e-09,4.027957210503833e-09,-9.488760758768496e-10,3.83956326905684e-09,7.185110800624547e-10,2.1721761131175355e-09,1.2994438733573765e-09,1.5912433198226137e-09,4.877966868421601e-10,2.40289050633783e-09,2.994718928168777e-09,1.0403173498878682e-10,3.202835507584201e-10,2.5704036424215702e-09,1.771267976793938e-09,1.1194192163860521e-09,1.7357586697603673e-09,1.1549285234196229e-09
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,1.3968188518253952,0.588130856287038,2.3981914747290465,3.726661595843887e-09,2.835107749647123e-09,-2.280420390331024e-10,6.789811384524113e-09,-1.8517734476455595e-10,6.746946690255566e-09,1.2528327616037574e-09,5.308936583887252e-09,-1.0326322532557683e-09,7.594401598746779e-09,-2.1180108245336368e-10,6.773570427944373e-09,1.394542600651763e-09,5.167226744839247e-09,1.0831635235415837e-09,5.478605821949426e-09,2.4135750854348614e-09,4.148194260056149e-09,3.1687615368078376e-09,3.3930078086831723e-09,2.125475265982609e-09,4.4362940795084005e-09,1.53081278536902e-09,5.03095656012199e-09,3.6282979435181364e-09,2.9334714019728736e-09,2.5422897070087913e-09,4.019479638482219e-09,3.4732330167064487e-09,3.0885363287845612e-09,3.393861523334171e-09,3.167907822156839e-09,3.6548004608777716e-09,2.9069688846132383e-09,4.019811991694943e-09,2.541957353796067e-09,4.921190449291315e-09,1.640578896199695e-09,4.555857729816826e-09,2.005911615674184e-09,4.719352197101869e-09,1.8424171483891409e-09,4.550948896266522e-09,2.010820449224488e-09,4.794526605231148e-09,1.767242740259862e-09,4.791923048458729e-09,1.7698462970322812e-09,5.164059445964765e-09,1.3977098995262452e-09,4.993620379457998e-09,1.5681489660330117e-09,5.220908662363069e-09,1.3408606831279413e-09,5.119823781730234e-09,1.4419455637607763e-09
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.2146663344741957,1.83584851206703,-1.6326589144004553,-3.6670315413800215e-09,1.183429600070019e-09,-2.280420390331024e-10,4.622419102416938e-09,-1.8517734476455595e-10,4.665283796685484e-09,8.98837664044891e-10,5.749298805494931e-09,-2.7395677170592026e-09,2.110893424390838e-09,-1.980065004648537e-09,2.8703961368015036e-09,-3.243886172969915e-09,1.6065749684801257e-09,-4.215854926676209e-09,6.346062147738318e-10,-3.604032334143875e-09,1.2464288073061656e-09,-2.6536377722290964e-09,2.196823369220944e-09,-3.638173040727925e-09,1.2122881007221154e-09,-4.061100753507634e-09,7.893603879424061e-10,-4.072176564920639e-09,7.782845765294013e-10,-3.9092033159191975e-09,9.41257825530843e-10,-3.908090520178313e-09,9.423706212717271e-10,-4.774633595052729e-09,7.58275463973114e-11,-3.5629601461468723e-09,1.2875009953031682e-09,-3.863900076978038e-09,9.865610644720028e-10,-4.290997537352344e-09,5.594636040976964e-10,-4.898604086754547e-09,4.814294530450668e-11,-4.170961794214815e-09,6.794993472352259e-10,-3.951616442910492e-09,8.988446985395485e-10,-4.123794277102869e-09,7.266668643471716e-10,-4.154098720063234e-09,6.963624213868066e-10,-4.245021467581197e-09,6.054396738688432e-10,-4.793994127712068e-09,5.646701373797256e-11,-5.043391239290633e-09,1.929300978405926e-10,-4.922840124339926e-09,7.237898288988546e-11
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.284432140082833,1.4676793699899369,-0.9374259155943226,-3.864553993679432e-09,9.82451500791452e-10,-2.280420390331024e-10,2.654060453854878e-09,-1.8517734476455595e-10,2.6969251481234244e-09,1.1132622761817735e-09,3.995364769069754e-09,-2.2358953017669664e-09,6.462071911210139e-10,-1.39676158234789e-09,1.4853409105400903e-09,-2.785531068990886e-09,9.657142389709429e-11,-3.5625769301896296e-09,6.804744373016493e-10,-3.445807063665288e-09,5.637045707773077e-10,-2.2891661129143944e-09,5.929363799735859e-10,-3.0549883177838896e-09,1.7288582489590937e-10,-3.0296668992811687e-09,1.475644063931884e-10,-3.940414371079171e-09,1.0583118781911904e-09,-2.961019621511513e-09,7.89171286235328e-11,-3.678470449200578e-09,7.963679563125978e-10,-3.8219724929580565e-09,9.398700000700762e-10,-3.1302006133990653e-09,2.48098120511085e-10,-3.409245113220802e-09,5.271426203328219e-10,-3.7605446193859936e-09,8.784421264980133e-10,-3.848408329737315e-09,9.66305836849335e-10,-3.516342820184133e-09,6.342403272961526e-10,-2.7014983307743354e-09,1.8060416211364488e-10,-2.7210253339389945e-09,1.6107715894898575e-10,-2.808262473034009e-09,7.38400198539711e-11,-2.6645984844405135e-09,2.1750400844746678e-10,-3.2116999981178266e-09,3.2959750522984633e-10,-3.243664325204078e-09,3.615618323160977e-10,-3.139185180315629e-09,2.570826874276489e-10
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-0.8064035501194904,3.218560686107253,-2.695654215503859,-2.511149148210276e-09,5.3488871973810346e-09,-2.280420390331024e-10,7.631994306558209e-09,-1.8517734476455595e-10,7.674859000826754e-09,-1.1659743813722946e-09,6.694061964219016e-09,-4.631181925745349e-09,3.2288544198459615e-09,-4.681584827640782e-09,3.1784515179505286e-09,-5.2687219520826875e-09,2.591314393508623e-09,-6.972751668173727e-09,8.872846774175835e-10,-4.496982100467612e-09,3.3630542451236983e-09,-4.302698367869885e-09,3.5573379777214257e-09,-6.059771784766242e-09,1.800264560825069e-09,-7.77909015740837e-09,8.094618818294103e-11,-5.397902117786686e-09,2.4621342278046247e-09,-7.410335067801312e-09,4.497012777899985e-10,-5.512408701112185e-09,2.3476276444791254e-09,-5.369237537332718e-09,2.490798808258593e-09,-5.598275422947904e-09,2.2617609226434064e-09,-5.955037086726636e-09,1.9049992588646747e-09,-6.1812567361641345e-09,1.6787796094271762e-09,-6.672933449174893e-09,1.1871028964164177e-09,-6.414486406273079e-09,1.445549939318232e-09,-6.639032053345753e-09,1.2210042922455577e-09,-6.716216692697449e-09,1.1438196528938614e-09,-6.716158870006998e-09,1.1438774755843125e-09,-6.997315262687835e-09,8.627210829034759e-10,-6.641001390750289e-09,1.219034954841022e-09,-7.017242304719846e-09,8.427940408714649e-10,-7.068989174475142e-09,7.910471711161687e-10
