Complexity,Loss,Equation
1,1.469,"x4"
3,0.998,"x0 - x0"
5,0.9976,"0.02173"
6,0.8438,"x0 / (x0 - exp(x0))"
7,0.7593,"x5 * -0.4832"
8,0.7095,"(x4 - x5) / exp(x1 / x1)"
9,0.618,"(x0 + x5) * -0.44"
11,0.53,"((x5 + x0) - x4) * -0.4072"
14,0.491,"((x0 + x5) - (x4 / exp(x0))) * -0.3452"
16,0.4478,"-0.3271 * ((x5 + x0) - ((x4 - x0) / exp(x0)))"
18,0.4163,"-0.2764 * ((x0 + (x5 + x5)) - ((x4 - x0) / exp(x0)))"
20,0.3928,"-0.2651 * (((x5 - x2) + (x5 + x0)) - ((x4 - x0) / exp(x0)))"
22,0.3882,"(-0.2474 * ((x5 - x4) + (x5 - -2.215))) - (x0 / exp(x0))"
26,0.385,"((x5 - (x4 / 1.638)) * -0.5044) - (0.539 + (x0 / exp(x0)))"
30,0.3193,"(-0.4084 * (x0 + (x5 - -1.614))) - (((-1.605 - x4) * (x0 * x0)) / exp(x0))"
