Complexity,Loss,Equation
1,1.469,"x4"
3,0.998,"x0 - x0"
5,0.9976,"0.02734"
6,0.8438,"x0 / (x0 - exp(x0))"
7,0.7593,"x5 * -0.4832"
8,0.7095,"(x4 - x5) / exp(x0 / x0)"
9,0.6187,"-0.4326 * (x0 + x5)"
10,0.536,"(x4 - (x0 + x5)) / exp(x0 / x0)"
11,0.53,"(x5 - (x4 - x0)) * -0.4072"
12,0.5176,"((x4 - x0) - x5) / (x0 + exp(x0 / x0))"
13,0.5117,"((x4 - x0) - x5) / (x0 + 2.484)"
14,0.4868,"(((x4 - x0) - x5) - x0) / (x0 + exp(x0 / x0))"
15,0.4568,"(((x4 - x0) / exp(x0)) - (x0 + x5)) / exp(x0 / x0)"
16,0.4478,"(((x4 - x0) / exp(x0)) - (x0 + x5)) / 3.047"
19,0.4072,"(((x4 - x0) / exp(x0)) - (x0 + x5)) / exp(0.7207 ^ x2)"
20,0.4062,"(-0.547 - (x0 / exp(x0))) - ((x4 - x5) * -0.4053)"
23,0.4006,"((-2.305 - x5) + ((0.1155 ^ x0) + x4)) * 0.4106"
24,0.3557,"(exp(-1.028 - x0) * ((x5 - x0) + (x4 - x0))) - (x5 + 0.372)"
26,0.3225,"(((0.2827 * x4) - x0) / exp(x0)) - (0.5015 * (x5 + 1.05))"
28,0.314,"(((0.2827 * x4) - x0) / exp(x0)) - (0.5015 * (x5 + (1.192 ^ x3)))"
30,0.2766,"(exp(-0.4404 - x0) ^ (x4 + (x4 - -3.047))) - ((0.498 * x5) + (x2 / x2))"
32,0.2666,"(exp(-0.3828 - x0) ^ (x2 + (x4 - -2.572))) - ((x5 + 3.154) * 0.3567)"
34,0.2299,"(exp(-0.453 - x0) ^ ((x4 + x2) + (x4 - -3.479))) - (0.4983 * (1.932 + x5))"
36,0.1865,"(exp(-0.4875 - x0) ^ ((2.814 + x2) * (x4 + 1.601))) - ((x5 * 0.499) + (x4 / x4))"
38,0.1798,"(exp(-0.4875 - x0) ^ ((x4 + 1.533) * (2.783 + x2))) - ((0.494 * x5) + 0.9253)"
40,0.1735,"(exp(-0.4883 - x0) ^ ((2.658 + x2) * (x4 + 1.613))) - ((0.4832 * x5) + (0.9297 ^ x4))"
41,0.1334,"(((x0 / x0) + x5) * -0.52) - (((-1.492 - x4) * -0.01611) * ((x2 + 2.906) / (-0.6514 - x0)))"
43,0.1279,"((x5 + 1.188) * -0.4858) - (((-1.504 - x4) * -0.01607) * ((x2 + 2.906) / (-0.6514 - x0)))"
45,0.125,"((x5 * -0.489) - 0.491) - (((x2 + 2.906) / (-0.6494 - x0)) * ((x0 * 0.02533) * (-1.454 - x4)))"
51,0.1145,"(((x5 + 1.206) * -0.492) + (x3 * -0.1084)) - (((-1.53 - x4) * -0.01611) * ((x2 + 2.906) / (-0.6514 - x0)))"
53,0.10767,"((1.128 ^ (x3 + x0)) * ((x5 + 1.258) * -0.4612)) - (((x2 + 2.906) / (-0.6514 - x0)) * ((-1.492 - x4) * -0.01595))"
57,0.104,"(((x0 - -0.6206) ^ 0.1506) * ((x5 * -0.6206) - 0.6562)) - (((x2 + 2.906) / (-0.6504 - x0)) * ((-1.361 - x4) * -0.01535))"
