Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,8.034760087643695e-17,1.616038915834891,8.963682327951887e-09,1.144444549193831e-16,1.5310149354501255,1.0697871513501324e-08,8.729228190389507e-17,1.6071133333475949,9.343033870424267e-09
Model_2,4.97188527387208e-17,1.0,7.051159673324722e-09,7.4750710962683e-17,1.0,8.645849348831092e-09,5.431619543723556e-17,1.0,7.369952200471558e-09
Model_3,4.9720525280926935e-17,1.00003364,7.051278272833014e-09,7.475322557659979e-17,1.00003364,8.64599477079415e-09,5.431802263405007e-17,1.00003364,7.370076162025062e-09
Model_4,4.078191389659426e-17,0.8202505015734907,6.386071867478024e-09,6.215666038098871e-17,0.8315193204251732,7.88394954201184e-09,4.578709984211719e-17,0.8429732508608033,6.766616572713219e-09
Model_5,3.892190280720408e-17,0.782839922146713,6.2387420853249e-09,5.701785084141019e-17,0.7627733583681177,7.551016543579426e-09,4.3389219169359634e-17,0.7988265529292738,6.587049352279034e-09
Model_6,3.8730036790597204e-17,0.7789809027599393,6.223346108854722e-09,5.567402082866506e-17,0.7447958703223384,7.461502585181155e-09,4.405745921841832e-17,0.811129330096921,6.637579319180926e-09
Model_7,3.22177506882086e-17,0.6479986748189299,5.676068242032385e-09,4.79040567044726e-17,0.6408508506144808,6.921275655865225e-09,3.628893838178967e-17,0.6681053061553791,6.024030078094703e-09
Model_8,3.1447381745986003e-17,0.632504171229497,5.607796514317009e-09,4.4375925784996725e-17,0.5936522236845352,6.66152578505831e-09,3.670346889506723e-17,0.6757371093393221,6.058338790053527e-09
Model_9,3.141874158157761e-17,0.6319281288867884,5.605242330317005e-09,4.443036684595803e-17,0.5943805252653519,6.665610763160269e-09,3.65448460489117e-17,0.672816749308973,6.0452333328757215e-09
Model_10,3.085614013572908e-17,0.6206124726546328,5.554830342659358e-09,4.20753364085379e-17,0.5628754010051185,6.486550424419585e-09,3.616189522838985e-17,0.6657663508515853,6.013476135180869e-09
Model_11,2.452432312063701e-17,0.4932600365804014,4.952203865011719e-09,3.902367517749475e-17,0.522050889883524,6.24689324204398e-09,2.9611047469213247e-17,0.5451605590349188,5.4416033913923976e-09
Model_12,2.38814852747169e-17,0.48033057802474427,4.886868657403931e-09,3.627850671991577e-17,0.48532657753618824,6.02316417839625e-09,2.801015536783323e-17,0.5156869906361544,5.292462127198761e-09
Model_13,2.376676200063605e-17,0.478023137933885,4.875116614055099e-09,3.530093014376646e-17,0.4722487544150499,5.941458587229777e-09,2.8248061911810956e-17,0.5200670202398964,5.314890583239786e-09
Model_14,2.0086130434544274e-17,0.4039942462087685,4.481755284990946e-09,,,,,,
Model_15,1.7965977400403823e-17,0.3613514071778251,4.238629188830255e-09,4.845169043238566e-17,0.6481769846520079,6.960724849639272e-09,3.0109460110801026e-17,0.5543366921859182,5.48720877229954e-09
Model_16,1.7288027519037756e-17,0.34771573692354985,4.157887386526691e-09,4.415897790939958e-17,0.5907499385717494,6.645222186608931e-09,2.9469659380803706e-17,0.5425575032194039,5.428596446670512e-09
Model_17,1.68972078543122e-17,0.33985514394528127,4.110621346501304e-09,4.472035188786262e-17,0.5982598869218498,6.687327709022687e-09,2.9328994569815514e-17,0.5399677634584382,5.415625039625206e-09
Model_18,1.658202178616893e-17,0.3335157766674478,4.072102870283231e-09,4.063173068289466e-17,0.5435631335089081,6.3743023683297815e-09,2.7956450978000014e-17,0.5146982544148322,5.287386025060022e-09
Model_19,1.507464197006406e-17,0.30319770348047476,3.882607625045835e-09,4.009195386401461e-17,0.5363421076226189,6.331820738461774e-09,2.531968249317783e-17,0.4661534610323672,5.031866700656708e-09
Model_20,1.4874278070278496e-17,0.29916776536346906,3.856718562493055e-09,3.8166484706068095e-17,0.5105835678957159,6.1779029375725944e-09,2.4603653385786772e-17,0.45297085312643504,4.960206990215909e-09
