complexity,loss,equation,score,sympy_format,lambda_format
1,1.554,x4,0.0,x4,PySRFunction(X=>x4)
3,0.9355,x4 - x4,0.25375319260672424,-x4 + x4,PySRFunction(X=>-x4 + x4)
5,0.9346,-0.0058,0.00048125772390926897,-0.00580000000000000,PySRFunction(X=>-0.00580000000000000)
6,0.767,x5 / (x5 - exp(x5)),0.19763182889906963,x5/(x5 - exp(x5)),PySRFunction(X=>x5/(x5 - exp(x5)))
7,0.727,-0.4365 * x5,0.05356032383373688,-0.4365*x5,PySRFunction(X=>-0.4365*x5)
8,0.7236,(x4 - x5) / exp(x1 / x1),0.004687724012379204,(x4 - x5)/exp(x1/x1),PySRFunction(X=>(x4 - x5)/exp(x1/x1))
9,0.5933,(x0 + x5) / -2.47,0.19853858025654242,(x0 + x5)/(-2.47),PySRFunction(X=>(x0 + x5)/(-2.47))
10,0.5776,(x4 - (x0 + x5)) / exp(x0 / x0),0.02681858568598119,(x4 - (x0 + x5))/exp(x0/x0),PySRFunction(X=>(x4 - (x0 + x5))/exp(x0/x0))
11,0.5767,((x5 + x0) - x4) * -0.3499,0.0015593869572495611,(x0 - x4 + x5)*(-0.3499),PySRFunction(X=>(x0 - x4 + x5)*(-0.3499))
12,0.5645,((x4 - x0) - x5) / (exp(x0 / x0) + x0),0.021381817031650194,(-x0 + x4 - x5)/(x0 + exp(x0/x0)),PySRFunction(X=>(-x0 + x4 - x5)/(x0 + exp(x0/x0)))
13,0.4407,(exp(x5) * -0.3245) - (x0 / exp(x0)),0.2475760117417754,-x0/exp(x0) + exp(x5)*(-0.3245),PySRFunction(X=>-x0/exp(x0) + exp(x5)*(-0.3245))
15,0.4285,((x3 + exp(x5)) * -0.3245) - (x0 / exp(x0)),0.01403681690505338,-x0/exp(x0) + (x3 + exp(x5))*(-0.3245),PySRFunction(X=>-x0/exp(x0) + (x3 + exp(x5))*(-0.3245))
16,0.4248,(((x0 / x0) + x5) * -0.4983) - (x0 / exp(x0)),0.00867226811010539,-x0/exp(x0) + (x5 + x0/x0)*(-0.4983),PySRFunction(X=>-x0/exp(x0) + (x5 + x0/x0)*(-0.4983))
17,0.3538,(exp(x5) + log(x0 + 0.61)) * -0.298,0.1828866882020442,-0.298*exp(x5) - 0.298*log(x0 + 0.61),PySRFunction(X=>-0.298*exp(x5) - 0.298*log(x0 + 0.61))
19,0.3098,(8.55e-5 ^ (exp(x0) + x0)) + (exp(x5) * -0.3528),0.06640242687145827,8.55e-5**(x0 + exp(x0)) + exp(x5)*(-0.3528),PySRFunction(X=>8.55e-5**(x0 + exp(x0)) + exp(x5)*(-0.3528))
21,0.2969,(9.55e-5 ^ (x0 + exp(x0))) + (-0.3254 * (x3 + exp(x5))),0.021265773106527126,9.55e-5**(x0 + exp(x0)) - 0.3254*(x3 + exp(x5)),PySRFunction(X=>9.55e-5**(x0 + exp(x0)) - 0.3254*(x3 + exp(x5)))
23,0.2893,(((x3 - x2) + exp(x5)) * -0.3083) + (9.3e-5 ^ (x0 + exp(x0))),0.01296558489381233,9.3e-5**(x0 + exp(x0)) + (-x2 + x3 + exp(x5))*(-0.3083),PySRFunction(X=>9.3e-5**(x0 + exp(x0)) + (-x2 + x3 + exp(x5))*(-0.3083))
24,0.281,((x5 + 1.428) * -0.449) + (5.215e-5 ^ (x0 + exp(x0))),0.029109542648343596,5.215e-5**(x0 + exp(x0)) + (x5 + 1.428)*(-0.449),PySRFunction(X=>5.215e-5**(x0 + exp(x0)) + (x5 + 1.428)*(-0.449))
26,0.253,(0.00010544 ^ (exp(x0) + x0)) + (((0.6626 ^ x4) + x5) * -0.513),0.052482590303112836,0.00010544**(x0 + exp(x0)) + (0.6626**x4 + x5)*(-0.513),PySRFunction(X=>0.00010544**(x0 + exp(x0)) + (0.6626**x4 + x5)*(-0.513))
28,0.2472,(-0.226 * ((x5 - x4) + (2.8 + x5))) + (7.313e-5 ^ (x0 + exp(x0))),0.011595881571992253,7.313e-5**(x0 + exp(x0)) - 0.226*(-x4 + x5 + x5 + 2.8),PySRFunction(X=>7.313e-5**(x0 + exp(x0)) - 0.226*(-x4 + x5 + x5 + 2.8))
