complexity,loss,equation,score,sympy_format,lambda_format
1,1.554,x4,0.0,x4,PySRFunction(X=>x4)
3,0.9355,x3 - x3,0.25375319260672424,-x3 + x3,PySRFunction(X=>-x3 + x3)
5,0.9346,-0.01001,0.00048125772390926897,-0.0100100000000000,PySRFunction(X=>-0.0100100000000000)
6,0.767,x5 / (x5 - exp(x5)),0.19763182889906963,x5/(x5 - exp(x5)),PySRFunction(X=>x5/(x5 - exp(x5)))
7,0.727,-0.436 * x5,0.05356032383373688,-0.436*x5,PySRFunction(X=>-0.436*x5)
8,0.7236,(x4 - x5) / exp(x4 / x4),0.004687724012379204,(x4 - x5)/exp(x4/x4),PySRFunction(X=>(x4 - x5)/exp(x4/x4))
9,0.5938,-0.4097 * (x5 + x0),0.19769619119148066,-0.4097*(x0 + x5),PySRFunction(X=>-0.4097*(x0 + x5))
10,0.5933,log(0.6616) * (x5 + x0),0.000842389065061815,-0.413094135272656*x0 - 0.413094135272656*x5,PySRFunction(X=>-0.413094135272656*x0 - 0.413094135272656*x5)
11,0.5767,((x5 + x0) - x4) * -0.3513,0.028377972643230744,(x0 - x4 + x5)*(-0.3513),PySRFunction(X=>(x0 - x4 + x5)*(-0.3513))
17,0.5376,(exp(x0) ^ -0.9873) - (exp(0.5186) ^ x5),0.011701235235404535,-exp(0.5186)**x5 + exp(x0)**(-0.9873),PySRFunction(X=>-exp(0.5186)**x5 + exp(x0)**(-0.9873))
18,0.4915,(exp(x5) - (x0 / (-0.8184 - x0))) * -0.5005,0.08965284962171848,(-x0/(-x0 - 0.8184) + exp(x5))*(-0.5005),PySRFunction(X=>(-x0/(-x0 - 0.8184) + exp(x5))*(-0.5005))
22,0.412,(-0.7197 - (x0 * (0.2423 ^ x0))) - (x5 / exp(x3 / x3)),0.04410964755942374,-0.2423**x0*x0 - x5/exp(x3/x3) - 0.7197,PySRFunction(X=>-0.2423**x0*x0 - x5/exp(x3/x3) - 0.7197)
23,0.4038,(-0.7144 - (x0 * (0.2467 ^ x0))) - (0.4575 * x5),0.020103643470789283,-0.2467**x0*x0 - 0.4575*x5 - 0.7144,PySRFunction(X=>-0.2467**x0*x0 - 0.4575*x5 - 0.7144)
24,0.353,((-1.352 - x5) - (x0 / (x0 - -0.7827))) * exp(-0.7944),0.13445164894544034,(-x0/(x0 - 1*(-0.7827)) - x5 - 1.352)*exp(-0.7944),PySRFunction(X=>(-x0/(x0 - 1*(-0.7827)) - x5 - 1.352)*exp(-0.7944))
28,0.3372,0.194 * (((-3.549 - x5) - (x5 - x2)) + (exp(x0) ^ (-2.693 - x4))),0.01144795770139908,0.194*(-x5 - (-x2 + x5) + exp(x0)**(-x4 - 2.693) - 3.549),PySRFunction(X=>0.194*(-x5 - (-x2 + x5) + exp(x0)**(-x4 - 2.693) - 3.549))
29,0.2883,((-0.9824 - x5) - ((x0 / 4.273) / (x0 - -0.645))) * 0.433,0.15667462148334385,(-x0/(4.273*(x0 - 1*(-0.645))) - x5 - 0.9824)*0.433,PySRFunction(X=>(-x0/(4.273*(x0 - 1*(-0.645))) - x5 - 0.9824)*0.433)
30,0.276,(0.00916 * (exp(x0) ^ (-7.805 - x4))) + ((-0.4553 * x5) + -0.5967),0.04360073892720637,-0.4553*x5 + 0.00916*exp(x0)**(-x4 - 7.805) - 0.5967,PySRFunction(X=>-0.4553*x5 + 0.00916*exp(x0)**(-x4 - 7.805) - 0.5967)
