Complexity,Loss,Equation
1,1.554,"x4"
3,0.9355,"x1 - x1"
5,0.9346,"-0.005737"
6,0.767,"x5 / (x5 - exp(x5))"
7,0.727,"-0.4348 * x5"
9,0.5933,"(x5 + x0) * -0.413"
11,0.5767,"-0.3496 * (x0 - (x4 - x5))"
16,0.569,"((0.0655 ^ x0) - exp(x5)) * 0.2717"
17,0.548,"((x5 + x0) * -0.414) - (x4 * -0.1978)"
18,0.514,"(x0 / (-1.55 - x0)) - (exp(x5) * 0.2415)"
22,0.4111,"((0.04813 ^ x0) + (-1.97 - exp(x5))) * 0.2559"
24,0.3872,"0.2717 * (((0.0655 ^ x0) + (x4 - 1.571)) - exp(x5))"
26,0.3643,"(((x2 + x4) - 2.064) + ((0.04813 ^ x0) - exp(x5))) * 0.2559"
29,0.315,"((exp(x0) * 1.7295) ^ -7.64) + (log(0.634 ^ x5) - 0.6895)"
