Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,8.220935357531588e-21,0.5863531178641598,9.066937386753913e-11,8.799821775172852e-21,0.5888763520671445,9.380736525013829e-11,7.786274810633158e-21,0.5327752031164329,8.823987086704716e-11
Model_2,3.402752885950153e-21,0.242699240077375,5.833311997442064e-11,4.324271515737843e-21,0.2893764556368579,6.575919339330314e-11,4.22600526188639e-21,0.28916405682187185,6.500773232382737e-11
Model_3,3.402752885950153e-21,0.242699240077375,5.833311997442064e-11,4.324271515737843e-21,0.2893764556368579,6.575919339330314e-11,4.22600526188639e-21,0.28916405682187185,6.500773232382737e-11
Model_4,2.173103680719164e-21,0.15499527282675962,4.661656015536929e-11,2.5144890974909764e-21,0.16826740414455807,5.014468164711963e-11,2.3803456397389456e-21,0.1628749514424224,4.878878600394711e-11
Model_5,8.473641629361285e-22,0.06043772360389146,2.910952014266344e-11,1.057515615672464e-21,0.07076801711691583,3.251946518121822e-11,8.493757242981013e-22,0.0581184629416246,2.914405126776477e-11
Model_6,7.705975683540681e-22,0.05496239383624318,2.7759639197116162e-11,1.1368021351162443e-21,0.07607380143062563,3.3716496483416603e-11,9.057581091813943e-22,0.061976422914648284,3.009581547626504e-11
Model_7,6.182038293451851e-22,0.044093004876874724,2.4863705060694095e-11,8.420527110993223e-22,0.05634942859404422,2.9018144515101622e-11,6.406094099937879e-22,0.04383364533469183,2.5310262938061072e-11
Model_8,5.665785212376566e-22,0.040410861780856476,2.380290993214184e-11,7.84461742046311e-22,0.05249549147640493,2.8008244179996556e-11,5.983379118992827e-22,0.040941221610759,2.446094666809285e-11
Model_9,5.402825528585531e-22,0.03853531813821989,2.324397885170594e-11,5.65372844583579e-22,0.03783425469087559,2.3777570199319758e-11,5.457529661848433e-22,0.03734310109546231,2.3361356257393176e-11
Model_10,5.16380561511457e-22,0.036830523423261805,2.2724008482471946e-11,5.899818018292959e-22,0.03948106451740181,2.428954099667789e-11,5.329407769482657e-22,0.03646642811783223,2.3085510108036723e-11
Model_11,4.6095087850797125e-22,0.032877035646285205,2.146976661512582e-11,6.541645897328468e-22,0.043776120368734656,2.5576641486576122e-11,4.842353024044841e-22,0.03313376009312949,2.200534713210596e-11
Model_12,4.565436415244264e-22,0.032562692200669825,2.136688188586314e-11,5.834702160233582e-22,0.03904531490865506,2.4155128151664983e-11,4.835083710090125e-22,0.03308401987315355,2.1988823775022906e-11
Model_13,4.271851054192129e-22,0.03046871281358604,2.0668456774012253e-11,5.964011925616673e-22,0.039910644512719196,2.4421326592993824e-11,4.620286363621901e-22,0.031614270825287956,2.1494851391954076e-11
Model_14,3.9780417833424083e-22,0.028373136403752105,1.9945028912845445e-11,5.280483354894691e-22,0.03533653129151678,2.2979302328170653e-11,4.299443138938161e-22,0.029418903742097234,2.0735098598603673e-11
Model_15,3.5257909187939163e-22,0.025147485149338244,1.8777089547621368e-11,5.973610807380536e-22,0.03997487938725921,2.4440971354225134e-11,3.874496512835344e-22,0.026511210004825193,1.9683740784808522e-11
