Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,8.220935357531588e-21,0.5863531178641598,9.066937386753913e-11,8.799821775172852e-21,0.5888763520671445,9.380736525013829e-11,7.786274810633158e-21,0.5327752031164329,8.823987086704716e-11
Model_2,3.402752885950153e-21,0.242699240077375,5.833311997442064e-11,4.324271515737843e-21,0.2893764556368579,6.575919339330314e-11,4.22600526188639e-21,0.28916405682187185,6.500773232382737e-11
Model_3,3.402752885950153e-21,0.242699240077375,5.833311997442064e-11,4.324271515737843e-21,0.2893764556368579,6.575919339330314e-11,4.22600526188639e-21,0.28916405682187185,6.500773232382737e-11
Model_4,2.353651458321892e-21,0.1678727311349334,4.8514445872563485e-11,2.5247346072797908e-21,0.16895302467002454,5.024673727994476e-11,2.4335111005849493e-21,0.1665127936570751,4.933063044990353e-11
Model_5,8.474588857850248e-22,0.060444479652366226,2.91111471052761e-11,1.056322774288314e-21,0.07068819321810975,3.2501119585151434e-11,8.478813605464157e-22,0.05801621122681909,2.911840243808742e-11
Model_6,7.767311973865814e-22,0.055399871124486466,2.786989769243119e-11,1.1461788888423112e-21,0.07670128556263578,3.3855263827687286e-11,9.274775213491292e-22,0.06346257187684931,3.045451561507963e-11
Model_7,6.263857748977895e-22,0.04467657707107392,2.5027700151987387e-11,7.766879674730608e-22,0.051975277302817535,2.786912211522029e-11,6.373834444670678e-22,0.04361290891316227,2.5246454096903742e-11
Model_8,5.665566428299476e-22,0.040409301316990005,2.3802450353481415e-11,7.822977124956044e-22,0.05235067651763145,2.796958549023572e-11,5.965104967590215e-22,0.04081618088252769,2.4423564374575254e-11
Model_9,5.234664621667492e-22,0.03733592089464562,2.2879389462281313e-11,7.064788557125686e-22,0.04727694514658691,2.657966996997082e-11,5.248873336173343e-22,0.03591537193104517,2.2910419760827917e-11
Model_10,4.796321291633054e-22,0.03420946426796531,2.190050522621123e-11,6.587769821907367e-22,0.04408477762501765,2.5666651168213135e-11,5.286406131070227e-22,0.036172189766416285,2.2992185914067038e-11
Model_11,4.1906519762355466e-22,0.02988956542394116,2.0471081984681577e-11,5.515763939337281e-22,0.03691100831865017,2.3485663582997353e-11,4.41701180122323e-22,0.03022336633110726,2.101668813401205e-11
Model_12,3.690350254580382e-22,0.026321194410093476,1.9210284366922792e-11,6.032558439268368e-22,0.040369351767677635,2.456126714823233e-11,4.0413554515056235e-22,0.027652940898017512,2.0103122771115994e-11
