complexity,loss,equation,score,sympy_format,lambda_format
1,0.5864,x4,0.0,x4,PySRFunction(X=>x4)
3,0.2426,x4 - x5,0.44129407703124596,x4 - x5,PySRFunction(X=>x4 - x5)
7,0.2423,((x4 - x5) * x0) / x0,0.0003093421718674462,x0*(x4 - x5)/x0,PySRFunction(X=>x0*(x4 - x5)/x0)
8,0.1675,(x4 - x5) / (exp(x2) - x2),0.3691932765573589,(x4 - x5)/(-x2 + exp(x2)),PySRFunction(X=>(x4 - x5)/(-x2 + exp(x2)))
9,0.0603,(x5 - x4) * -0.692,1.0216512475319814,(-x4 + x5)*(-0.692),PySRFunction(X=>(-x4 + x5)*(-0.692))
13,0.05536,(x4 - x5) / exp(0.22 / exp(x1)),0.0213686981059314,(x4 - x5)/exp(0.22/exp(x1)),PySRFunction(X=>(x4 - x5)/exp(0.22/exp(x1)))
17,0.0445,(x0 * -0.12335) - ((x4 - x5) * -0.6943),0.054592030534304926,x0*(-0.12335) - (-0.6943)*(x4 - x5),PySRFunction(X=>x0*(-0.12335) - (-0.6943)*(x4 - x5))
20,0.04028,((x4 - x5) * 0.693) + log(1.1045 ^ (x2 - x0)),0.03321137377394427,0.693*x4 - 0.693*x5 + log(1.1045**(-x0 + x2)),PySRFunction(X=>0.693*x4 - 0.693*x5 + log(1.1045**(-x0 + x2)))
22,0.0373,(((x1 * x4) - x0) * exp(-2.3)) - ((x4 - x5) * -0.6943),0.03843087060029589,(-x0 + x1*x4)*exp(-2.3) - (-0.6943)*(x4 - x5),PySRFunction(X=>(-x0 + x1*x4)*exp(-2.3) - (-0.6943)*(x4 - x5))
24,0.03415,(exp(-2.3) * ((x2 - x0) - (x5 * x1))) - (-0.6943 * (x4 - x5)),0.04411537031648542,-(-1)*0.6943*(x4 - x5) + (-x0 - x1*x5 + x2)*exp(-2.3),PySRFunction(X=>-(-1)*0.6943*(x4 - x5) + (-x0 - x1*x5 + x2)*exp(-2.3))
25,0.02979,((x1 * 0.08514) + 0.6934) * ((x4 - x5) + (x0 * -0.1752)),0.1365898192916081,(x1*0.08514 + 0.6934)*(x0*(-0.1752) + x4 - x5),PySRFunction(X=>(x1*0.08514 + 0.6934)*(x0*(-0.1752) + x4 - x5))
28,0.02623,log((0.9185 ^ x1) * 0.502) * (((x0 - x2) * 0.1448) + (x5 - x4)),0.0424229909488029,(0.1448*x0 - 0.1448*x2 - x4 + x5)*log(0.502*0.9185**x1),PySRFunction(X=>(0.1448*x0 - 0.1448*x2 - x4 + x5)*log(0.502*0.9185**x1))
