Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,1.1775604000609113e-17,1.469046293655983,3.431559995193019e-09,1.5656864616980663e-17,1.36527500228893,3.956875613028626e-09,1.461254682062604e-17,1.2416773338377392,3.822636108842436e-09
Model_2,8.015815465762777e-18,1.0,2.831221550102142e-09,1.1467920082570468e-17,1.0,3.386431762574062e-09,1.1768392981340827e-17,1.0,3.4305091431653153e-09
Model_3,8.022791229171855e-18,1.0008702499999997,2.8324532174727713e-09,1.1477900040022326e-17,1.00087025,3.3879049632512314e-09,1.1778634425332837e-17,1.00087025,3.4320015188418606e-09
Model_4,6.7689798377673595e-18,0.8444530524285504,2.6017263187674757e-09,9.376984067163327e-18,0.8176708592009589,3.062186158149652e-09,1.012319492400125e-17,0.860201978303402,3.181696862367823e-09
Model_5,6.113806104995256e-18,0.7627179207291634,2.4726111916343128e-09,7.349722730229959e-18,0.6408941357553096,2.711037205615216e-09,9.435089907443072e-18,0.8017313767820905,3.071659145713123e-09
Model_6,4.975077413460631e-18,0.6206576779006736,2.230488155866476e-09,5.9140253604019695e-18,0.5157016545127837,2.431876921310363e-09,7.91803621998343e-18,0.672822213919754,2.813900534841882e-09
Model_7,4.265399582226263e-18,0.5321229761893442,2.0652843828941e-09,5.1492443625573725e-18,0.4490129269721244,2.269194650654142e-09,6.404919527988268e-18,0.5442475908259928,2.5307942484501318e-09
Model_8,4.155777358648998e-18,0.5184472342706979,2.03857238248952e-09,4.990722278983826e-18,0.43518983765582575,2.2339924527589224e-09,6.454820111112298e-18,0.5484878114919027,2.540633801064667e-09
Model_9,3.90864608582815e-18,0.48761677492736627,1.977029611773215e-09,4.777024333652945e-18,0.41655542585384,2.185640485910925e-09,6.807074187668799e-18,0.5784200271406333,2.609037023054445e-09
Model_10,3.5228945462069116e-18,0.43949297002331583,1.876937544567456e-09,3.8149409549750285e-18,0.3326619759735831,1.9531873834773327e-09,5.558751360528699e-18,0.47234583084897674,2.3577004390992294e-09
Model_11,3.524542264940034e-18,0.4396985284895954,1.8773764313371023e-09,4.6510808378189045e-18,0.4055731819135935,2.1566364639917652e-09,6.318276540181731e-18,0.5368852442469898,2.5136182168702015e-09
Model_12,3.4110279330320817e-18,0.425537232936723,1.8468968387628156e-09,3.8823721253607076e-18,0.3385419585598033,1.970373600452642e-09,5.776661211919917e-18,0.49086236507218983,2.4034685793494196e-09
Model_13,3.113619948785364e-18,0.38843458436440875,1.764545252688455e-09,3.84634563724011e-18,0.3354004570616064,1.9612102480968507e-09,5.308429348130752e-18,0.4510751261066351,2.304002896727943e-09
