complexity,loss,equation,score,sympy_format,lambda_format
1,1.464,x1,0.0,x1,PySRFunction(X=>x1)
3,0.994,x5 - x5,0.1935952439323414,-x5 + x5,PySRFunction(X=>-x5 + x5)
5,0.9893,-0.0238,0.0023697921636985863,-0.0238000000000000,PySRFunction(X=>-0.0238000000000000)
6,0.7427,x0 / (x0 - exp(x0)),0.286705427653926,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
9,0.7007,x0 / (-1.519 - x0),0.0194041197662542,x0/(-x0 - 1.519),PySRFunction(X=>x0/(-x0 - 1.519))
10,0.553,-0.4995 - (x0 / exp(x0)),0.23672183385415338,-x0/exp(x0) - 0.4995,PySRFunction(X=>-x0/exp(x0) - 0.4995)
12,0.5312,((-0.816 - x0) - x0) / exp(x0),0.020109701680055367,(-x0 - x0 - 0.816)/exp(x0),PySRFunction(X=>(-x0 - x0 - 0.816)/exp(x0))
16,0.5137,-1.054 - (x0 * exp(x0 * -1.986)),0.00837479017225045,-x0*exp(x0*(-1.986)) - 1.054,PySRFunction(X=>-x0*exp(x0*(-1.986)) - 1.054)
18,0.4788,(x0 / ((-0.4163 - x0) - exp(x0))) + -0.8696,0.035178231894702115,x0/(-x0 - exp(x0) - 0.4163) - 0.8696,PySRFunction(X=>x0/(-x0 - exp(x0) - 0.4163) - 0.8696)
19,0.4429,(0.1965 / (x0 + 0.6997)) + -0.9854,0.0779389627546655,-0.9854 + 0.1965/(x0 + 0.6997),PySRFunction(X=>-0.9854 + 0.1965/(x0 + 0.6997))
22,0.3503,(x0 + ((0.8965 ^ x1) + x0)) / ((x0 * -0.5913) - exp(x0)),0.07818469357523716,(0.8965**x1 + x0 + x0)/(x0*(-0.5913) - exp(x0)),PySRFunction(X=>(0.8965**x1 + x0 + x0)/(x0*(-0.5913) - exp(x0)))
28,0.339,((-1.979 - x1) / (exp(2.176) + (6.047 / x0))) + -0.662,0.005464970470498473,(-x1 - 1.979)/(exp(2.176) + 6.047/x0) - 0.662,PySRFunction(X=>(-x1 - 1.979)/(exp(2.176) + 6.047/x0) - 0.662)
29,0.337,-0.9756 - ((2.42 - (x0 - x1)) * (-0.0863 / (x0 + 0.7373))),0.005917177028088507,-(-0.0863)*(2.42 - (x0 - x1))/(x0 + 0.7373) - 0.9756,PySRFunction(X=>-(-0.0863)*(2.42 - (x0 - x1))/(x0 + 0.7373) - 0.9756)
30,0.312,((x0 + (0.8965 ^ x1)) + x0) / (((x0 * 5.05) / (-8.54 + x2)) - exp(x0)),0.07707974254287937,(0.8965**x1 + x0 + x0)/(x0*5.05/(x2 - 8.54) - exp(x0)),PySRFunction(X=>(0.8965**x1 + x0 + x0)/(x0*5.05/(x2 - 8.54) - exp(x0)))
