complexity,loss,equation,score,sympy_format,lambda_format
1,1.464,x1,0.0,x1,PySRFunction(X=>x1)
3,0.994,x4 - x4,0.1935952439323414,-x4 + x4,PySRFunction(X=>-x4 + x4)
5,0.9893,-0.02179,0.0023697921636985863,-0.0217900000000000,PySRFunction(X=>-0.0217900000000000)
6,0.7427,x0 / (x0 - exp(x0)),0.286705427653926,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
8,0.7104,x0 / (x1 - exp(x1 + x0)),0.022232001498645224,x0/(x1 - exp(x0 + x1)),PySRFunction(X=>x0/(x1 - exp(x0 + x1)))
9,0.7007,x0 / (-1.526 - x0),0.013748356301472137,x0/(-x0 - 1.526),PySRFunction(X=>x0/(-x0 - 1.526))
10,0.552,-0.5527 - (x0 / exp(x0)),0.23853178909939288,-x0/exp(x0) - 0.5527,PySRFunction(X=>-x0/exp(x0) - 0.5527)
12,0.533,((-0.843 - x0) - x0) / exp(x0),0.017513311055625404,(-x0 - x0 - 0.843)/exp(x0),PySRFunction(X=>(-x0 - x0 - 0.843)/exp(x0))
14,0.5083,-0.8525 + (((x0 * x0) - x0) / exp(x0)),0.023724799856493936,(-x0 + x0*x0)/exp(x0) - 0.8525,PySRFunction(X=>(-x0 + x0*x0)/exp(x0) - 0.8525)
15,0.442,(-0.507 - x0) / (x0 + 0.692),0.1397619423751586,(-x0 - 0.507)/(x0 + 0.692),PySRFunction(X=>(-x0 - 0.507)/(x0 + 0.692))
21,0.4294,(((x1 * 0.1804) - x0) / ((x5 / x5) + x0)) + -0.6587,0.0048201661055029136,(-x0 + x1*0.1804)/(x0 + x5/x5) - 0.6587,PySRFunction(X=>(-x0 + x1*0.1804)/(x0 + x5/x5) - 0.6587)
22,0.3843,(0.006283 ^ log(x0 + 1.474)) - (0.73 ^ x1),0.11096538787388244,0.006283**log(x0 + 1.474) - 0.73**x1,PySRFunction(X=>0.006283**log(x0 + 1.474) - 0.73**x1)
23,0.3218,((x1 * 0.05753) - (x0 + 0.4995)) / (x0 + 0.7036),0.17749326301251542,(x1*0.05753 - (x0 + 0.4995))/(x0 + 0.7036),PySRFunction(X=>(x1*0.05753 - (x0 + 0.4995))/(x0 + 0.7036))
29,0.3171,(((x1 * 0.2091) - x0) / ((x0 + 0.665) / 0.188)) - 0.688,0.0024521755023301814,-1*0.688 + (-x0 + x1*0.2091)/(((x0 + 0.665)/0.188)),PySRFunction(X=>-1*0.688 + (-x0 + x1*0.2091)/(((x0 + 0.665)/0.188)))
