Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,9.421333957018787e-12,1.470455474488818,3.069419156293058e-06,1.0340405912541939e-11,1.5725326470823677,3.2156501539411806e-06,9.655886164094073e-12,1.3037598716027343,3.1073921806064444e-06
Model_2,6.407085505458078e-12,1.0,2.5312221367272526e-06,6.575638306605102e-12,1.0,2.5643007441805848e-06,7.406184508673308e-12,1.0,2.721430599643009e-06
Model_3,6.409844156211021e-12,1.0004305624999998,2.5317670027494675e-06,6.57846952987349e-12,1.0004305625,2.5648527306403947e-06,7.409373333990824e-12,1.0004305625,2.7220164095741275e-06
Model_4,4.800928367310138e-12,0.7493154825576022,2.1911020896594795e-06,4.8647323445023046e-12,0.7398114247883395,2.2056138248801183e-06,5.759469083155588e-12,0.7776567106059445,2.399889389775201e-06
Model_5,4.753710097381301e-12,0.7419457869466083,2.1803004603451563e-06,5.040686095767622e-12,0.7665698538656468,2.2451472325367933e-06,4.973561823105919e-12,0.671541711833054,2.2301483858940684e-06
Model_6,4.5391865172752714e-12,0.708463546086348,2.1305366735344576e-06,4.502944863692722e-12,0.6847920542055363,2.122014341066696e-06,5.483368438550543e-12,0.7403769690221766,2.341659334435849e-06
Model_7,3.5764378360387382e-12,0.5582004224841446,1.8911472274888431e-06,3.409523826136115e-12,0.5185084195873904,1.8464895954583972e-06,4.4456372333122096e-12,0.6002601242388667,2.1084679825200595e-06
Model_8,3.4469394215497456e-12,0.537988671856082,1.8565934992748804e-06,3.2141813174581803e-12,0.48880141631719576,1.792813798881016e-06,4.393711065865848e-12,0.5932489341469169,2.0961180944464574e-06
Model_9,2.8873682016680035e-12,0.45065235967403705,1.6992257653613906e-06,3.3507346691258662e-12,0.5095679708782215,1.8305012070812372e-06,4.314496330817822e-12,0.5825531791390235,2.0771365700930265e-06
Model_10,2.463432259793919e-12,0.3844856226275373,1.5695324972086174e-06,3.356789984564789e-12,0.5104888420022978,1.8321544652579894e-06,3.706991625812143e-12,0.5005265020701175,1.9253549350216293e-06
Model_11,2.398499067181639e-12,0.37435103139148085,1.5487088387368488e-06,2.70456214488622e-12,0.411300320787039,1.6445553030792915e-06,3.3684714523490452e-12,0.45481873269620304,1.8353396013678355e-06
Model_12,2.3381696634904685e-12,0.36493498666415874,1.5291074728384753e-06,2.554689595205171e-12,0.3885082293287078,1.5983396369999622e-06,3.1650516474196334e-12,0.42735252459793205,1.7790592028990023e-06
Model_13,2.2542801322786236e-12,0.3518417430761996,1.5014260329029277e-06,2.572121267677578e-12,0.39115917691122576,1.6037834229339004e-06,3.013372026695275e-12,0.40687239470827996,1.7359066872085247e-06
Model_14,2.1600688101385006e-12,0.3371375032061579,1.4697172551679799e-06,2.54122745846321e-12,0.386460954811124,1.5941227865077427e-06,2.8467775436893465e-12,0.3843784259432794,1.6872396224867844e-06
Model_15,2.143049870739792e-12,0.33448123470713276,1.4639159370468619e-06,2.1270958463579417e-12,0.3234812724144689,1.458456665917072e-06,2.4203850961465342e-12,0.32680594080690883,1.5557586882760881e-06
