Complexity,Loss,Equation
1,1.464,"x1"
3,0.994,"x0 - x0"
5,0.9893,"-0.00821"
6,0.7427,"x0 / (x0 - exp(x0))"
8,0.7104,"x0 / (x1 - exp(x0 + x1))"
9,0.7007,"x0 / (-1.523 - x0)"
10,0.552,"-0.5327 - (x0 / exp(x0))"
12,0.514,"-1.024 - (x0 / exp(x0 + x0))"
14,0.4978,"-0.949 - ((x0 - (x0 * x0)) / exp(x0))"
15,0.442,"(-0.5054 - x0) / (x0 + 0.695)"
19,0.3865,"((x0 + 1.462) ^ (-4.598 - x1)) - (x3 / x3)"
21,0.338,"((x0 + 1.462) ^ ((-4.598 - x2) - x1)) - (x3 / x3)"
23,0.3184,"(((x1 * 0.04932) + -0.512) - x0) / (x0 + 0.686)"
26,0.309,"((exp(x0) * 1.593) ^ ((-4.99 - x2) - x1)) - (0.794 ^ x1)"
27,0.3018,"((exp(x0) * 1.602) ^ (-5.656 - x2)) - (0.751 ^ (x1 / exp(x0)))"
28,0.2815,"((x0 + 1.462) ^ ((-4.598 - x1) - x2)) - exp((x3 - x1) * 0.1631)"
30,0.2703,"((exp(x0) * 1.58) ^ ((-5.195 - x2) - x1)) - (0.8374 ^ ((x1 + x0) - x3))"
