Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,8.338864160335104e-12,1.7907584624374537,2.8877091543878003e-06,8.744861283594532e-12,1.8765543422654858,2.957171162377067e-06,1.0010924119641383e-11,1.7667707520203215,3.1640044436823065e-06
Model_2,4.65661022145043e-12,1.0,2.1579180293631245e-06,4.6600629071243555e-12,1.0,2.1587178850244316e-06,5.666226989661099e-12,1.0,2.380383790413029e-06
Model_3,4.662485328731171e-12,1.0012616704,2.1592788909103822e-06,4.665942370556411e-12,1.0012616703999997,2.1600792509897434e-06,5.673375900533635e-12,1.0012616704,2.38188494695559e-06
Model_4,4.214162908854464e-12,0.9049851090052898,2.052842641035709e-06,4.218912261707297e-12,0.905333757460093,2.0539990899967063e-06,5.131290163755064e-12,0.9055920585458173,2.2652351232830254e-06
Model_5,4.198850978571111e-12,0.9016968951425921,2.0491098014921286e-06,4.312506599818993e-12,0.9254181082461324,2.07665755477859e-06,5.069826645977388e-12,0.8947447137624498,2.2516275548983203e-06
Model_6,4.106623379233158e-12,0.8818911577173055,2.0264805400578508e-06,4.387962762175197e-12,0.9416101991813954,2.0947464672783665e-06,5.009819191480284e-12,0.8841543412612075,2.238262538550892e-06
Model_7,3.6646175033718176e-12,0.7869710645934997,1.91431907041951e-06,4.796731359977896e-12,1.0293275982701007,2.1901441413701283e-06,4.9255283087130445e-12,0.8692783253654375,2.2193531284392405e-06
Model_8,3.564922491737321e-12,0.7655617116750921,1.8881002334985611e-06,3.941010216455989e-12,0.8456989304652796,1.985197777667502e-06,4.408088312976991e-12,0.7779582994151532,2.0995447870852843e-06
Model_9,3.551472642734997e-12,0.7626733769503242,1.8845351264264079e-06,3.877799863490966e-12,0.832134660148588,1.969213006124773e-06,4.36690525984365e-12,0.7706901378662978,2.089714157449207e-06
Model_10,3.4823884869272425e-12,0.7478376590090798,1.8661158825022745e-06,3.9506423633154656e-12,0.8477658868672524,1.987622288895822e-06,4.321569757245498e-12,0.7626891342565106,2.0788385596879565e-06
Model_11,3.366055934245101e-12,0.7228554193218795,1.8346814258189623e-06,6.60107826704026e-11,14.165212784892795,8.124702005021637e-06,2.4019514763331073e-11,4.2390668088585866,4.900970798049206e-06
Model_12,3.2964805225164867e-12,0.707914204914859,1.8156212497424914e-06,9.995223192014104e-12,2.1448687262854964,3.161522290292147e-06,6.105914513119554e-12,1.077597936732985,2.4710148751311787e-06
Model_13,3.1738272806628547e-12,0.681574606790748,1.7815238647469348e-06,4.466926237363518e-11,9.585549221952416,6.683506742245061e-06,8.209260343967119e-08,14488.0541477533,0.0002865180682603999
Model_14,3.0173492738444196e-12,0.6479711915644472,1.7370518915232266e-06,4.050987195708698e-10,86.9298822021373,2.012706435551071e-05,1.4641177131812294e-09,258.39376287832044,3.826379115013604e-05
Model_15,2.8589203918409275e-12,0.6139488288436642,1.690834229556797e-06,1.3356953112774749e-08,2866.2602584944707,0.00011557228522779476,2.7293751360805285e-09,481.6918102752841,5.2243421940762346e-05
Model_16,2.7108553751559532e-12,0.5821520905203833,1.646467544519464e-06,1.4093061707836597e-10,30.24221343941724,1.1871420179505314e-05,2.0339175285856e-07,35895.44739906811,0.00045098974806370045
Model_17,2.6551594198188644e-12,0.5701914683750021,1.6294659922253255e-06,1.951593032397007e-10,41.87911346461418,1.3969942850266092e-05,9.263835764981202e-08,16349.214004106245,0.0003043655000978462
Model_18,2.612540227556553e-12,0.5610390613158953,1.6163354316343353e-06,8.892197538868025e-11,19.081711376199525,9.429844929195827e-06,4.9446163059757884e-08,8726.470568507051,0.00022236493217177452
Model_19,2.4147842228029743e-12,0.5185712584831339,1.5539576000660296e-06,4.0474408633802217e-10,86.85378167733421,2.0118252566712203e-05,9.371264550921543e-07,165388.08925270473,0.0009680529195721452
Model_20,2.278496360270692e-12,0.48930364619630784,1.509468900067402e-06,1.1100603089439035e-08,2382.0715107661554,0.00010535939962546785,3.3793720977329005e-07,59640.605713450655,0.0005813236704051281
Model_21,1.9527269194742297e-12,0.4193451516468129,1.3974000570610514e-06,9.026352836250159e-09,1936.959439420994,9.500711992398338e-05,1.2608021696954508e-08,2225.117652356635,0.00011228544739615418
