gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals,Model_22_Y_pred,Model_22_Residuals,Model_23_Y_pred,Model_23_Residuals,Model_24_Y_pred,Model_24_Residuals,Model_25_Y_pred,Model_25_Residuals,Model_26_Y_pred,Model_26_Residuals,Model_27_Y_pred,Model_27_Residuals,Model_28_Y_pred,Model_28_Residuals,Model_29_Y_pred,Model_29_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.9194805077741278,0.8394489935449932,-0.2745746047456278,-2.0137932120662389e-07,7.486718126247809e-07,1.1398019814040008e-06,5.925094899858438e-07,1.0707917628249681e-06,5.234992714068111e-07,2.263302495263585e-06,1.716010003845428e-06,1.2533025121885118e-06,7.060100207703548e-07,1.139807765078078e-06,5.92515273659921e-07,9.607038565292965e-07,4.134113651111395e-07,9.643129847650022e-07,4.1702049334684517e-07,1.5762447273798492e-06,1.0289522359616923e-06,8.934322502591867e-07,3.461397588410297e-07,1.5067248776877203e-06,9.594323862695632e-07,6.389414558159242e-07,9.164896439776726e-08,9.633016307705183e-07,4.160091393523613e-07,2.735733851469252e-06,2.188441360051095e-06,2.4127383951440314e-06,1.8654459037258743e-06,2.097470386782819e-06,1.550177895364662e-06,2.72355830643876e-06,2.176265815020603e-06,1.9389908966811657e-06,1.3916984052630086e-06,2.2021069958245973e-06,1.6548145044064402e-06,2.267358768732259e-06,1.720066277314102e-06,2.7239116238622107e-06,2.1766191324440536e-06,2.8419461031789593e-06,2.2946536117608022e-06,2.7290701723902912e-06,2.181777680972134e-06,2.735206578342124e-06,2.1879140869239667e-06,2.810626016654634e-06,2.2633335252364767e-06,2.3998775416862367e-06,1.8525850502680796e-06,2.513538888412184e-06,1.9662463969940267e-06,1.829359740965034e-06,1.2820672495468772e-06,2.1285445686750903e-06,1.5812520772569332e-06
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,1.0346603062483777,-1.498125237150086,-0.5083314547695889,3.227158006372263e-08,1.0592790200596937e-08,1.1398019814040008e-06,1.0969376111396812e-06,1.0707917628249681e-06,1.0279273925606485e-06,2.081841237532515e-06,2.0389768672681955e-06,1.205957348237249e-06,1.1630929779729293e-06,1.1398020563811025e-06,1.096937686116783e-06,8.310206264258357e-07,7.881562561615161e-07,1.0360869780393215e-06,9.93222607775002e-07,1.4461343919786656e-06,1.403270021714346e-06,1.0114122861426127e-06,9.68547915878293e-07,1.4528066362097222e-06,1.4099422659454026e-06,4.995787186208687e-07,4.5671434835654916e-07,9.015914777911447e-07,8.587271075268252e-07,5.32082617247471e-07,4.892182469831515e-07,1.3026735044594079e-06,1.2598091341950883e-06,1.2191335407559835e-06,1.176269170491664e-06,1.346749263902011e-06,1.3038848936376914e-06,1.2733211016664815e-06,1.230456731402162e-06,1.307237422711171e-06,1.2643730524468514e-06,1.3027069060719132e-06,1.2598425358075936e-06,9.373326806830968e-07,8.944683104187772e-07,6.71784290851639e-07,6.289199205873194e-07,6.975791748265364e-07,6.547148045622168e-07,5.556571716244392e-07,5.127928013601197e-07,5.993968183589689e-07,5.565324480946493e-07,6.029257329995971e-07,5.600613627352775e-07,7.51495809839082e-07,7.086314395747625e-07,1.0655052538334092e-06,1.0226408835690896e-06,9.40520021478252e-07,8.976556512139324e-07
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,-0.1685265445086943,1.6027052989154005,-0.5140404394545903,3.7630792977348525e-06,3.7325344484516556e-06,1.1398019814040008e-06,1.1092571321208039e-06,1.0707917628249681e-06,1.0402469135417712e-06,2.2172988501079414e-06,2.1867540008247445e-06,1.6292211876861669e-06,1.59867633840297e-06,1.371294384564892e-06,1.3407495352816951e-06,1.5485180463539036e-06,1.5179731970707067e-06,1.2956089758111062e-06,1.2650641265279093e-06,2.0634361922204573e-06,2.0328913429372604e-06,1.9319198838181664e-06,1.9013750345349695e-06,1.488297559198558e-06,1.457752709915361e-06,1.2991379575007052e-06,1.2685931082175083e-06,9.422113167729843e-07,9.116664674897874e-07,1.3785647003531796e-06,1.3480198510699827e-06,1.2798532600452247e-06,1.2493084107620277e-06,1.5024148851226399e-06,1.471870035839443e-06,1.4695583031759858e-06,1.439013453892789e-06,1.609672576030891e-06,1.579127726747694e-06,1.7082694720469473e-06,1.6777246227637503e-06,1.7006685492440611e-06,1.6701236999608642e-06,1.1453373053922747e-06,1.1147924561090778e-06,1.0398808934289957e-06,1.0093360441457988e-06,1.0635073955351195e-06,1.0329625462519226e-06,9.638824081829677e-07,9.333375588997708e-07,1.0081453253963302e-06,9.776004761131333e-07,1.5430455604668462e-06,1.5125007111836493e-06,1.0686899413490998e-06,1.038145092065903e-06,1.4054384034020143e-08,1.6490465249176768e-08,4.2959067524240477e-07,3.9904582595920786e-07
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-0.5583940499456583,1.1142507865228861,-0.5259804642185428,9.536616778283521e-08,9.058691320881362e-08,1.1398019814040008e-06,1.1350227268299792e-06,1.0707917628249681e-06,1.0660125082509465e-06,2.1546513567816497e-06,2.1498721022076283e-06,1.6260605637792646e-06,1.621281309205243e-06,1.6316141361102416e-06,1.62683488153622e-06,1.7425792292214752e-06,1.7377999746474536e-06,1.7435188928819055e-06,1.738739638307884e-06,2.178476568932402e-06,2.1736973143583807e-06,1.4687249804252997e-06,1.463945725851278e-06,1.7683582858306372e-06,1.7635790312566156e-06,1.6272936920252815e-06,1.6225144374512599e-06,1.262744587336573e-06,1.2579653327625515e-06,8.063487502976437e-07,8.015694957236221e-07,1.2347234632796256e-06,1.229944208705604e-06,1.4007397042752845e-06,1.3959604497012629e-06,1.3303418222743477e-06,1.3255625677003261e-06,1.1751367691930037e-06,1.1703575146189821e-06,1.2394206318639727e-06,1.234641377289951e-06,1.2494239934233004e-06,1.2446447388492788e-06,9.347884750918672e-07,9.300092205178456e-07,6.702129898733559e-07,6.654337352993343e-07,6.686581552539339e-07,6.638789006799123e-07,5.846667829244877e-07,5.798875283504661e-07,6.327067609335319e-07,6.279275063595103e-07,5.981028322653298e-07,5.933235776913082e-07,7.741058322655284e-07,7.693265776915068e-07,5.267309677973781e-07,5.219517132233566e-07,6.359511109270531e-07,6.311718563530315e-07
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,1.0940540515395094,-1.2857839213601099,-0.5248158930562374,-1.3468058894827809e-06,1.3540981931644178e-06,1.1398019814040008e-06,1.132509677722364e-06,1.0707917628249681e-06,1.0634994591433312e-06,1.998166409057282e-06,1.990874105375645e-06,1.1893444449323294e-06,1.1820521412506925e-06,1.1398019847536752e-06,1.1325096810720383e-06,7.702512293114502e-07,7.629589256298133e-07,1.0610986478726315e-06,1.0538063441909946e-06,1.3973710075047951e-06,1.3900787038231582e-06,1.025473302487864e-06,1.018180998806227e-06,1.2045436004816363e-06,1.1972512967999994e-06,4.517476852305317e-07,4.444553815488948e-07,6.174510923864121e-07,6.101587887047752e-07,3.733934520471693e-07,3.661011483655324e-07,1.231749237207242e-06,1.2244569335256052e-06,1.1659088190811797e-06,1.1586165153995428e-06,1.2631966407145626e-06,1.2559043370329257e-06,1.1757620251458322e-06,1.1684697214641953e-06,1.200887772387245e-06,1.193595468705608e-06,1.2024948710409774e-06,1.1952025673593405e-06,8.242055510877851e-07,8.169132474061482e-07,4.317326658046573e-07,4.244403621230204e-07,4.6527266083538873e-07,4.5798035715375183e-07,3.300352554529673e-07,3.227429517713304e-07,3.866768552406905e-07,3.793845515590536e-07,3.3934716977958676e-07,3.3205486609794987e-07,6.988471162270906e-07,6.915548125454537e-07,8.844996093653629e-07,8.77207305683726e-07,8.255614436278332e-07,8.182691399461963e-07
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.5428589224560638,-1.0546958994323365,-0.523505792127459,-3.676478577181835e-07,3.7776725181431684e-07,1.1398019814040008e-06,1.1296825873078675e-06,1.0707917628249681e-06,1.0606723687288348e-06,2.2603001529622454e-06,2.2501807588661123e-06,1.3944088290392514e-06,1.384289434943118e-06,1.1456376060011347e-06,1.1355182119050014e-06,1.1690640803015089e-06,1.1589446862053756e-06,9.134457050636612e-07,9.033263109675279e-07,1.7320929853351394e-06,1.721973591239006e-06,7.399992374339538e-07,7.298798433378205e-07,7.482175095379936e-07,7.380981154418603e-07,8.108212204673285e-07,8.007018263711952e-07,9.517974026706286e-08,8.506034617092953e-08,2.573438000083549e-06,2.563318605987416e-06,1.8359678261689537e-07,1.7347738852076204e-07,8.323442572030327e-07,8.222248631068994e-07,8.891334033604587e-07,8.790140092643254e-07,-2.3798718439248455e-07,2.481065784886179e-07,1.600061155330931e-07,1.4988672143695978e-07,2.8919204714975264e-07,2.790726530536193e-07,5.815094740552309e-07,5.713900799590976e-07,2.6497269886235065e-07,2.548533047662173e-07,4.0015797870127226e-07,3.9003858460513894e-07,3.790051755978187e-07,3.688857815016854e-07,4.677935481951103e-07,4.57674154098977e-07,3.032083126452015e-08,2.0201437168386822e-08,6.57895521546867e-07,6.477761274507336e-07,1.698051002885986e-06,1.6879316087898526e-06,1.0324609518651478e-06,1.0223415577690145e-06
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,0.546408642461824,0.3809494973622852,-0.2604106639467019,-4.3954332378150893e-07,1.0174004384165e-06,1.1398019814040008e-06,5.619448667690098e-07,1.0707917628249681e-06,4.929346481899771e-07,2.268504336544139e-06,1.690647221909148e-06,1.3952900433478533e-06,8.174329287128623e-07,1.1454113591397017e-06,5.675542445047106e-07,1.1702619775838751e-06,5.924048629488841e-07,9.098792873259844e-07,3.320221726909934e-07,1.7376508350244887e-06,1.1597937203894977e-06,7.247402237592348e-07,1.468831091242438e-07,1.1888823476396528e-06,6.110252330046618e-07,8.17338329615197e-07,2.3948121498020594e-07,5.995265777465602e-07,2.1669463111569187e-08,3.0700315325097566e-06,2.4921744178747655e-06,2.113581960400074e-06,1.5357248457650831e-06,2.1769422364166476e-06,1.5990851217816566e-06,2.5989087146492434e-06,2.0210516000142524e-06,1.4356372934250627e-06,8.577801787900716e-07,1.8025688625617406e-06,1.2247117479267496e-06,1.914418186229666e-06,1.3365610715946751e-06,2.602508798668592e-06,2.024651684033601e-06,2.520159458524388e-06,1.942302343889397e-06,2.4745076335037896e-06,1.8966505188687986e-06,2.485393550292814e-06,1.907536435657823e-06,2.5860145507613843e-06,2.0081574361263933e-06,2.0180951902071435e-06,1.4402380755721525e-06,2.2679820135306187e-06,1.6901248988956277e-06,1.9849310831545077e-06,1.4070739685195167e-06,2.059753711139183e-06,1.4818965965041918e-06
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.4016404755571705,1.6317100856415183,-0.520174365467106,5.011476938917267e-06,4.9941685991672565e-06,1.1398019814040008e-06,1.122493641653991e-06,1.0707917628249681e-06,1.0534834230749582e-06,1.998694153974401e-06,1.9813858142243915e-06,1.4859924582451567e-06,1.4686841184951469e-06,2.2370506309490585e-06,2.219742291199049e-06,2.158804958554432e-06,2.141496618804422e-06,2.7032097517793433e-06,2.685901412029333e-06,2.218794799421688e-06,2.2014864596716778e-06,3.563890320055401e-06,3.5465819803053913e-06,2.3708870288259266e-06,2.353578689075917e-06,2.6289712592972736e-06,2.6116629195472635e-06,1.952346842259546e-06,1.9350385025095363e-06,3.7413090796669005e-07,3.5682256821668017e-07,1.2714983372177697e-06,1.2541899974677598e-06,1.37304791553351e-06,1.3557395757835e-06,1.2975529209429e-06,1.28024458119289e-06,1.3844641906144211e-06,1.3671558508644113e-06,1.3992199228022538e-06,1.381911583052244e-06,1.3810320845397475e-06,1.3637237447897376e-06,8.66826641639903e-07,8.495183018898931e-07,5.221976858640412e-07,5.048893461140313e-07,4.92878047702829e-07,4.7556970795281917e-07,4.0772020747382214e-07,3.9041186772381227e-07,4.587152568272165e-07,4.4140691707720665e-07,7.084882368827735e-07,6.911798971327636e-07,1.9388052694488658e-07,1.765721871948767e-07,-2.898589922256609e-07,3.0716733197567075e-07,-1.2131359307110638e-08,2.943969905712051e-08
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.5844299826132315,-0.22534158372193697,-0.0019583940750975237,-1.1671567800595273e-07,1.2522916055267027e-06,1.1398019814040008e-06,4.226053883250866e-09,1.0707917628249681e-06,6.478416469578181e-08,2.162125636915989e-06,1.026549709395239e-06,1.5464638675286195e-06,4.108879400078696e-07,2.6038097100926165e-06,1.4682337825718666e-06,2.3160447065790225e-06,1.1804687790582726e-06,3.647150631947469e-06,2.5115747044267195e-06,2.729974949587641e-06,1.5943990220668912e-06,3.1588419047402065e-06,2.0232659772194564e-06,2.7273088507167705e-06,1.5917329231960206e-06,4.134791062550673e-06,2.9992151350299227e-06,2.360276413980578e-06,1.2247004864598279e-06,8.495233002203902e-07,2.860526273003597e-07,1.5816240963639444e-06,4.460481688431945e-07,1.7516480404811686e-06,6.160721129604187e-07,1.6330731771970094e-06,4.974972496762594e-07,1.529224806536285e-06,3.936488790155351e-07,1.5785839809769336e-06,4.430080534561837e-07,1.5591470610531066e-06,4.2357113353235667e-07,1.3091418560980878e-06,1.7356592857733785e-07,1.3924982093511498e-06,2.5692228183039983e-07,1.3859834244131045e-06,2.5040749689235456e-07,1.2099113722370108e-06,7.433544471626091e-08,1.2221030536414223e-06,8.652712612067241e-08,1.1902982462242347e-06,5.472231870348473e-08,1.290980361692111e-06,1.5540443417136114e-07,1.3051241812023676e-06,1.6954825368161763e-07,1.3246069569861363e-06,1.890310294653864e-07
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-1.6003128090677423,0.2803510308920044,-0.5209355832680613,5.387805729846859e-06,5.3721400357138026e-06,1.1398019814040008e-06,1.1241362872709444e-06,1.0707917628249681e-06,1.0551260686919118e-06,4.249228820330916e-07,4.0925718790003525e-07,8.686519600206461e-07,8.529862658875897e-07,1.4995485511862603e-06,1.483882857053204e-06,1.8326724507676821e-06,1.8170067566346258e-06,4.375186723845423e-07,4.218529782514859e-07,6.614308701939441e-07,6.457651760608877e-07,7.440608074241513e-07,7.28395113291095e-07,1.5929647584822848e-06,1.5772990643492284e-06,-8.328742719113639e-07,8.485399660444202e-07,1.062004334918003e-06,1.0463386407849467e-06,-1.2361472932560913e-08,2.8027167065617274e-08,1.1605251243506035e-06,1.1448594302175471e-06,1.16229369415933e-06,1.1466280000262736e-06,1.1507479547063754e-06,1.135082260573319e-06,1.1450505199947725e-06,1.129384825861716e-06,1.1404761829853379e-06,1.1248104888522815e-06,1.13917420786636e-06,1.1235085137333037e-06,6.614675248169706e-07,6.458018306839142e-07,2.0523431942840517e-07,1.895686252953488e-07,2.0697697275814075e-07,1.913112786250844e-07,-5.406268536225915e-08,6.972837949531551e-08,2.8891929451461254e-08,1.3226235318404894e-08,3.823539357197008e-08,2.2569699438913722e-08,-5.753409053571532e-07,5.910065994902096e-07,-6.091690107062006e-07,6.24834704839257e-07,-5.0742552424457e-07,5.230912183776264e-07
