complexity,loss,equation,score,sympy_format,lambda_format
1,1.62,x1,0.0,x1,PySRFunction(X=>x1)
3,0.821,x4 - x4,0.3398291593870008,-x4 + x4,PySRFunction(X=>-x4 + x4)
5,0.8164,-0.0332,0.002809339258369227,-0.0332000000000000,PySRFunction(X=>-0.0332000000000000)
6,0.7256,x0 / (x0 - exp(x0)),0.11790553213476287,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
7,0.7217,x0 / (x4 - exp(exp(x4))),0.00538935872269932,x0/(x4 - exp(exp(x4))),PySRFunction(X=>x0/(x4 - exp(exp(x4))))
8,0.705,exp((x0 * x4) - exp(exp(x4))),0.023411737265958958,exp(x0*x4 - exp(exp(x4))),PySRFunction(X=>exp(x0*x4 - exp(exp(x4))))
9,0.611,x0 / ((x4 * x0) - exp(exp(x4))),0.1431008436406733,x0/(x0*x4 - exp(exp(x4))),PySRFunction(X=>x0/(x0*x4 - exp(exp(x4))))
10,0.589,x0 / ((exp(x4) - x0) - exp(exp(x4))),0.03667077552000869,x0/(-x0 + exp(x4) - exp(exp(x4))),PySRFunction(X=>x0/(-x0 + exp(x4) - exp(exp(x4))))
12,0.5874,x0 / (-0.875 - (x0 + exp(x4))),0.0013600824435334718,x0/(-(x0 + exp(x4)) - 0.875),PySRFunction(X=>x0/(-(x0 + exp(x4)) - 0.875))
13,0.5703,x0 / ((x0 * -1.447) - exp(exp(x4))),0.02954348060202652,x0/(x0*(-1.447) - exp(exp(x4))),PySRFunction(X=>x0/(x0*(-1.447) - exp(exp(x4))))
14,0.547,(-0.4688 - x0) / (exp(x0) - (x0 * x0)),0.041713735740511904,(-x0 - 0.4688)/(-x0*x0 + exp(x0)),PySRFunction(X=>(-x0 - 0.4688)/(-x0*x0 + exp(x0)))
15,0.515,(-0.318 - x0) / (exp(x0) + (x0 + exp(x4))),0.0602819017582451,(-x0 - 0.318)/(x0 + exp(x0) + exp(x4)),PySRFunction(X=>(-x0 - 0.318)/(x0 + exp(x0) + exp(x4)))
17,0.4465,(-0.5737 - x0) / ((x0 + x0) + 1.235),0.07136375017359123,(-x0 - 0.5737)/(x0 + x0 + 1.235),PySRFunction(X=>(-x0 - 0.5737)/(x0 + x0 + 1.235))
21,0.3916,((x0 + x4) + (x0 + x3)) * (-0.0104 / (x0 + 0.616)),0.03279962241504961,(x0 + x0 + x3 + x4)*(-0.0104)/(x0 + 0.616),PySRFunction(X=>(x0 + x0 + x3 + x4)*(-0.0104)/(x0 + 0.616))
23,0.38,(-0.00787 / (x0 + 0.6157)) * (((x0 + x0) + x0) + (x3 + x4)),0.015034828967961907,-0.00787*(x0 + x0 + x0 + x3 + x4)/(x0 + 0.6157),PySRFunction(X=>-0.00787*(x0 + x0 + x0 + x3 + x4)/(x0 + 0.6157))
25,0.3787,((-0.01563 / (0.62 + x0)) * ((x4 + x0) + x0)) - 0.3157,0.0017134589063411774,-1*0.3157 - 0.01563*(x0 + x0 + x4)/(x0 + 0.62),PySRFunction(X=>-1*0.3157 - 0.01563*(x0 + x0 + x4)/(x0 + 0.62))
26,0.37,(-0.010414 / (0.6177 + x0)) * (((x3 + x0) + (x0 + x4)) + (exp(x0) * x0)),0.023241329269478937,-0.010414*(x0*exp(x0) + x0 + x0 + x3 + x4)/(x0 + 0.6177),PySRFunction(X=>-0.010414*(x0*exp(x0) + x0 + x0 + x3 + x4)/(x0 + 0.6177))
27,0.3157,((-0.015305 / (x0 + 0.62)) * ((x3 + x0) + (x0 + x4))) - 0.2993,0.15871061007432424,-1*0.2993 - 0.015305*(x0 + x0 + x3 + x4)/(x0 + 0.62),PySRFunction(X=>-1*0.2993 - 0.015305*(x0 + x0 + x3 + x4)/(x0 + 0.62))
29,0.2384,((-0.01254 / (x0 + 0.621)) * ((x4 + x3) + -2.357)) + -0.498,0.14042123018637562,-0.498 - 0.01254*(x3 + x4 - 2.357)/(x0 + 0.621),PySRFunction(X=>-0.498 - 0.01254*(x3 + x4 - 2.357)/(x0 + 0.621))
35,0.2332,(((x3 / 1.237) + (x4 + -2.312)) * (-0.01282 / (x0 + 0.6206))) - 0.5303,0.0036755801191428964,-1*0.5303 + (x3/1.237 + x4 - 2.312)*(-0.01282)/(x0 + 0.6206),PySRFunction(X=>-1*0.5303 + (x3/1.237 + x4 - 2.312)*(-0.01282)/(x0 + 0.6206))
38,0.2245,((x4 + (x3 + -2.479)) * (-0.01709 / (x0 + 0.6274))) - (exp(x1 * -0.2542) / 1.729),0.012673582431342761,-exp(x1*(-0.2542))/1.729 + (x3 + x4 - 2.479)*(-0.01709)/(x0 + 0.6274),PySRFunction(X=>-exp(x1*(-0.2542))/1.729 + (x3 + x4 - 2.479)*(-0.01709)/(x0 + 0.6274))
39,0.2028,(((x4 + x3) + -2.312) * (-0.01266 / (x0 + 0.6206))) - (((x5 - x1) * 0.1354) + 0.5254),0.10165543546528093,-((-x1 + x5)*0.1354 + 0.5254) + (x3 + x4 - 2.312)*(-0.01266)/(x0 + 0.6206),PySRFunction(X=>-((-x1 + x5)*0.1354 + 0.5254) + (x3 + x4 - 2.312)*(-0.01266)/(x0 + 0.6206))
45,0.1989,((-0.01282 / (x0 + 0.6206)) * ((x4 + -2.312) + (x3 / 1.237))) - (((x5 - x1) * 0.1354) + 0.532),0.0032363476428502714,-((-x1 + x5)*0.1354 + 0.532) - 0.01282*(x3/1.237 + x4 - 2.312)/(x0 + 0.6206),PySRFunction(X=>-((-x1 + x5)*0.1354 + 0.532) - 0.01282*(x3/1.237 + x4 - 2.312)/(x0 + 0.6206))
47,0.1963,((-0.01257 / (x0 + 0.6206)) * ((x4 + -2.312) + x3)) - (((x5 + 1.863) + (0.5967 ^ x2)) / (x1 - -5.953)),0.006579042288755544,-(0.5967**x2 + x5 + 1.863)/(x1 - 1*(-5.953)) - 0.01257*(x3 + x4 - 2.312)/(x0 + 0.6206),PySRFunction(X=>-(0.5967**x2 + x5 + 1.863)/(x1 - 1*(-5.953)) - 0.01257*(x3 + x4 - 2.312)/(x0 + 0.6206))
53,0.1919,((-0.01257 / (x0 + 0.6206)) * ((x4 + -2.312) + (x3 * 0.8267))) - (((0.5967 ^ x2) + (x5 + 1.863)) / (x1 - -5.953)),0.0037782830447935455,-(0.5967**x2 + x5 + 1.863)/(x1 - 1*(-5.953)) - 0.01257*(x3*0.8267 + x4 - 2.312)/(x0 + 0.6206),PySRFunction(X=>-(0.5967**x2 + x5 + 1.863)/(x1 - 1*(-5.953)) - 0.01257*(x3*0.8267 + x4 - 2.312)/(x0 + 0.6206))
