gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals,Model_22_Y_pred,Model_22_Residuals,Model_23_Y_pred,Model_23_Residuals,Model_24_Y_pred,Model_24_Residuals,Model_25_Y_pred,Model_25_Residuals,Model_26_Y_pred,Model_26_Residuals,Model_27_Y_pred,Model_27_Residuals,Model_28_Y_pred,Model_28_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.9194805077741278,0.8394489935449932,-0.2745746047456278,-2.0137932120662389e-07,7.486718126247809e-07,1.1398019814040008e-06,5.925094899858438e-07,1.0706622877432063e-06,5.233697963250493e-07,2.263302495263585e-06,1.716010003845428e-06,1.2533025121885118e-06,7.060100207703548e-07,1.139807765078078e-06,5.92515273659921e-07,1.2403074303630661e-06,6.930149389449091e-07,1.2803463164047868e-06,7.330538249866298e-07,1.6089567495810789e-06,1.0616642581629218e-06,1.161164031474148e-06,6.13871540055991e-07,1.312167361822136e-06,7.648748704039791e-07,2.8559842345892813e-06,2.308691743171124e-06,2.6379751497140695e-06,2.0906826582959124e-06,1.7256226898680799e-06,1.178330198449923e-06,2.3852977643882043e-06,1.8380052729700472e-06,2.742510577328249e-06,2.195218085910092e-06,1.7010514670266654e-06,1.1537589756085083e-06,2.7339654762671107e-06,2.1866729848489536e-06,2.826491812239661e-06,2.279199320821504e-06,2.764960185381689e-06,2.2176676939635317e-06,2.6768679403713967e-06,2.1295754489532396e-06,2.2813851800014356e-06,1.7340926885832785e-06,2.498539939079865e-06,1.951247447661708e-06,2.2100867193759933e-06,1.6627942279578362e-06,2.426969338845927e-06,1.8796768474277698e-06,2.247446576871111e-06,1.7001540854529539e-06,2.0258074124131974e-06,1.4785149209950403e-06,2.001929010062829e-06,1.4546365186446718e-06
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,1.0346603062483777,-1.498125237150086,-0.5083314547695889,3.227158006372263e-08,1.0592790200596937e-08,1.1398019814040008e-06,1.0969376111396812e-06,1.0706622877432063e-06,1.0277979174788867e-06,2.081841237532515e-06,2.0389768672681955e-06,1.205957348237249e-06,1.1630929779729293e-06,1.1398020563811025e-06,1.096937686116783e-06,1.200060671519265e-06,1.1571963012549454e-06,1.2171227477698346e-06,1.174258377505515e-06,1.46602522144358e-06,1.4231608511792605e-06,1.103659271426245e-06,1.0607949011619255e-06,1.2071599435726274e-06,1.1642955733083079e-06,6.420228320513767e-07,5.991584617870571e-07,4.7242276982550945e-07,4.295583995611899e-07,1.2317604655725156e-06,1.188896095308196e-06,1.3043614378661561e-06,1.2614970676018366e-06,1.3336888632132337e-06,1.2908244929489142e-06,3.7180204031102073e-07,3.2893767004670116e-07,1.1657647011364118e-07,7.371209984932161e-08,9.176913172330733e-07,8.748269469687537e-07,3.609857570076119e-07,3.181213867432923e-07,4.931943395006743e-07,4.5032996923635473e-07,3.702236529912978e-07,3.2735928272697823e-07,3.035512216444424e-07,2.606868513801228e-07,1.1773648357804241e-06,1.1345004655161046e-06,1.0621991310702621e-06,1.0193347608059425e-06,7.922352439351273e-07,7.493708736708077e-07,7.43658611720949e-07,7.007942414566294e-07,7.328988497986938e-07,6.900344795343742e-07
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,-0.1685265445086943,1.6027052989154005,-0.5140404394545903,3.7630792977348525e-06,3.7325344484516556e-06,1.1398019814040008e-06,1.1092571321208039e-06,1.0706622877432063e-06,1.0401174384600093e-06,2.2172988501079414e-06,2.1867540008247445e-06,1.6292211876861669e-06,1.59867633840297e-06,1.371294384564892e-06,1.3407495352816951e-06,1.687087203945982e-06,1.6565423546627851e-06,2.4725625545287643e-06,2.4420177052455674e-06,2.233813944445642e-06,2.203269095162445e-06,1.8395047885160484e-06,1.8089599392328515e-06,2.138128916122488e-06,2.107584066839291e-06,1.4489831597296357e-06,1.4184383104464388e-06,1.1781013494986224e-06,1.1475565002154255e-06,1.382992000127164e-06,1.352447150843967e-06,1.280060881678055e-06,1.2495160323948582e-06,1.4554770072770867e-06,1.4249321579938898e-06,1.5541096243126986e-06,1.5235647750295017e-06,7.263026483613669e-07,6.9575779907817e-07,1.16148325008571e-06,1.1309384008025131e-06,8.098581670189166e-07,7.793133177357197e-07,8.387688481176603e-07,8.082239988344634e-07,1.0719333610734876e-06,1.0413885117902907e-06,9.328133976051643e-07,9.022685483219674e-07,1.3638445560470055e-07,1.0583960632150364e-07,3.539141467032438e-07,3.233692974200469e-07,7.426965127490405e-07,7.121516634658436e-07,8.425769694771978e-07,8.120321201940009e-07,8.149727430657831e-07,7.844278937825862e-07
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-0.5583940499456583,1.1142507865228861,-0.5259804642185428,9.536616778283521e-08,9.058691320881362e-08,1.1398019814040008e-06,1.1350227268299792e-06,1.0706622877432063e-06,1.0658830331691847e-06,2.1546513567816497e-06,2.1498721022076283e-06,1.6260605637792646e-06,1.621281309205243e-06,1.6316141361102416e-06,1.62683488153622e-06,1.9060909216558418e-06,1.9013116670818202e-06,2.819163636590611e-06,2.814384382016589e-06,2.4202482332418814e-06,2.41546897866786e-06,1.4588049421389846e-06,1.454025687564963e-06,2.3752734130471746e-06,2.3704941584731532e-06,8.979662177957023e-07,8.931869632216807e-07,6.873248018563061e-07,6.825455472822845e-07,1.4003842939886374e-06,1.3956050394146158e-06,1.235462492993307e-06,1.2306832384192854e-06,1.319438526949179e-06,1.3146592723751574e-06,1.1080248825667242e-06,1.1032456279927026e-06,2.0411971197757207e-07,1.9934045740355048e-07,8.670014694281612e-07,8.622222148541396e-07,4.15262210430128e-07,4.104829558561064e-07,5.185508073234844e-07,5.137715527494628e-07,7.161262949155908e-07,7.113470403415692e-07,5.25567061310159e-07,5.207878067361374e-07,-3.921235319041386e-08,4.399160776443545e-08,2.0003721999638096e-07,1.9525796542235937e-07,7.379829309928273e-08,6.901903852526114e-08,1.4811982615096185e-07,1.4334057157694026e-07,1.1224040289258678e-07,1.0746114831856519e-07
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,1.0940540515395094,-1.2857839213601099,-0.5248158930562374,-1.3468058894827809e-06,1.3540981931644178e-06,1.1398019814040008e-06,1.132509677722364e-06,1.0706622877432063e-06,1.0633699840615694e-06,1.998166409057282e-06,1.990874105375645e-06,1.1893444449323294e-06,1.1820521412506925e-06,1.1398019847536752e-06,1.1325096810720383e-06,1.185523792383287e-06,1.1782314887016502e-06,1.1963603225188172e-06,1.1890680188371803e-06,1.4130015307653804e-06,1.4057092270837435e-06,1.082631687030005e-06,1.075339383348368e-06,1.173050834363775e-06,1.1657585306821381e-06,4.962624261683528e-07,4.889701224867159e-07,3.5349016347243345e-07,3.4619785979079656e-07,1.1545729034056381e-06,1.1472805997240012e-06,1.232829268756337e-06,1.2255369650747002e-06,1.2550211711788066e-06,1.2477288674971697e-06,2.8219182578078324e-07,2.7489952209914634e-07,-1.8190058214419328e-07,1.8919288582583018e-07,6.801341001665483e-07,6.728417964849114e-07,1.764643230650013e-07,1.691720193833644e-07,3.292959599757876e-07,3.220036562941507e-07,2.3612975579804003e-07,2.2883745211640313e-07,1.3358114306961232e-07,1.2628883938797542e-07,9.211858862823942e-07,9.138935826007573e-07,8.25486957778655e-07,8.181946540970181e-07,3.8236991968165524e-07,3.7507761600001835e-07,3.436889448406635e-07,3.363966411590266e-07,3.257144172837478e-07,3.184221136021109e-07
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.5428589224560638,-1.0546958994323365,-0.523505792127459,-3.676478577181835e-07,3.7776725181431684e-07,1.1398019814040008e-06,1.1296825873078675e-06,1.0706622877432063e-06,1.060542893647073e-06,2.2603001529622454e-06,2.2501807588661123e-06,1.3944088290392514e-06,1.384289434943118e-06,1.1456376060011347e-06,1.1355182119050014e-06,1.3571146627317904e-06,1.3469952686356571e-06,1.5323588859454512e-06,1.5222394918493178e-06,1.794234259215511e-06,1.7841148651193777e-06,1.6090904065177554e-06,1.598971012421622e-06,1.4681820284702865e-06,1.4580626343741531e-06,2.6797983257581647e-06,2.6696789316620316e-06,2.4364924077557503e-06,2.426373013659617e-06,5.652026828094127e-07,5.550832887132794e-07,2.0073075041664173e-07,1.906113563205084e-07,8.88340496908616e-07,8.782211028124827e-07,2.0409092090328946e-06,2.0307898149367615e-06,2.678233253450209e-07,2.5770393124888756e-07,1.7563587040988703e-07,1.655164763137537e-07,4.7161040683756356e-07,4.6149101274143023e-07,3.510180140035459e-07,3.408986199074126e-07,9.341693835824876e-07,9.240499894863543e-07,6.399735668962047e-07,6.298541728000714e-07,7.311107005421275e-07,7.209913064459942e-07,7.738929072274967e-07,7.637735131313633e-07,4.7346864182304313e-07,4.633492477269098e-07,7.007186012601701e-07,6.905992071640368e-07,6.697468430502858e-07,6.596274489541525e-07
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,0.546408642461824,0.3809494973622852,-0.2604106639467019,-4.3954332378150893e-07,1.0174004384165e-06,1.1398019814040008e-06,5.619448667690098e-07,1.0706622877432063e-06,4.928051731082152e-07,2.268504336544139e-06,1.690647221909148e-06,1.3952900433478533e-06,8.174329287128623e-07,1.1454113591397017e-06,5.675542445047106e-07,1.3577385641602252e-06,7.798814495252342e-07,1.5334143014920022e-06,9.555571868570111e-07,1.800361913832469e-06,1.222504799197478e-06,1.3036566259672348e-06,7.257995113322437e-07,1.4750407238848941e-06,8.971836092499031e-07,3.2261441849076374e-06,2.6482870702726464e-06,3.081391289561021e-06,2.50353417492603e-06,1.232421496388506e-06,6.545643817535149e-07,2.084171153660863e-06,1.5063140390258719e-06,2.6472809078558645e-06,2.0694237932208734e-06,2.4489258829665845e-06,1.8710687683315935e-06,2.48782821067442e-06,1.909971096039429e-06,2.4442700228938674e-06,1.8664129082588764e-06,2.638930870313324e-06,2.061073755678333e-06,2.527839219130223e-06,1.949982104495232e-06,2.493619378160686e-06,1.915762263525695e-06,2.5507552157052134e-06,1.9728981010702224e-06,2.2241556231444245e-06,1.6462985085094335e-06,2.4308129326186902e-06,1.8529558179836992e-06,2.1957094171564916e-06,1.6178523025215006e-06,2.151468958841624e-06,1.573611844206633e-06,2.122868509624091e-06,1.5450113949891e-06
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.4016404755571705,1.6317100856415183,-0.520174365467106,5.011476938917267e-06,4.9941685991672565e-06,1.1398019814040008e-06,1.122493641653991e-06,1.0706622877432063e-06,1.0533539479931964e-06,1.998694153974401e-06,1.9813858142243915e-06,1.4859924582451567e-06,1.4686841184951469e-06,2.2370506309490585e-06,2.219742291199049e-06,2.511989708106552e-06,2.4946813683565418e-06,2.67918394888067e-06,2.6618756091306597e-06,2.5585989367792702e-06,2.54129059702926e-06,2.6252120109269857e-06,2.607903671176976e-06,1.5685286793903662e-06,1.5512203396403563e-06,4.969359161348609e-07,4.79627576384851e-07,3.540340920857095e-07,3.367257523356996e-07,1.4210424756057936e-06,1.4037341358557837e-06,1.2730444463100302e-06,1.2557361065600203e-06,1.2871034291910794e-06,1.2697950894410695e-06,7.71615328419351e-07,7.543069886693412e-07,-9.03579618471332e-08,1.0766630159714307e-07,7.799361619432373e-07,7.626278221932274e-07,2.348226172623773e-07,2.1751427751236742e-07,3.8509054732215695e-07,3.677822075721471e-07,5.160436282728477e-07,4.987352885228378e-07,3.1798589561712495e-07,3.006775558671151e-07,-3.0363901558336314e-07,3.20947355333373e-07,-1.1013880465339609e-07,1.2744714440340596e-07,4.4668680665544383e-07,4.2937846690543395e-07,5.007111765498803e-07,4.834028367998704e-07,4.800776672752402e-07,4.6276932752523036e-07
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.5844299826132315,-0.22534158372193697,-0.0019583940750975237,-1.1671567800595273e-07,1.2522916055267027e-06,1.1398019814040008e-06,4.226053883250866e-09,1.0706622877432063e-06,6.491363977754367e-08,2.162125636915989e-06,1.026549709395239e-06,1.5464638675286195e-06,4.108879400078696e-07,2.6038097100926165e-06,1.4682337825718666e-06,4.087345493242956e-06,2.9517695657222056e-06,3.461211575506295e-06,2.3256356479855453e-06,3.368357368037055e-06,2.232781440516305e-06,2.604622626849537e-06,1.469046699328787e-06,2.4532876105325428e-06,1.3177116830117928e-06,9.387288442971657e-07,1.9684708322358427e-07,7.222874932520487e-07,4.132884342687012e-07,1.8294603444420453e-06,6.938844169212953e-07,1.5848742539204431e-06,4.492983263996932e-07,1.6053317865512164e-06,4.697558590304665e-07,1.5637885868775431e-06,4.282126593567932e-07,9.263883434550931e-07,2.091875840656568e-07,1.6361141049413082e-06,5.005381774205582e-07,9.185371057030406e-07,2.170388218177093e-07,9.973275797509857e-07,1.3824834776976422e-07,1.1845431768911885e-06,4.8967249370438604e-08,1.0864383364523074e-06,4.9137591068442563e-08,1.0667749455563257e-06,6.880098196442424e-08,1.1341787496123957e-06,1.3971779083542443e-09,9.10375876574836e-07,2.2520005094591393e-07,1.0113403948278027e-06,1.2423553269294722e-07,9.858116391963665e-07,1.4976428832438342e-07
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-1.6003128090677423,0.2803510308920044,-0.5209355832680613,5.387805729846859e-06,5.3721400357138026e-06,1.1398019814040008e-06,1.1241362872709444e-06,1.0706622877432063e-06,1.05499659361015e-06,4.249228820330916e-07,4.0925718790003525e-07,8.686519600206461e-07,8.529862658875897e-07,1.4995485511862603e-06,1.483882857053204e-06,7.123857079858537e-07,6.967200138527973e-07,5.83585452942788e-07,5.679197588097316e-07,5.907731523231458e-07,5.751074581900894e-07,-9.629106371957769e-08,1.1195675785263405e-07,-2.7716355815240157e-07,2.9282925228545793e-07,1.4884152166233965e-07,1.331758275292833e-07,7.960331371620267e-08,6.393761958314631e-08,1.1841304718697905e-06,1.1684647777367342e-06,1.1608321867879834e-06,1.145166492654927e-06,1.1499466051581529e-06,1.1342809110250965e-06,2.1212507198625366e-07,1.964593778531973e-07,-7.384282957573661e-07,7.540939898904224e-07,3.032016584180246e-07,2.8753596428496826e-07,-2.841873765814302e-09,1.8507567898870662e-08,7.063089050074708e-08,5.4965196367690715e-08,8.314301774072817e-08,6.747732360767181e-08,7.548986325241976e-09,8.116707807814384e-09,-1.3934336873392468e-07,1.5500906286698104e-07,3.250083984935242e-08,1.683514571629606e-08,5.694957560356545e-07,5.538300619025982e-07,5.832298092703e-07,5.675641151372436e-07,5.759078737387879e-07,5.602421796057315e-07
