Complexity,Loss,Equation
1,1.62,"x1"
3,0.821,"x4 - x4"
5,0.8164,"-0.03564"
6,0.7256,"x0 / (x0 - exp(x0))"
7,0.7217,"x0 / (x4 - exp(exp(x4)))"
8,0.705,"exp((x0 * x4) - exp(exp(x4)))"
9,0.611,"x0 / ((x0 * x4) - exp(exp(x4)))"
10,0.589,"x0 / ((exp(x4) - x0) - exp(exp(x4)))"
12,0.586,"x0 / (-0.838 - (x0 + exp(x4)))"
13,0.5703,"x0 / ((x0 * -1.4375) - exp(exp(x4)))"
14,0.5576,"x0 / ((-0.8545 - x0) - exp(x3 + x4))"
15,0.535,"(-0.5493 - x0) / (0.6553 + x0)"
16,0.501,"(0.0001011 ^ (x0 + exp(x0))) + -0.6396"
17,0.4465,"(-0.573 - x0) / (x0 + (x0 + 1.235))"
19,0.446,"-0.498 - (-0.02757 / (x0 - -0.621))"
20,0.3972,"(exp(x0 * x3) - x4) / ((0.6147 + x0) * 107.1)"
21,0.3916,"-0.01056 * (((x3 + x4) + (x0 + x0)) / (x0 - -0.617))"
23,0.3828,"(-0.00862 / (x0 - -0.616)) * ((x0 + x4) + (x3 + (x0 + x0)))"
24,0.346,"(exp(x0 * x4) / ((x0 + 0.622) * 43.3)) + -0.4731"
27,0.3171,"((-0.01267 / (x0 - -0.617)) * ((x0 + x3) + (x4 + x0))) + -0.2834"
29,0.2393,"-0.549 - ((-0.01513 / (x0 - -0.624)) * (2.326 - (x3 + x4)))"
