Complexity,Loss,Equation
1,1.62,"x1"
3,0.821,"x0 - x0"
5,0.8164,"-0.03552"
6,0.7256,"x0 / (x0 - exp(x0))"
7,0.7217,"x0 / (x4 - exp(exp(x4)))"
8,0.705,"exp((x4 * x0) - exp(exp(x4)))"
9,0.611,"x0 / ((x4 * x0) - exp(exp(x4)))"
10,0.589,"x0 / ((exp(x4) - x0) - exp(exp(x4)))"
12,0.586,"x0 / ((-0.838 - x0) - exp(x4))"
13,0.571,"x0 / ((x0 * -1.405) - exp(exp(x4)))"
14,0.5527,"exp(x0 + 0.602) ^ -80.0"
15,0.5356,"(-0.553 - x0) / (x0 + 0.6514)"
16,0.5044,"(-0.00983 / (-0.6216 - x0)) / exp(x4)"
17,0.4763,"(0.02985 / exp(exp(x4))) / (x0 - -0.615)"
19,0.4456,"(-0.02576 / (-0.62 - x0)) - 0.4956"
20,0.4087,"((exp(x0) ^ x3) - x4) * (-0.01516 / (-0.6216 - x0))"
22,0.3997,"(-0.01009 / (-0.6143 - x0)) * ((x3 * x0) + exp(x4 * x0))"
23,0.39,"(-0.0166 / ((-0.0762 - x0) - exp(x0))) * (exp(x3 * x0) - x4)"
24,0.346,"((-0.0246 / (-0.6235 - x0)) * exp(x0 * x4)) - 0.474"
27,0.3188,"(((0.6685 ^ x4) * -0.03552) / (-0.626 - x0)) - 0.578"
29,0.252,"((0.6934 ^ (x3 + x4)) * (-0.02585 / (-0.62 - x0))) - 0.53"
